,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2024-01-31,ACRO-W,WARRANT,231276000.0,12,0,233,0,0,182965558,0,18721,1533,0,182986045,0,0,0,0,48289955,0,0,0,0,48289955
1,2024-02-29,ACRO-W,WARRANT,231276000.0,11,0,233,0,0,178175176,0,5766,1770,0,178182945,0,0,0,0,53093055,0,0,0,0,53093055
2,2024-03-28,ACRO-W,WARRANT,231276000.0,10,0,233,0,0,182374524,0,2052,1836,0,182378645,0,0,0,0,48897355,0,0,0,0,48897355
3,2024-04-30,ACRO-W,WARRANT,231276000.0,7,0,233,0,0,179477229,0,2346,1937,0,179481745,0,0,0,0,51794255,0,0,0,0,51794255
4,2024-05-31,ACRO-W,WARRANT,231276000.0,7,0,167,0,0,179578462,0,1111,2005,0,179581745,0,0,0,0,51694255,0,0,0,0,51694255
5,2024-06-28,ACRO-W,WARRANT,231276000.0,6,0,167,0,0,179578730,0,777,2071,0,179581745,0,0,0,0,51694255,0,0,0,0,51694255
6,2024-07-31,ACRO-W,WARRANT,231270479.0,4,0,167,0,0,180572809,0,1040,2105,103,180576224,0,0,0,0,50694255,0,0,0,0,50694255
7,2024-08-30,ACRO-W,WARRANT,231267127.0,4,0,167,0,0,179649522,0,573,2173,537,179652972,0,0,0,0,51614155,0,0,0,0,51614155
8,2024-09-30,ACRO-W,WARRANT,231263838.0,8,0,167,0,0,191138977,0,505,3634,0,191143283,0,0,0,0,40120555,0,0,0,0,40120555
9,2024-10-31,ACRO-W,WARRANT,231259273.0,7,0,167,0,0,191131046,0,766,7104,35,191139118,0,0,0,0,40120155,0,0,0,0,40120155
10,2024-11-29,ACRO-W,WARRANT,231257193.0,7,0,167,0,0,187703035,0,667,10799,104,187714772,0,0,0,0,43542421,0,0,0,0,43542421
11,2024-12-30,ACRO-W,WARRANT,231252112.0,7,0,167,0,0,201309761,0,731,17204,28,201327891,0,0,0,0,29924221,0,0,0,0,29924221
