,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-02-25,ADCP,EQUITY,22222222200.0,107,0,638104100,2949100,0,1353716700,799900,1015200,0,220732300,2217317300,0,0,0,0,4904900,0,0,0,0,4904900
1,2022-03-31,ADCP,EQUITY,22222222200.0,90,0,614246000,3849100,0,1377376600,799900,1558700,100,220732300,2218562700,0,0,0,0,3659500,0,0,0,0,3659500
2,2022-04-28,ADCP,EQUITY,22222222200.0,81,0,528928700,3849100,0,1462695000,799900,1558700,100100,220732300,2218663800,0,0,0,0,3558400,0,0,0,0,3558400
3,2022-05-31,ADCP,EQUITY,22222222200.0,79,0,528928700,3849100,0,1461711600,799900,1558700,100100,220732300,2217680400,0,0,0,1013400,3528400,0,0,0,0,4541800
4,2022-06-30,ADCP,EQUITY,22222222200.0,78,0,471532100,3849100,0,1518754300,911000,1558700,100,220732300,2217337600,0,0,0,1117500,3767100,0,0,0,0,4884600
5,2022-07-29,ADCP,EQUITY,22222222200.0,74,0,456692100,3849100,0,1533020600,911000,1558700,100,220732300,2216763900,0,0,0,1238200,4220100,0,0,0,0,5458300
6,2022-08-31,ADCP,EQUITY,22222222200.0,76,0,460226400,3849100,0,1522871800,911000,1558700,100,220732300,2210149400,0,0,0,7327100,4745700,0,0,0,0,12072800
7,2022-09-30,ADCP,EQUITY,22222222200.0,81,1160000,454173100,3849100,0,1523043500,911000,1558700,100,220732300,2205427800,0,0,0,12163400,4631000,0,0,0,0,16794400
8,2022-10-31,ADCP,EQUITY,22222222200.0,75,2550000,454228100,3849100,0,1524356400,911000,1558700,200,220732300,2208185800,0,0,0,9086400,4950000,0,0,0,0,14036400
9,2022-11-30,ADCP,EQUITY,22222222200.0,73,2550000,455183200,3849100,0,1530569300,911000,1558700,200,220732300,2215353800,0,0,0,2580200,4288200,0,0,0,0,6868400
10,2022-12-30,ADCP,EQUITY,22222222200.0,67,2550000,455188200,6760000,0,1530156700,911000,1558700,200,220732300,2217857100,0,0,0,806900,3558200,0,0,0,0,4365100
11,2023-01-31,ADCP,EQUITY,22222222200.0,66,2550000,451688200,6760000,0,1564561300,911000,1558700,200,189963000,2217992400,0,0,0,805600,3424200,0,0,0,0,4229800
12,2023-02-28,ADCP,EQUITY,22222222200.0,66,1390000,447596000,6760000,0,1569845400,911000,1558700,200,189963000,2218024300,0,0,0,805700,3392200,0,0,0,0,4197900
13,2023-03-31,ADCP,EQUITY,22222222200.0,61,1390000,445521000,6760000,0,1571507700,911000,1558700,200,189963000,2217611600,0,0,0,1518400,3092200,0,0,0,0,4610600
14,2023-04-28,ADCP,EQUITY,22222222200.0,62,1390000,446521000,6760000,0,1569231100,911000,1558700,200,189963000,2216335000,0,0,0,2832800,3054400,0,0,0,0,5887200
15,2023-05-31,ADCP,EQUITY,22222222200.0,58,1390000,445326500,6760000,0,1565063600,5911000,1558700,200,189963000,2215973000,0,0,0,3214800,3034400,0,0,0,0,6249200
16,2023-06-27,ADCP,EQUITY,22222222200.0,58,1390000,444521000,6760000,0,1570111100,911000,1558700,200,189963000,2215215000,0,0,0,3971800,3035400,0,0,0,0,7007200
17,2023-07-31,ADCP,EQUITY,22222222200.0,58,1390000,446779700,6760000,0,1566673300,911000,1558700,200,189963000,2214035900,0,0,0,5150900,3035400,0,0,0,0,8186300
18,2023-08-31,ADCP,EQUITY,22222222200.0,59,1390000,446779700,6760000,0,1560387600,6602800,1558700,200,189963000,2213442000,0,0,0,5738800,3041400,0,0,0,0,8780200
19,2023-09-29,ADCP,EQUITY,22222222200.0,58,1390000,454536800,6760000,0,1562750600,911000,1558700,200,189963000,2217870300,0,0,0,1310500,3041400,0,0,0,0,4351900
20,2023-10-31,ADCP,EQUITY,22222222200.0,56,1390000,444521200,6760000,0,1591894400,911000,1558700,200,170563000,2217598500,0,0,0,1582300,3041400,0,0,0,0,4623700
21,2023-11-30,ADCP,EQUITY,22222222200.0,53,0,444521200,6760000,0,1592337500,911000,1558700,200,170563000,2216651600,0,0,0,2581400,2989200,0,0,0,0,5570600
22,2023-12-29,ADCP,EQUITY,22222222200.0,50,0,444521200,6760000,0,1588862300,911000,1558700,200,170563000,2213176400,0,0,0,6036100,3009700,0,0,0,0,9045800
23,2024-01-31,ADCP,EQUITY,22222222200.0,50,0,444521200,6760000,0,1589727600,911000,1558700,200,170563000,2214041700,0,0,0,5170800,3009700,0,0,0,0,8180500
24,2024-02-29,ADCP,EQUITY,22222222200.0,50,0,444521200,6760000,0,1589015700,4039800,1558700,200,170563000,2216458600,0,0,0,2753900,3009700,0,0,0,0,5763600
25,2024-03-28,ADCP,EQUITY,22222222200.0,50,0,444521200,6760000,0,1593611900,911000,1558700,200,170563000,2217926000,0,0,0,36500,3009700,0,0,0,1250000,4296200
26,2024-04-30,ADCP,EQUITY,22222222200.0,50,0,444521200,6760000,0,1593611900,911000,1558700,200,170563000,2217926000,0,0,0,36500,3009700,0,0,0,1250000,4296200
27,2024-05-31,ADCP,EQUITY,22222222200.0,50,0,444521200,6760000,0,1593611900,911000,1558700,200,170563000,2217926000,0,0,0,36500,3009700,0,0,0,1250000,4296200
28,2024-06-28,ADCP,EQUITY,22222222200.0,50,0,444521200,6760000,0,1593381200,911000,1558700,200,170563000,2217695300,0,0,0,36500,3240400,0,0,0,1250000,4526900
29,2024-07-31,ADCP,EQUITY,22222222200.0,50,0,444521200,6760000,0,1593381200,911000,1558700,200,170563000,2217695300,0,0,0,36500,3240400,0,0,0,1250000,4526900
30,2024-08-30,ADCP,EQUITY,22222222200.0,50,0,445022200,1200000,0,1599303100,911000,1558700,200,170563000,2218558200,0,0,0,223600,3440400,0,0,0,0,3664000
31,2024-09-30,ADCP,EQUITY,22222222200.0,50,0,446998800,1200000,0,1596740900,911000,1558700,200,170563000,2217972600,0,0,0,459200,3596400,0,194000,0,0,4249600
32,2024-10-31,ADCP,EQUITY,22222222200.0,50,0,447118800,1200000,0,1597340300,0,1558700,200,170563000,2217781000,0,0,0,580800,3646400,0,214000,0,0,4441200
33,2024-11-29,ADCP,EQUITY,22222222200.0,50,0,447118800,1200000,0,1597340300,0,1558700,200,170563000,2217781000,0,0,0,580800,3646400,0,214000,0,0,4441200
34,2024-12-30,ADCP,EQUITY,22222222200.0,50,0,447118800,1200000,0,1597340300,0,1558700,200,170563000,2217781000,0,0,0,580800,3646400,0,214000,0,0,4441200
