,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-05-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,277000000000,1000000000,18500000000,810000000000,11700000000,101000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
1,2022-06-30,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,277000000000,1000000000,18500000000,810000000000,11700000000,101000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
2,2022-07-29,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,277000000000,1000000000,18500000000,810000000000,11700000000,101000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
3,2022-08-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,277000000000,1000000000,18500000000,670000000000,11700000000,241000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
4,2022-09-30,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,235000000000,1000000000,18500000000,670000000000,11700000000,283000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
5,2022-10-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,235000000000,1000000000,27500000000,670000000000,11700000000,274000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
6,2022-11-30,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,235000000000,1000000000,27500000000,669550000000,12150000000,274000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
7,2022-12-30,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,235000000000,1000000000,27500000000,669550000000,12150000000,274000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
8,2023-01-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,235000000000,1000000000,27500000000,669550000000,12150000000,274000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
9,2023-02-28,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239000000000,1000000000,27500000000,669550000000,12150000000,270000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
10,2023-03-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239000000000,1000000000,27500000000,669550000000,12150000000,270000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
11,2023-04-28,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239000000000,1000000000,27500000000,669550000000,12150000000,270000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
12,2023-05-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239000000000,1000000000,27500000000,669550000000,12150000000,270000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
13,2023-06-27,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239000000000,1000000000,27500000000,669550000000,12150000000,270000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
14,2023-07-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239000000000,1000000000,27500000000,669550000000,12150000000,270000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
15,2023-08-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239000000000,1000000000,27500000000,669550000000,12150000000,270000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
16,2023-09-29,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239000000000,1000000000,27500000000,669550000000,12150000000,270000000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
17,2023-10-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
18,2023-11-30,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
19,2023-12-29,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
20,2024-01-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
21,2024-02-29,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
22,2024-03-28,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
23,2024-04-30,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
24,2024-05-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
25,2024-06-28,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
26,2024-07-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
27,2024-08-30,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
28,2024-09-30,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
29,2024-10-31,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
30,2024-11-29,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
31,2024-12-30,ADHI03ACN3,CORPORATE BOND,1286200000000.0,1,239050000000,1000000000,27500000000,669550000000,12150000000,269950000000,0,67000000000,0,1286200000000,0,0,0,0,0,0,0,0,0,0
