,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,15000000000,20900000000,28000000000,57300000000,43500000000,140000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,15000000000,20900000000,28000000000,57400000000,43400000000,140000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,15000000000,20900000000,28000000000,57600000000,43200000000,140000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,15000000000,24600000000,28000000000,53900000000,43200000000,140000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,15000000000,24600000000,28000000000,53900000000,43200000000,140000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,15000000000,24600000000,28000000000,53900000000,43200000000,140000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,15000000000,24600000000,28000000000,53900000000,43200000000,140000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,15000000000,24600000000,28000000000,54000000000,43100000000,140000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,15000000000,24600000000,28000000000,54000000000,43100000000,140000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,15000000000,24600000000,28000000000,69100000000,43000000000,125000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,15000000000,24600000000,28000000000,69000000000,43100000000,125000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,15000000000,24600000000,28000000000,89000000000,43100000000,105000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,20000000000,24600000000,28000000000,89000000000,43100000000,100000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,20000000000,24600000000,28000000000,89400000000,42700000000,100000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,20000000000,25900000000,28000000000,87000000000,43800000000,100000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,20000000000,25900000000,28000000000,87500000000,43300000000,100000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,20000000000,25900000000,28000000000,87700000000,43100000000,100000000000,0,23300000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,20000000000,25900000000,28000000000,87100000000,47000000000,100000000000,0,20000000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,20000000000,25900000000,28000000000,87000000000,47100000000,100000000000,0,20000000000,0,328000000000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,20000000000,25900000000,28000000000,82000000000,47100000000,100000000000,0,20000000000,0,323000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
20,2023-09-29,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,20000000000,25900000000,28000000000,80000000000,47100000000,100000000000,0,20000000000,0,321000000000,0,0,0,7000000000,0,0,0,0,0,7000000000
21,2023-10-31,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,10000000000,25000000000,28000000000,80800000000,47200000000,110000000000,0,20000000000,0,321000000000,0,0,0,7000000000,0,0,0,0,0,7000000000
22,2023-11-30,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,10000000000,25000000000,28000000000,74700000000,47200000000,110000000000,0,20000000000,0,314900000000,0,0,0,13100000000,0,0,0,0,0,13100000000
23,2023-12-29,ADMF04CCN4,CORPORATE BOND,328000000000.0,1,10000000000,25000000000,28000000000,74700000000,47200000000,110000000000,0,20000000000,0,314900000000,0,0,0,13100000000,0,0,0,0,0,13100000000
