,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,163000000000,0,101500000000,46500000000,37250000000,107000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
1,2022-02-25,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,173000000000,0,101500000000,47000000000,36750000000,97000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
2,2022-03-31,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,173000000000,0,91500000000,49000000000,36750000000,105000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
3,2022-04-28,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,173000000000,0,91500000000,35100000000,36650000000,119000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
4,2022-05-31,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,173000000000,0,91500000000,35700000000,36050000000,119000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
5,2022-06-30,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,173000000000,0,91500000000,36200000000,35550000000,119000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
6,2022-07-29,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,173000000000,0,91500000000,35700000000,36050000000,119000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
7,2022-08-31,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,173000000000,0,91500000000,35500000000,36250000000,119000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
8,2022-09-30,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,213000000000,0,91500000000,35000000000,36750000000,79000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
9,2022-10-31,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,223000000000,0,91500000000,35000000000,36750000000,69000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
10,2022-11-30,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,238000000000,0,91500000000,35000000000,36750000000,54000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
11,2022-12-30,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,238000000000,0,91500000000,35100000000,36650000000,54000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
12,2023-01-31,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,238000000000,0,91500000000,35300000000,36450000000,54000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
13,2023-02-28,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,238000000000,0,91500000000,31400000000,36350000000,58000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
14,2023-03-31,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,238000000000,0,91500000000,31300000000,36450000000,58000000000,0,5000000000,0,460250000000,0,0,0,0,500000000,0,0,0,0,500000000
15,2023-04-28,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,240000000000,0,89500000000,35600000000,32650000000,58000000000,0,5000000000,0,460750000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,240000000000,0,89500000000,35600000000,32650000000,58000000000,0,5000000000,0,460750000000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,240000000000,0,89500000000,35400000000,32850000000,58000000000,0,5000000000,0,460750000000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,ADMF04ECN3,CORPORATE BOND,460750000000.0,1,240000000000,0,89500000000,35400000000,32850000000,58000000000,0,5000000000,0,460750000000,0,0,0,0,0,0,0,0,0,0
