,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,AGRO,EQUITY,22746526712.0,1275,74435769,18104282,935228240,19429762386,1026632012,227334328,1621769,151300,882871,21714152957,0,22787036,31498416,82493936,1834884,559212082,67662202,0,187742034,953230590
1,2022-02-25,AGRO,EQUITY,22746526712.0,1400,60156582,16692704,935346840,19429762386,1069417731,239012236,1427751,151300,1107971,21753075501,0,22786936,35909016,58316634,1819484,553407882,69368262,0,172699832,914308046
2,2022-03-31,AGRO,EQUITY,22746526712.0,1240,52739882,22418604,935286740,19429762386,1139474514,181401834,108167,201300,932871,21762326298,0,22788036,35750516,53454321,1757822,548244468,71812254,0,171249832,905057249
3,2022-04-28,AGRO,EQUITY,22746526712.0,1055,35008309,35295404,934294740,19429762386,1194360414,95278397,107782,201300,932871,21725241603,0,25618936,35366416,93918716,1711822,547673404,66607811,0,171249839,942146944
4,2022-05-31,AGRO,EQUITY,22746745082.0,945,34306605,37831904,931054777,19429762386,1223453612,68927429,107918,367300,932871,21726744802,0,23305036,35191616,95251387,1745422,547629404,66556111,0,171249839,940928815
5,2022-06-30,AGRO,EQUITY,22746745082.0,705,33885505,43622904,926637770,19429762386,1266947642,57798322,107970,367300,937871,21760067670,0,22980336,35118216,84556687,1094554,539806204,65806911,0,158243039,907605947
6,2022-07-29,AGRO,EQUITY,22746745082.0,845,33878005,44671804,926720570,19429762386,1412628548,62581470,303250,442300,1387871,21912376204,0,22799236,35599216,100523887,1418354,460976104,65806911,0,68182005,755305713
7,2022-08-31,AGRO,EQUITY,22746905982.0,705,35902005,49264304,914037570,19429762386,1544616348,87233792,3289,442300,951971,22062213965,0,22278236,36073416,53954187,2080154,390902204,65848611,0,34492044,605628852
8,2022-09-30,AGRO,EQUITY,22746905982.0,550,35120205,58710304,840862173,19429762386,1676152079,83071951,2611,515800,1203971,22125401480,0,19283128,26873116,27347304,1429954,393908904,65848611,0,7750320,542441337
9,2022-10-31,AGRO,EQUITY,22746905982.0,595,38285505,53534904,802334873,19429762386,1696382358,104461009,2907,515800,2116571,22127396313,0,18964728,26873069,23520304,2004168,400411404,65828611,0,2844220,540446504
10,2022-11-30,AGRO,EQUITY,22746905982.0,476,31845422,52765627,801988773,19429762386,1819361567,106394820,3272,612800,13787946,22256522613,0,18690228,26873069,12942904,2221768,284298104,64258766,0,2035365,411320204
11,2022-12-30,AGRO,EQUITY,24740107814.0,404,30301322,55814614,801939673,21240242086,1874894675,107227031,3470,722800,18002996,24129148667,0,18666354,26873069,7021139,2835962,231716804,64259300,0,2316618,353689246
12,2023-01-31,AGRO,EQUITY,24740107814.0,440,30301322,53586014,801802595,21240242086,1923142461,66474629,3264,722800,1002996,24117278167,0,18931154,26873069,48582239,2832162,201913569,64261900,0,2165653,365559746
13,2023-02-28,AGRO,EQUITY,24740107814.0,404,29938422,53033507,801730895,21240242086,2012618066,63579303,3092,722800,1010996,24202879167,0,5570054,26873069,8648639,2787262,173251469,60859300,0,1968953,279958746
14,2023-03-31,AGRO,EQUITY,24740107814.0,386,29938422,62119207,801730895,21240242086,1989626391,63277603,3267,847800,1010996,24188796667,0,13131654,26873069,15101039,2833762,173273469,60859300,0,1968953,294041246
15,2023-04-28,AGRO,EQUITY,24740494294.0,426,27990079,63146107,797392095,21240242086,1987142034,65608560,3490,847800,1010996,24183383247,0,13131654,26873069,20058139,2802762,174147269,60859300,0,1968953,299841146
16,2023-05-31,AGRO,EQUITY,24740494294.0,352,27990079,62696107,772318495,21240242086,2075000647,64776076,3341,847800,1020996,24244895627,0,18452354,28948769,8137439,2524062,64204106,115481687,0,580349,238328766
17,2023-06-27,AGRO,EQUITY,24740494294.0,384,25399079,63106407,771306995,21240242086,2097481906,82742662,3057,847839,1070996,24282201027,0,18970954,28948769,23936139,2524062,65094906,60968124,0,580412,201023366
18,2023-07-31,AGRO,EQUITY,24740494294.0,386,24951286,63910607,726148095,21240242086,2150581865,82671463,2947,847882,1070996,24290427227,0,18963754,28948769,13013039,2635962,67687106,60968124,0,580412,192797166
19,2023-08-31,AGRO,EQUITY,24740494294.0,350,24951286,63825407,726148095,21240242086,2154210133,80966803,2702,847919,1070996,24292265427,0,18963754,28948769,10707339,2646462,67687106,61428124,0,580412,190961966
20,2023-09-29,AGRO,EQUITY,24740494294.0,304,24437686,65753107,726148095,21240242086,2158587918,80846678,172642,976619,1070996,24298235827,0,18963754,28948769,11213039,2732962,61089499,61463131,0,580412,184991566
21,2023-10-31,AGRO,EQUITY,24740494294.0,224,23031986,66415407,726142795,21240242086,2164746603,80054394,172625,976620,1070871,24302853387,0,17977394,28948769,9559139,3101462,58993799,61463131,0,580312,180624006
22,2023-11-30,AGRO,EQUITY,24740494294.0,294,3383986,66373807,723894795,21240242086,2187384072,78259719,173731,976620,1070871,24301759687,0,17509694,28948769,11064839,2957162,58993799,61663131,0,580312,181717706
23,2023-12-29,AGRO,EQUITY,24740494294.0,310,3383986,65884107,722767328,21240242086,2182544930,83834710,2910,1126620,1070871,24300857548,0,17957594,31863069,8945801,2830962,58888938,61553169,0,580312,182619845
24,2024-01-31,AGRO,EQUITY,24740494294.0,290,9440786,69333907,722767328,21240142086,2179275531,77754521,2998,1594620,1070871,24301382648,0,17494425,31863069,9052239,2837462,59318938,60948231,0,580381,182094745
25,2024-02-29,AGRO,EQUITY,24740494294.0,266,15475586,69352007,721884741,21240142086,2175158387,77592791,2812,1594654,1780871,24302983935,0,17501625,31863069,8395952,3000962,58203238,60948231,0,580381,180493458
26,2024-03-28,AGRO,EQUITY,24740494294.0,290,665900,68992307,721510241,21240142086,2194190658,63918954,3064,1594654,1070871,24292088735,0,17486625,31863069,18967652,2840962,58200338,62029931,0,81,191388658
27,2024-04-30,AGRO,EQUITY,24740494294.0,256,275400,69378307,721461247,21240142086,2224033019,46707064,3084,1594654,1070871,24304665732,0,17486625,31863069,7880252,2874362,57764638,60942634,0,81,178811661
28,2024-05-31,AGRO,EQUITY,24740494294.0,248,666000,72722707,721461247,21240142086,2220224033,46709600,2934,1594654,1070871,24304594132,0,16948725,31863069,8497152,2866962,57764638,60942634,0,81,178883261
29,2024-06-28,AGRO,EQUITY,24740494294.0,226,666000,72345807,720937503,21240142086,2215766502,50290201,2893,1794569,1070871,24303016432,0,16948725,31863069,9717752,2898762,57764638,61267934,0,81,180460961
30,2024-07-31,AGRO,EQUITY,24740494294.0,244,666000,71948407,720937503,21240142086,2225668491,51254418,17987,1794569,1070871,24313500332,0,16071125,28957669,12867052,2836262,52417138,56827734,0,81,169977061
31,2024-08-30,AGRO,EQUITY,24740494294.0,260,0,72385807,700881603,21240142086,2251319730,51298699,2867,1794569,1070871,24318896232,0,12636325,22265069,35762452,2982662,39902138,51032434,0,81,164581161
32,2024-09-30,AGRO,EQUITY,24740494294.0,268,0,81170807,657338603,21240142086,2336634985,53557037,2999,1794569,1070871,24371711957,0,16182826,0,69690552,3185237,621600,22085041,0,180,111765436
33,2024-10-31,AGRO,EQUITY,24740494294.0,268,0,82657507,612577003,21243815886,2403099410,65149311,423000,1794569,1083971,24410600657,0,14370526,0,39859352,12027437,44400,6574941,0,80,72876736
34,2024-11-29,AGRO,EQUITY,24740494294.0,232,0,84315907,612577003,21243815886,2435642455,52875486,160080,1794569,1083971,24432265357,0,5846126,0,30393152,12120837,44400,2807441,0,80,51212036
35,2024-12-30,AGRO,EQUITY,24740494294.0,232,0,87902307,612577003,21262959686,2420889951,52243938,210057,1794644,1083971,24439661557,0,13626,0,29515252,12124837,44400,2117641,0,80,43815836
