,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,AGRS,EQUITY,17666492048.0,157,0,223516891,0,20158930,1142908843,0,146,0,0,1386584810,0,696672,0,1000700,4832851,0,4596720,0,6136453340,6147580283
1,2022-02-25,AGRS,EQUITY,17666492048.0,148,0,224438991,0,20158930,1119801143,0,146,0,0,1364399210,0,595072,0,23539900,4580851,0,4596720,0,6136453340,6169765883
2,2022-03-31,AGRS,EQUITY,17666492048.0,146,0,224302291,0,20158930,1134238843,0,32146,0,0,1378732210,0,657572,0,6740200,6981851,0,4599920,0,6136453340,6155432883
3,2022-04-28,AGRS,EQUITY,17666492048.0,125,0,225332291,0,20158930,1138018943,0,146,0,0,1383510310,0,595172,0,1761700,7244651,0,4599920,0,6136453340,6150654783
4,2022-05-31,AGRS,EQUITY,17666492048.0,127,0,225332191,0,20158930,1137284943,0,146,0,0,1382776210,0,595072,0,2102700,7637851,0,4599920,0,6136453340,6151388883
5,2022-06-30,AGRS,EQUITY,17666492048.0,120,0,225372191,0,20158930,1137144743,0,146,0,0,1382676010,0,595072,0,1975200,7765551,0,4699920,0,6136453340,6151489083
6,2022-07-29,AGRS,EQUITY,17666492048.0,118,0,225787291,0,20158930,1135679743,0,146,0,0,1381626110,0,0,0,1900000,8890651,0,5294992,0,6136453340,6152538983
7,2022-08-31,AGRS,EQUITY,27489535711.0,117,0,273974903,0,20158930,1733125777,0,146,0,1749600,2029009356,0,0,0,3397114,9110444,0,6387443,0,6136453340,6155348341
8,2022-09-30,AGRS,EQUITY,27649535711.0,90,0,281095003,0,20158930,1718020377,0,146,0,1749600,2021024056,0,0,0,3111714,17381144,0,6387443,0,6136453340,6163333641
9,2022-10-31,AGRS,EQUITY,27649535711.0,95,0,363235672,0,20158930,1715809977,0,146,0,1709600,2100914325,0,0,0,3219014,19021144,0,6691843,0,6136453340,6165385341
10,2022-11-30,AGRS,EQUITY,27649535711.0,100,0,361395972,0,20158930,1718727727,0,196,0,1709600,2101992425,0,0,0,3100614,17261444,0,7491843,0,6136453340,6164307241
11,2022-12-30,AGRS,EQUITY,27649535711.0,90,0,361295972,0,20158930,1717831327,0,196,0,1710100,2100996525,0,0,0,3076514,18281444,0,7491843,0,6136453340,6165303141
12,2023-01-31,AGRS,EQUITY,27649535711.0,91,0,361295972,0,20158930,1716358694,0,229,0,1709600,2099523425,0,0,0,3076514,19294544,0,7951843,0,6136453340,6166776241
13,2023-02-28,AGRS,EQUITY,27649535711.0,90,0,364245972,0,20158930,1712422294,0,229,0,1709600,2098537025,0,0,0,3076614,20280844,0,7951842,0,6136453341,6167762641
14,2023-03-31,AGRS,EQUITY,27649535711.0,84,0,366921172,0,20158930,1709572694,0,229,0,1709600,2098362625,0,0,0,4079914,19911944,0,7491842,0,6136453341,6167937041
15,2023-04-28,AGRS,EQUITY,27649535711.0,86,0,369165172,0,20158930,1706853846,0,377,0,1709600,2097887925,0,0,0,4550914,19815644,0,7591842,0,6136453341,6168411741
16,2023-05-31,AGRS,EQUITY,27649535711.0,84,0,369654772,0,20158930,1705962546,0,177,0,1709600,2097486025,0,0,0,5792014,18976444,0,7591842,0,6136453341,6168813641
17,2023-06-27,AGRS,EQUITY,27649535711.0,92,0,373576072,0,20158930,1702105108,0,215,0,1709600,2097549925,0,0,0,5943114,18761444,0,7591842,0,6136453341,6168749741
18,2023-07-31,AGRS,EQUITY,37738204065.0,94,0,381679172,0,20158930,1702993562,0,215,0,1709600,2106541479,0,0,0,4032014,18849444,0,9091742,0,6136453341,6168426541
19,2023-08-31,AGRS,EQUITY,37783204065.0,89,0,388081272,0,20158930,1692409662,0,215,0,1709600,2102359679,0,0,0,5618414,21444844,0,9091742,0,6136453341,6172608341
20,2023-09-29,AGRS,EQUITY,37783204065.0,86,0,394908172,0,20158930,1682344762,0,215,0,1709600,2099121679,0,0,0,8013014,22288244,0,9091742,0,6136453341,6175846341
21,2023-10-31,AGRS,EQUITY,37783204065.0,81,0,405553572,0,20158930,1670384762,0,215,0,1709600,2097807079,0,0,0,7517014,22116244,1982600,9091742,0,6136453341,6177160941
22,2023-11-30,AGRS,EQUITY,37783204065.0,86,0,405598872,0,20158930,1665662062,0,215,0,1709600,2093129679,0,0,0,6230614,23859344,6200000,9095042,0,6136453341,6181838341
23,2023-12-29,AGRS,EQUITY,37783204065.0,83,0,408164772,0,20158930,1658586512,0,265,0,1709600,2088620079,0,0,0,4170214,24329344,11000000,9095042,0,6137753341,6186347941
24,2024-01-31,AGRS,EQUITY,37783204065.0,80,0,406394972,0,20158930,1658215612,0,165,0,1709600,2086479279,0,0,0,6410214,24806344,11000000,8518842,0,6137753341,6188488741
25,2024-02-29,AGRS,EQUITY,37783204065.0,76,0,411788072,0,20158930,1651510529,0,248,0,1709600,2085167379,0,0,0,4807714,27706344,11000000,8533242,0,6137753341,6189800641
26,2024-03-28,AGRS,EQUITY,37783204065.0,55,0,414040772,0,20158930,1645872215,0,162,0,1709600,2081781679,0,0,0,3076714,28232744,20090300,4033242,0,6137753341,6193186341
27,2024-04-30,AGRS,EQUITY,37783204065.0,62,0,414457472,0,20158930,1636857315,0,162,0,1709600,2073183479,0,0,0,3076714,28232744,28688500,4033242,0,6137753341,6201784541
28,2024-05-31,AGRS,EQUITY,37783204065.0,58,0,415507472,0,20158930,1635807315,0,162,0,1709600,2073183479,0,0,0,3076714,28232744,28688500,4033242,0,6137753341,6201784541
29,2024-06-28,AGRS,EQUITY,37783204065.0,54,0,416037472,0,20158930,1634235815,0,162,0,1709600,2072141979,0,0,0,3076714,28453644,29509100,4033242,0,6137753341,6202826041
30,2024-07-31,AGRS,EQUITY,47864384874.0,70,0,418553172,0,20158930,1632620524,0,1100262,0,1709600,2074142488,0,0,0,4083414,27927244,29509100,4033242,0,6136453341,6202006341
31,2024-08-30,AGRS,EQUITY,47864384874.0,77,0,420245972,0,20158930,1630365484,0,250000202,0,1709600,2322480188,0,0,0,6151914,27521044,29509100,4033242,0,5886453341,5953668641
32,2024-09-30,AGRS,EQUITY,47864384874.0,72,0,421117972,0,20158930,1629675737,0,250000249,0,1709600,2322662488,0,0,0,7569614,27521044,29509100,2433242,0,5886453341,5953486341
33,2024-10-31,AGRS,EQUITY,47864384874.0,83,0,410253972,0,0,1691462967,0,229728349,0,1709600,2333154888,0,0,0,4931814,19666444,29509100,2433242,0,5886453341,5942993941
34,2024-11-29,AGRS,EQUITY,47864384874.0,78,0,413639772,0,0,1683746867,0,1414728349,0,1709600,3513824588,0,0,0,6397114,21431444,30609100,2433242,0,4701453341,4762324241
35,2024-12-30,AGRS,EQUITY,47864384874.0,72,0,417258672,0,0,1679715313,0,1414728403,0,1709600,3513411988,0,0,0,6809714,21431444,30609100,2433242,0,4701453341,4762736841
