,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,AKPI,EQUITY,612248000.0,1090,4000,145574873,0,2,28419471,17500,2122,0,0,174017968,0,8600,34,1,53503,0,142500,0,10300,214938
1,2022-02-25,AKPI,EQUITY,612248000.0,1020,4000,145577973,0,2,28421471,17500,2122,0,0,174023068,0,8600,34,1,48403,0,142500,0,10300,209838
2,2022-03-31,AKPI,EQUITY,612248000.0,995,4000,145574873,0,2,28424571,17500,2122,0,0,174023068,0,8600,34,1,48403,0,142500,0,10300,209838
3,2022-04-28,AKPI,EQUITY,612248000.0,950,4000,145574873,0,2,28451271,17500,2122,0,0,174049768,0,8600,34,1,21703,0,142500,0,10300,183138
4,2022-05-31,AKPI,EQUITY,612248000.0,1745,4000,145574873,0,2,28450271,17500,2122,0,0,174048768,0,8600,34,1,22703,0,142500,0,10300,184138
5,2022-06-30,AKPI,EQUITY,612248000.0,1490,4000,145574873,0,2,28439871,17500,2122,0,0,174038368,0,8600,34,1,23103,0,152500,0,10300,194538
6,2022-07-29,AKPI,EQUITY,612248000.0,1470,4000,145574873,0,2,28439771,17500,2122,0,0,174038268,0,8600,34,1,23203,0,152500,0,10300,194638
7,2022-08-31,AKPI,EQUITY,612248000.0,1530,4000,145574873,0,2,28429771,17500,2122,0,0,174028268,0,8600,34,10001,23203,0,152500,0,10300,204638
8,2022-09-30,AKPI,EQUITY,612248000.0,1635,4000,145574873,0,2,28264871,17500,2122,0,0,173863368,0,14200,34,1,21703,0,323300,0,10300,369538
9,2022-10-31,AKPI,EQUITY,612248000.0,1485,4000,145574873,0,2,28373971,17500,2122,0,0,173972468,0,14200,34,1,21703,0,214200,0,10300,260438
10,2022-11-30,AKPI,EQUITY,612248000.0,1300,4000,145574873,0,2,28373971,17500,2122,0,0,173972468,0,14200,34,1,21703,0,214200,0,10300,260438
11,2022-12-30,AKPI,EQUITY,612248000.0,1220,4000,145574873,0,2,28398471,17500,2122,0,0,173996968,0,9600,34,1,21703,0,194300,0,10300,235938
12,2023-01-31,AKPI,EQUITY,612248000.0,1205,4000,145574873,0,2,28398871,17500,2122,0,0,173997368,0,9600,34,1,21303,0,194300,0,10300,235538
13,2023-02-28,AKPI,EQUITY,612248000.0,1195,4000,145574873,0,2,28453371,17500,2122,0,0,174051868,0,9600,34,101,21103,0,139900,0,10300,181038
