,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ALDO,EQUITY,1316856020.0,1310,484600,923337566,0,0,383265747,200000,41,0,0,1307287954,0,0,0,9519566,500,0,0,0,48000,9568066
1,2022-02-25,ALDO,EQUITY,1316856020.0,1105,0,922052966,0,0,392299247,1400300,41,200000,0,1315952554,0,0,0,785966,69500,0,0,0,48000,903466
2,2022-03-31,ALDO,EQUITY,1316856020.0,1045,0,922016366,0,0,390992447,1700000,41,0,0,1314708854,0,0,0,2029666,69500,0,0,0,48000,2147166
3,2022-04-28,ALDO,EQUITY,1316856020.0,955,0,922016366,0,0,391278447,2300000,41,0,0,1315594854,0,43900,0,1109766,59500,0,0,0,48000,1261166
4,2022-05-31,ALDO,EQUITY,1316856020.0,955,0,922316366,0,0,390875147,2600000,2085,0,0,1315793598,0,0,0,1002866,59500,0,0,0,56,1062422
5,2022-06-30,ALDO,EQUITY,1316856020.0,850,0,922316366,0,0,392610491,1800000,41,0,0,1316726898,0,0,0,69566,59500,0,0,0,56,129122
6,2022-07-29,ALDO,EQUITY,1316856070.0,810,0,922316366,0,0,392326041,1800000,41,0,0,1316442448,0,31700,0,322366,59500,0,0,0,56,413622
7,2022-08-31,ALDO,EQUITY,1316856070.0,700,0,923892966,0,0,391064141,1800000,41,0,0,1316757148,0,0,0,39366,59500,0,0,0,56,98922
8,2022-09-30,ALDO,EQUITY,1316856070.0,655,0,924794766,0,0,390999041,1000000,41,0,0,1316793848,0,0,0,23166,39000,0,0,0,56,62222
9,2022-10-31,ALDO,EQUITY,1316856070.0,810,0,924853066,0,0,390931041,1000000,41,0,10000,1316794148,0,0,0,28366,33500,0,0,0,56,61922
10,2022-11-30,ALDO,EQUITY,1316856172.0,815,0,924816266,0,0,391016123,900000,61,0,59500,1316791950,0,0,0,33666,30500,0,0,0,56,64222
11,2022-12-30,ALDO,EQUITY,1316856309.0,805,0,926063566,0,0,389676260,900000,61,0,165300,1316805187,0,0,0,23166,27900,0,0,0,56,51122
12,2023-01-31,ALDO,EQUITY,1316856310.0,815,0,926553766,0,0,389351361,900000,61,0,0,1316805188,0,0,0,23166,27900,0,0,0,56,51122
13,2023-02-28,ALDO,EQUITY,1316856312.0,800,0,926750466,0,0,389604563,450000,61,0,0,1316805090,0,0,0,23266,27900,0,0,0,56,51222
14,2023-03-31,ALDO,EQUITY,1316856312.0,725,0,927439466,0,0,388886563,450000,61,0,0,1316776090,0,0,0,52266,27900,0,0,0,56,80222
15,2023-04-28,ALDO,EQUITY,1316856312.0,690,0,928762366,0,0,387538063,425000,61,0,0,1316725490,0,0,0,102866,27900,0,0,0,56,130822
16,2023-05-31,ALDO,EQUITY,1316856362.0,610,0,930051266,0,0,386261613,425000,61,0,0,1316737940,0,0,0,90466,27900,0,0,0,56,118422
17,2023-06-27,ALDO,EQUITY,1316856366.0,600,0,930067266,0,0,386283217,425000,61,0,0,1316775544,0,0,0,52866,27900,0,0,0,56,80822
18,2023-07-31,ALDO,EQUITY,1316856418.0,680,0,930456066,0,0,385866669,425000,61,0,0,1316747796,0,0,0,80666,27900,0,0,0,56,108622
19,2023-08-31,ALDO,EQUITY,1316856472.0,675,0,929938366,0,0,386464323,425000,61,0,0,1316827750,0,0,0,766,27900,0,0,0,56,28722
20,2023-09-29,ALDO,EQUITY,1350356472.0,745,0,977686066,0,0,372175123,463400,61,0,0,1350324650,0,0,0,3866,27900,0,0,0,56,31822
21,2023-10-31,ALDO,EQUITY,1350356472.0,735,0,980812366,0,0,369046323,463400,61,0,0,1350322150,0,0,0,6366,27900,0,0,0,56,34322
22,2023-11-30,ALDO,EQUITY,1350356472.0,820,0,984285166,0,0,365569323,463400,61,0,0,1350317950,0,0,0,10566,27900,0,0,0,56,38522
23,2023-12-29,ALDO,EQUITY,1350356872.0,930,0,987577466,0,0,362237423,440000,61,0,0,1350254950,0,0,0,73866,28000,0,0,0,56,101922
24,2024-01-31,ALDO,EQUITY,1350356872.0,670,0,988954366,0,0,360811323,440000,61,0,0,1350205750,0,0,0,123066,28000,0,0,0,56,151122
25,2024-02-29,ALDO,EQUITY,1350356872.0,730,0,988934066,0,0,360885023,440000,61,0,0,1350259150,0,0,0,69666,28000,0,0,0,56,97722
26,2024-03-28,ALDO,EQUITY,1350356872.0,890,0,988934066,0,0,360807323,525000,61,0,0,1350266450,0,0,0,62366,28000,0,0,0,56,90422
27,2024-04-30,ALDO,EQUITY,1350356872.0,905,0,988934066,0,0,361302423,74800,61,0,0,1350311350,0,0,0,17466,28000,0,0,0,56,45522
28,2024-05-31,ALDO,EQUITY,1350356872.0,845,0,988934066,0,0,361374123,0,61,0,0,1350308250,0,0,0,20566,28000,0,0,0,56,48622
29,2024-06-28,ALDO,EQUITY,1350356872.0,895,0,988934066,0,0,361318023,0,61,0,0,1350252150,0,0,0,76666,28000,0,0,0,56,104722
30,2024-07-31,ALDO,EQUITY,2700713744.0,446,0,1977868132,0,0,722743646,0,122,0,0,2700611900,0,0,0,45832,56000,0,0,0,12,101844
31,2024-08-30,ALDO,EQUITY,2700713744.0,444,0,1977868132,0,0,722783246,0,122,0,0,2700651500,0,0,0,6232,56000,0,0,0,12,62244
32,2024-09-30,ALDO,EQUITY,2700713744.0,462,0,1977868132,0,0,722751946,0,122,0,0,2700620200,0,0,0,37532,56000,0,0,0,12,93544
33,2024-10-31,ALDO,EQUITY,2700713744.0,535,0,1977868132,0,0,722785246,0,122,0,0,2700653500,0,0,0,4232,56000,0,0,0,12,60244
34,2024-11-29,ALDO,EQUITY,2700713744.0,595,0,1977868132,0,0,722729246,0,122,0,0,2700597500,0,0,0,60232,56000,0,0,0,12,116244
35,2024-12-30,ALDO,EQUITY,2700713744.0,645,0,1974868132,0,0,725773886,0,182,0,0,2700642200,0,0,0,15532,56000,0,0,0,12,71544
