,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-08-31,AMMS,EQUITY,1200000000.0,135,0,211763000,0,0,27699600,0,0,0,0,239462600,0,0,0,15900,521500,0,0,0,0,537400
1,2022-09-30,AMMS,EQUITY,1200000000.0,108,0,232200,0,0,239209900,0,0,0,0,239442100,0,0,0,0,557900,0,0,0,0,557900
2,2022-10-31,AMMS,EQUITY,1200000000.0,55,0,0,0,0,238163100,0,0,0,0,238163100,0,0,0,1016500,820400,0,0,0,0,1836900
3,2022-11-30,AMMS,EQUITY,1200000000.0,50,0,10280400,0,0,228538700,0,0,0,0,238819100,0,0,0,319100,861800,0,0,0,0,1180900
4,2022-12-30,AMMS,EQUITY,1200000000.0,43,0,10280400,0,0,228810800,0,0,0,0,239091200,0,0,0,0,908800,0,0,0,0,908800
5,2023-01-31,AMMS,EQUITY,1200000000.0,41,0,14953700,0,0,223897600,0,0,0,0,238851300,0,0,0,0,1148700,0,0,0,0,1148700
6,2023-02-28,AMMS,EQUITY,1200005310.0,37,0,19069500,0,0,219678248,0,0,0,0,238747748,0,0,0,100,1257300,0,0,0,0,1257400
7,2023-03-31,AMMS,EQUITY,1200017624.0,56,0,26613900,0,0,212144324,0,0,0,0,238758224,0,0,0,100,1259300,0,0,0,0,1259400
8,2023-04-28,AMMS,EQUITY,1200027445.0,53,0,26613900,0,0,212220445,0,0,0,0,238834345,0,0,0,100,1193000,0,0,0,0,1193100
9,2023-05-31,AMMS,EQUITY,1200029666.0,46,0,26613900,0,0,212212587,0,79,0,0,238826566,0,0,0,100,1203000,0,0,0,0,1203100
10,2023-06-27,AMMS,EQUITY,1200033468.0,42,0,26613900,0,0,212210889,0,79,0,0,238824868,0,0,0,100,1208500,0,0,0,0,1208600
11,2023-07-31,AMMS,EQUITY,1200037398.0,38,0,27713900,0,0,211109779,0,119,0,0,238823798,0,0,0,100,1213500,0,0,0,0,1213600
12,2023-08-31,AMMS,EQUITY,1200039790.0,41,0,29483900,0,0,209392412,0,78,0,0,238876390,0,0,0,100,1163300,0,0,0,0,1163400
13,2023-09-29,AMMS,EQUITY,1200040954.0,44,0,29603800,0,0,209280076,0,78,0,0,238883954,0,0,0,100,1156900,0,0,0,0,1157000
14,2023-10-31,AMMS,EQUITY,1200045205.0,39,0,29229100,0,0,209172286,0,19,0,0,238401405,0,0,0,100,1156900,0,486800,0,0,1643800
15,2023-11-30,AMMS,EQUITY,1200047536.0,44,0,28913900,0,0,209495857,0,79,0,0,238409836,0,0,0,100,1150800,0,486800,0,0,1637700
16,2023-12-29,AMMS,EQUITY,1200047984.0,40,0,28913900,0,0,209520305,0,79,0,0,238434284,0,0,0,100,1126800,0,486800,0,0,1613700
17,2024-01-31,AMMS,EQUITY,1200048831.0,37,0,28915300,0,0,209519752,0,79,0,0,238435131,0,0,0,100,1126800,0,486800,0,0,1613700
18,2024-02-29,AMMS,EQUITY,1200049359.0,33,0,28913900,0,0,209521620,0,139,0,0,238435659,0,0,0,100,1126800,0,486800,0,0,1613700
19,2024-03-28,AMMS,EQUITY,1200051366.0,29,0,28913900,0,0,209523668,0,98,0,0,238437666,0,0,0,100,1126800,0,486800,0,0,1613700
20,2024-04-30,AMMS,EQUITY,1200053130.0,22,0,28913900,0,0,209525432,0,98,0,0,238439430,0,0,0,100,1126800,0,486800,0,0,1613700
21,2024-05-31,AMMS,EQUITY,1200053391.0,22,0,28913900,0,0,209529293,0,98,0,0,238443291,0,0,0,100,1123200,0,486800,0,0,1610100
22,2024-06-28,AMMS,EQUITY,1200053708.0,18,0,28913900,0,0,209529610,0,98,0,0,238443608,0,0,0,100,1123200,0,486800,0,0,1610100
23,2024-07-31,AMMS,EQUITY,1200054086.0,19,0,28913900,0,0,209530907,0,179,0,0,238444986,0,0,0,100,1122200,0,486800,0,0,1609100
24,2024-08-30,AMMS,EQUITY,1200054692.0,22,0,28913900,0,0,209530594,0,98,0,0,238444592,0,0,0,100,1123200,0,486800,0,0,1610100
25,2024-09-30,AMMS,EQUITY,1200054934.0,26,0,28913900,0,0,209530836,0,98,0,0,238444834,0,0,0,100,1123200,0,486800,0,0,1610100
26,2024-10-31,AMMS,EQUITY,1200055496.0,25,0,28913900,0,0,209531398,0,98,0,0,238445396,0,0,0,100,1123200,0,486800,0,0,1610100
27,2024-11-29,AMMS,EQUITY,1200056102.0,33,0,28980700,0,0,209446104,0,98,0,0,238426902,0,0,0,19200,1123200,0,486800,0,0,1629200
28,2024-12-30,AMMS,EQUITY,1200059180.0,41,0,28913900,0,0,209534904,0,138,138,0,238449080,0,0,0,100,1123200,0,486800,0,0,1610100
