,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ANTM,EQUITY,24030764725.0,1770,794162817,104021562,191472745,3503712,3376833813,1055793865,137652412,22905475,2729200,5689075601,38855901,176508902,320388917,472367893,28356345,863194205,215671816,4656100,560440600,2680440679
1,2022-02-25,ANTM,EQUITY,24030764725.0,2220,903509493,106147609,190813945,3503712,3143763866,1159075450,139358885,21411575,2709200,5670293735,38835301,178185315,418791117,432030981,49216545,840742331,224856955,5162400,511401600,2699222545
2,2022-03-31,ANTM,EQUITY,24030764725.0,2440,1263634193,98170709,149558345,3503712,2466978805,994165906,112771010,19844775,1731600,5110359055,35184001,164529002,599107317,369666470,78412845,1166735986,219879894,5699800,619941410,3259156725
3,2022-04-28,ANTM,EQUITY,24030764725.0,2600,1388146793,96292609,152657845,3500012,2215616780,913379266,92017087,20574275,1949900,4884134567,31532901,210776902,651930517,393649023,46602045,1328873915,219657928,5922600,596586757,3485532588
4,2022-05-31,ANTM,EQUITY,24030764725.0,2510,1202820593,77732509,155912745,3500012,2455717780,848458554,96939541,21619875,1222600,4863924209,31000401,199203614,704549217,421492258,18888845,1311630596,234175175,5824800,578978040,3505742946
5,2022-06-30,ANTM,EQUITY,24030764725.0,1800,1008541393,89547709,139384945,3776012,2974569655,593633296,90789132,20234275,1424800,4921901217,36985801,179977722,711452343,431857942,19738845,1259203157,226266220,5784800,576688983,3447955813
6,2022-07-29,ANTM,EQUITY,24030764725.0,1955,921340693,102913409,135191345,3776012,3404931305,530950018,37054870,20207075,1424800,5157789527,31550601,174872122,703461103,409049992,22781145,1110797529,217239846,5528600,536902815,3212183753
7,2022-08-31,ANTM,EQUITY,24030764725.0,1990,1024995593,104139109,133908945,3888612,3358029505,535138404,92994508,16290175,1435200,5270820051,27812401,155898022,709336201,349760609,22455645,1111506256,221413413,4849400,496177782,3099209729
8,2022-09-30,ANTM,EQUITY,24030764725.0,1940,1005662393,109070309,141693345,4046112,3334585330,586522557,95808203,14996450,1060200,5293444899,31835301,149948010,711149412,291966617,18645445,1112899153,223022113,4183400,532981930,3076631381
9,2022-10-31,ANTM,EQUITY,24030764725.0,1845,1023437993,114236184,97158845,4046112,3458725482,482520426,98539668,15391850,670800,5294727360,26332701,149541004,723409731,292720172,17598745,1107574515,211304413,4183400,542784989,3075449670
10,2022-11-30,ANTM,EQUITY,24030764725.0,1985,993451899,99190484,107149345,4506112,3314605632,601247872,126427874,17714950,21244294,5285538462,26796901,151148287,730133350,302718572,14462445,1099544230,201237250,4183400,554468383,3084692818
11,2022-12-30,ANTM,EQUITY,24030764725.0,1985,1039674099,94898584,112417178,4506112,3168061562,701548724,132598431,17184950,2164956,5273054596,26915401,148623273,735317650,303609807,13626045,1075481622,186930499,4333600,602396912,3097234809
12,2023-01-31,ANTM,EQUITY,24030764725.0,2310,1059718899,170701784,111331078,3500012,2781151358,799480733,102161862,18253150,963656,5047262532,39356101,154428530,744782450,350171827,12479349,1167218432,194446808,2827300,657548576,3323259373
13,2023-02-28,ANTM,EQUITY,24030764725.0,1990,1096440699,148264684,114172878,3500012,2826591495,682033590,94620406,16002450,1277956,4982904170,82408701,159675522,724369717,381383719,14299949,1155173912,199290535,3120800,667976217,3387699072
14,2023-03-31,ANTM,EQUITY,24030764725.0,2090,1091057899,134227484,105736378,3500012,2998508080,569625410,93057689,16230850,1267956,5013211758,84206001,211670293,736910472,406820878,13980549,1078278286,198521174,3020200,624165756,3357573609
15,2023-04-28,ANTM,EQUITY,24030764725.0,2100,1009962499,119044384,99411278,3500012,2847502780,545264517,44461352,16182550,1077956,4686407328,89710101,242382463,779877669,463317349,12997449,1167386733,205852124,8589843,714314308,3684428039
16,2023-05-31,ANTM,EQUITY,24030764725.0,1895,1009789099,114325884,93809778,3500012,2851262080,476870694,84719747,15562550,1082656,4650922500,119279701,244523616,803232369,373364621,13252649,1179124977,207300224,9771300,770117660,3719967117
17,2023-06-27,ANTM,EQUITY,24030764725.0,1950,1009785499,118773384,94753978,3500012,2870553780,495705520,42317852,16984550,1049656,4653424231,119504401,243287480,783701820,395595309,12752649,1185694158,216414913,9771300,750820856,3717542886
18,2023-07-31,ANTM,EQUITY,24030764725.0,1985,1024005999,113170674,96744178,3500012,2891097090,501976862,84861286,15495750,1062356,4731914207,119968301,232115380,784148030,351638442,22327749,1169012628,212527213,5049300,742320867,3639107910
19,2023-08-31,ANTM,EQUITY,24030764725.0,1990,1094531299,101231974,102866778,3500012,2882357065,574940495,85588427,16598950,1062356,4862677356,113059401,217097673,787527452,322867419,22280749,1103731493,197025473,3902800,740918176,3508410636
20,2023-09-29,ANTM,EQUITY,24030764725.0,1815,1130563699,82515774,105828878,3500012,2999537390,517862392,83492533,18737350,1188356,4943226384,104422141,214896073,805421610,283017661,13458449,1097314629,189740415,6464600,713251655,3427987233
21,2023-10-31,ANTM,EQUITY,24030764725.0,1705,1095237699,85738474,105895678,3500012,3091326485,521855117,79085243,18787350,1416761,5002842819,89859241,181521373,796354110,294459300,12392749,1089536012,186605961,6800200,710869352,3368398298
22,2023-11-30,ANTM,EQUITY,24030764725.0,1740,1011587499,85906674,103366478,3500012,3208321785,456943251,80459132,18604750,1431761,4970121342,88009245,176215240,803973594,331992373,11817149,1057594060,192925694,7673600,730918820,3401119775
23,2023-12-29,ANTM,EQUITY,24030764725.0,1705,980412699,78264974,105002178,3500012,3267036435,463235476,75673843,18876550,1431761,4993433928,82838857,187077162,816725741,315076868,11960149,1040297084,191999988,7704100,724319990,3377999939
24,2024-01-31,ANTM,EQUITY,24030764725.0,1550,939901899,78378174,102006178,3500012,3403054529,482332205,80492802,19238650,1431667,5110336116,85530657,169992279,819057241,263048581,12026649,1005066289,162323733,7704100,736441222,3261190751
25,2024-02-29,ANTM,EQUITY,24030764725.0,1460,959293899,80421474,100444378,3500012,3476020254,464885437,56354879,19095650,1465667,5161481650,41127910,188122120,816574341,268593802,11654149,1027005922,168757431,8559600,679692567,3210087842
26,2024-03-28,ANTM,EQUITY,24030764725.0,1600,1095730799,78753774,99813678,3500012,3331878735,505355886,55783896,19985350,1431667,5192233797,38760142,189811321,783293609,318187147,11515149,997129682,167859619,7705700,665228326,3179490695
27,2024-04-30,ANTM,EQUITY,24030764725.0,1640,1112962299,76590374,101899278,3500012,3235453435,545399061,54905388,18841250,1431667,5150982764,44125242,170798986,739237492,384079351,14443049,1041861174,170315966,7705700,648174768,3220741728
28,2024-05-31,ANTM,EQUITY,24030764725.0,1465,1068800599,78736774,104778778,3500012,3320362135,630265923,54298623,21453850,1431667,5283628361,41260142,181657817,732151992,330461486,16974349,991612637,159863431,7705700,626408577,3088096131
29,2024-06-28,ANTM,EQUITY,24030764725.0,1250,988604099,86206655,97258278,3500012,3611339554,498524155,53230974,21082050,1465667,5361211444,37905205,168870585,741175357,312463217,14462749,966622274,164177168,6321100,598592893,3010590548
