,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,APIA01C,CORPORATE BOND,900000000000.0,1,166000000000,0,489000000000,0,4000000000,194000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,APIA01C,CORPORATE BOND,900000000000.0,1,166000000000,0,489000000000,0,4000000000,194000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,APIA01C,CORPORATE BOND,900000000000.0,1,176000000000,0,479000000000,0,4000000000,194000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,APIA01C,CORPORATE BOND,900000000000.0,1,176000000000,0,479000000000,0,4000000000,194000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,APIA01C,CORPORATE BOND,900000000000.0,1,176000000000,0,479000000000,0,4000000000,194000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,APIA01C,CORPORATE BOND,900000000000.0,1,187000000000,0,479000000000,0,4000000000,183000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,APIA01C,CORPORATE BOND,900000000000.0,1,182000000000,0,479000000000,5000000000,4000000000,183000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,APIA01C,CORPORATE BOND,900000000000.0,1,182000000000,0,479000000000,5000000000,4000000000,183000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,APIA01C,CORPORATE BOND,900000000000.0,1,182000000000,0,479000000000,5000000000,4000000000,183000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,APIA01C,CORPORATE BOND,900000000000.0,1,182000000000,0,479000000000,5000000000,4000000000,183000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,APIA01C,CORPORATE BOND,900000000000.0,1,207000000000,0,479000000000,5000000000,4000000000,158000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,APIA01C,CORPORATE BOND,900000000000.0,1,209000000000,0,479000000000,5000000000,4000000000,156000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,APIA01C,CORPORATE BOND,900000000000.0,1,209000000000,0,479000000000,5000000000,4000000000,156000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,APIA01C,CORPORATE BOND,900000000000.0,1,209000000000,0,479000000000,5000000000,4000000000,156000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,APIA01C,CORPORATE BOND,900000000000.0,1,209000000000,0,479000000000,5000000000,4000000000,156000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,APIA01C,CORPORATE BOND,900000000000.0,1,209000000000,0,479000000000,5000000000,4000000000,156000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,APIA01C,CORPORATE BOND,900000000000.0,1,209000000000,0,479000000000,5000000000,4000000000,156000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,APIA01C,CORPORATE BOND,900000000000.0,1,209000000000,0,479000000000,5000000000,4000000000,156000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,APIA01C,CORPORATE BOND,900000000000.0,1,209000000000,0,479000000000,5000000000,4000000000,156000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,APIA01C,CORPORATE BOND,900000000000.0,1,227000000000,0,461000000000,5000000000,4000000000,156000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,APIA01C,CORPORATE BOND,900000000000.0,1,237000000000,0,481000000000,5000000000,4000000000,126000000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,APIA01C,CORPORATE BOND,900000000000.0,1,247000000000,10000000000,499500000000,5000000000,4000000000,87500000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
22,2023-11-30,APIA01C,CORPORATE BOND,900000000000.0,1,247000000000,10000000000,499500000000,5000000000,4000000000,87500000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
23,2023-12-29,APIA01C,CORPORATE BOND,900000000000.0,1,247000000000,10000000000,499500000000,5000000000,4000000000,87500000000,0,7000000000,40000000000,900000000000,0,0,0,0,0,0,0,0,0,0
