,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,APLN,EQUITY,22699326779.0,114,5283600,9330494098,2541900,0,3227989116,11217000,99229946,709400,390000,12677855060,0,13727982,0,292743520,8855700,3053200,1391283,0,7920034,327691719
1,2022-02-25,APLN,EQUITY,22699326779.0,115,5283600,9329497798,2000000,0,3232406116,11217000,99380046,708000,390000,12680882560,0,13727982,0,292743520,8801200,80200,1391283,0,7920034,324664219
2,2022-03-31,APLN,EQUITY,22699326779.0,118,5283600,9329432598,2000000,0,3230157316,11217000,99340146,700000,390000,12678520660,0,14346282,0,294377120,8911200,80200,1391283,0,7920034,327026119
3,2022-04-28,APLN,EQUITY,22699326779.0,114,5283600,9330219798,2000000,0,3233089416,11217000,99154046,700000,390000,12682053860,0,13911782,0,292768420,7421200,80200,1391283,0,7920034,323492919
4,2022-05-31,APLN,EQUITY,22699326779.0,110,5283600,9330609898,2000000,0,3232746616,11217000,99014946,700000,390000,12681962060,0,13727982,0,292743420,7721800,80200,1391283,0,7920034,323584719
5,2022-06-30,APLN,EQUITY,22699326779.0,110,5283600,9330459898,2000000,0,3229766816,11097000,102963446,700000,390000,12682660760,0,13727982,0,292774720,5521800,80200,2861283,0,7920034,322886019
6,2022-07-29,APLN,EQUITY,22699326779.0,111,5283600,9330516398,2000000,0,3233920316,11097000,98963446,700000,390000,12682870760,0,13727482,0,292774720,5311800,80200,2861783,0,7920034,322676019
7,2022-08-31,APLN,EQUITY,22699326779.0,119,7283600,9330446198,2000000,0,3231988316,11097000,98963446,700000,390000,12682868560,0,13727482,0,292775920,5312800,80200,2861783,0,7920034,322678219
8,2022-09-30,APLN,EQUITY,22699326779.0,125,5283600,9332277098,2000000,0,3235075516,12147000,94051046,700000,390000,12681924260,0,13962682,0,294226920,6040900,80200,1391783,0,7920034,323622519
9,2022-10-31,APLN,EQUITY,22699326779.0,154,5283600,9331069598,2000000,0,3246285216,11097000,88040946,700000,390000,12684866360,0,13727482,0,291620020,5940900,80200,1391783,0,7920034,320680419
10,2022-11-30,APLN,EQUITY,22699326779.0,162,5283600,9334528198,2000000,0,3156558716,11097000,77268870,700000,390000,12587826384,0,9027406,22766492,306013696,7508800,9152500,2151761,5037608,56062132,417720395
11,2022-12-30,APLN,EQUITY,22699326779.0,154,5283600,9335287398,2000000,0,3099098716,11097000,79780098,700000,2535000,12535781812,672861,11670206,43396750,304266996,8290800,11970400,1651761,8166608,79678585,469764967
12,2023-01-31,APLN,EQUITY,22699326779.0,149,5283600,9338234598,2000000,0,3091392716,11097000,80238098,700000,390000,12529336012,672861,11703106,47102550,295365796,7760600,14450400,1651761,10625108,86878585,476210767
13,2023-02-28,APLN,EQUITY,22699326779.0,151,5283600,9339658098,2000000,0,3088970716,11097000,83986898,700000,390000,12532086312,672861,13029606,47882750,296020896,7271100,14367800,1656761,12849908,79708785,473460467
14,2023-03-31,APLN,EQUITY,22699326779.0,138,5283600,9340158098,2020000,0,3075161716,11097000,91444898,700000,390000,12526255312,672861,13852106,51256450,294609396,7272100,14240400,1656761,14892108,80839285,479291467
15,2023-04-28,APLN,EQUITY,22699326779.0,134,5283600,9340858098,2060000,0,3074275416,11097000,92558898,700000,390000,12527223012,672861,13852106,51256450,293661196,7252600,14240400,1656761,14892108,80839285,478323767
16,2023-05-31,APLN,EQUITY,22699326779.0,135,5283600,9340858198,2000000,0,3063203916,11097000,97267698,700000,390000,12520800412,672861,13836706,51256450,300371796,7276600,14240400,1676761,14892108,80522685,484746367
17,2023-06-27,APLN,EQUITY,22699326779.0,141,5283600,9343288198,2000000,0,3057405816,15997000,94896798,700000,390000,12519961412,672861,13852106,51256450,300175096,7276800,14240400,2026761,14892108,81192785,485585367
18,2023-07-31,APLN,EQUITY,22699326779.0,159,5283600,9328962998,2000000,0,3027645216,12097000,121373007,700000,390000,12498451821,672861,13901415,51256450,316948787,7274000,16599800,4356761,14892108,81192776,507094958
19,2023-08-31,APLN,EQUITY,22699326779.0,143,5283600,9326038898,2035000,0,2990068816,23597000,106738007,700000,390000,12454851321,672861,13996515,61912450,313278687,3647000,22780900,4356761,20691208,109359076,550695458
