,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,769037459,0,90271120,14086735,0,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
1,2022-02-25,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,769037459,0,90271120,14086735,0,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
2,2022-03-31,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,769001259,0,90307320,14086735,0,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
3,2022-04-28,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,769001259,0,90307320,14086735,0,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
4,2022-05-31,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,769001259,0,90307320,14086735,0,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
5,2022-06-30,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,768901259,0,90407320,14086735,0,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
6,2022-07-29,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,768901259,0,90407320,14086735,0,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
7,2022-08-31,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,768901259,0,90407320,14086735,0,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
8,2022-09-30,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,768801259,0,90507320,14086735,0,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
9,2022-10-31,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,768801259,0,90507320,14086735,0,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
10,2022-11-30,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,768300759,0,90507820,14086735,500000,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
11,2022-12-30,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,768224959,0,90507820,14086735,575800,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
12,2023-01-31,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,768224959,0,90507820,14086735,575800,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
13,2023-02-28,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,768224959,0,90507820,14086735,575800,1523854794,0,2653784186,0,1180647657,16069992,0,1410334020,0,85088011,5345923866
14,2023-03-31,APOL,EQUITY,16452282461.0,50,0,649059480,1400000,0,776035251,0,90507820,14086735,575800,1531665086,0,2653784186,0,1180647657,8259700,0,1410334020,0,85088011,5338113574
