,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2024-03-28,AREA,EQUITY,2539601000.0,1,0,332532600,0,0,174939900,0,2231500,9800,0,509713800,0,0,0,0,286200,0,0,0,0,286200
1,2024-04-30,AREA,EQUITY,2539601000.0,113,0,276562500,0,0,230963200,0,0,0,0,507525700,0,0,0,334500,419500,0,1720300,0,0,2474300
2,2024-05-31,AREA,EQUITY,2539601000.0,120,0,319120100,0,0,186228300,0,0,0,0,505348400,0,200,0,2092200,346900,0,2212300,0,0,4651600
3,2024-06-28,AREA,EQUITY,2539601000.0,178,0,331753000,0,0,151247100,0,0,0,0,483000100,0,5516800,0,13143100,214900,0,8125100,0,0,26999900
4,2024-07-31,AREA,EQUITY,2539601000.0,176,0,331753000,0,0,176768000,0,0,0,0,508521000,0,0,0,1187700,291300,0,0,0,0,1479000
5,2024-08-30,AREA,EQUITY,2539601000.0,220,0,331750800,0,0,171368400,0,0,0,0,503119200,0,0,0,6606500,274300,0,0,0,0,6880800
6,2024-09-30,AREA,EQUITY,2539601000.0,214,0,331750800,0,0,167799500,0,0,0,0,499550300,0,0,0,10149900,274300,0,25500,0,0,10449700
7,2024-10-31,AREA,EQUITY,2539601000.0,236,0,331850800,0,0,167503500,0,0,0,0,499354300,0,148000,0,9791800,244800,0,461100,0,0,10645700
8,2024-11-29,AREA,EQUITY,2539601000.0,216,0,331850800,0,0,165841000,0,0,0,0,497691800,0,178600,0,11797200,138000,0,194400,0,0,12308200
9,2024-12-30,AREA,EQUITY,2539601000.0,200,0,331850800,0,0,170085200,0,0,0,0,501936000,0,35900,0,7575200,137900,0,315000,0,0,8064000
