,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ASBI,EQUITY,348386472.0,298,21492,309537614,922,1106,23225544,0,332360,0,0,333119038,0,100,0,1480000,530170,0,1250428,0,0,3260698
1,2022-02-25,ASBI,EQUITY,348386472.0,300,21492,309916014,922,1106,22847144,0,332360,0,0,333119038,0,100,0,1480000,530170,0,1250428,0,0,3260698
2,2022-03-31,ASBI,EQUITY,348386472.0,292,21492,310108814,922,1106,22654344,0,332360,0,0,333119038,0,100,0,1480000,530170,0,1250428,0,0,3260698
3,2022-04-28,ASBI,EQUITY,348386472.0,298,21492,310241414,922,1106,22373144,0,332360,0,0,332970438,0,100,0,1480000,530170,0,1399028,0,0,3409298
4,2022-05-31,ASBI,EQUITY,348386472.0,290,21492,310431914,922,1106,22182644,0,332360,0,0,332970438,0,100,0,1480000,530170,0,1399028,0,0,3409298
5,2022-06-30,ASBI,EQUITY,348386472.0,310,2051492,310409214,922,1106,20175344,0,332360,0,0,332970438,0,100,0,1480000,530170,0,1399028,0,0,3409298
6,2022-07-29,ASBI,EQUITY,348386472.0,306,3590692,309737914,922,1106,19306444,0,332360,0,0,332969438,0,0,0,1480000,530170,0,1400128,0,0,3410298
7,2022-08-31,ASBI,EQUITY,348386472.0,540,4921492,309537614,922,1106,18175944,0,332360,0,0,332969438,0,0,0,1480000,530170,0,1400128,0,0,3410298
8,2022-09-30,ASBI,EQUITY,348386472.0,560,5295092,309537614,922,1106,17894744,0,332360,0,0,333061838,0,0,0,1480000,530170,0,1307728,0,0,3317898
9,2022-10-31,ASBI,EQUITY,348386472.0,560,5726592,309537614,922,1106,17463244,0,332360,0,0,333061838,0,0,0,1480000,530170,0,1307728,0,0,3317898
10,2022-11-30,ASBI,EQUITY,348386472.0,560,6281492,309537614,922,1106,17042744,0,332360,0,0,333196238,0,0,0,1380400,530170,0,1272928,0,0,3183498
11,2022-12-30,ASBI,EQUITY,348386472.0,540,6688992,309537614,922,1106,16635244,0,332360,0,0,333196238,0,0,0,1380400,530170,0,1272928,0,0,3183498
12,2023-01-31,ASBI,EQUITY,348386472.0,540,6713992,309537614,922,1106,16612344,0,332360,0,0,333198338,0,0,0,1378300,530170,0,1272928,0,0,3181398
13,2023-02-28,ASBI,EQUITY,348386472.0,540,6876992,309537614,922,1106,16669244,0,112360,0,0,333198238,0,0,0,1378400,530170,0,1272928,0,0,3181498
14,2023-03-31,ASBI,EQUITY,348386472.0,550,7170492,309537614,922,1106,16375744,0,112360,0,0,333198238,0,0,0,1378400,530170,0,1272928,0,0,3181498
15,2023-04-28,ASBI,EQUITY,348386472.0,560,7296992,309537614,922,1106,16249244,0,112360,0,0,333198238,0,0,0,1378400,530170,0,1272928,0,0,3181498
16,2023-05-31,ASBI,EQUITY,348386472.0,570,7546492,309537614,922,1106,15998044,0,112360,0,0,333196538,0,0,0,1380100,530170,0,1272928,0,0,3183198
17,2023-06-27,ASBI,EQUITY,348386472.0,570,7836492,309537614,922,1106,15682344,0,147360,0,0,333205838,0,0,0,1370800,530170,0,1272928,0,0,3173898
18,2023-07-31,ASBI,EQUITY,348386472.0,585,8068692,309537614,922,1106,15448744,0,147360,0,0,333204438,0,0,0,1372200,530170,0,1272928,0,0,3175298
19,2023-08-31,ASBI,EQUITY,348386472.0,595,8570492,309537614,922,1106,15050544,0,27360,0,0,333188038,0,0,0,1388600,530170,0,1272928,0,0,3191698
20,2023-09-29,ASBI,EQUITY,348386472.0,615,8746392,309538614,922,1106,14860144,0,27360,0,0,333174538,0,0,0,1582640,530170,0,1092388,0,0,3205198
21,2023-10-31,ASBI,EQUITY,348386472.0,635,9362392,309537614,22,1106,14852544,0,27360,0,0,333781038,0,0,0,976140,530170,0,1092388,0,0,2598698
22,2023-11-30,ASBI,EQUITY,348386472.0,665,10123992,309537614,22,1106,14491244,0,27360,0,0,334181338,0,0,0,575840,530170,0,1092388,0,0,2198398
23,2023-12-29,ASBI,EQUITY,348386472.0,700,10471492,309537614,22,1106,17032386,0,27360,0,0,337069980,0,0,0,569840,530170,0,1092388,0,0,2192398
24,2024-01-31,ASBI,EQUITY,348386472.0,710,10989992,309537614,22,1106,16509386,0,27360,0,0,337065480,0,0,0,574340,530170,0,1092388,0,0,2196898
25,2024-02-29,ASBI,EQUITY,348386472.0,720,11826492,309537614,22,1106,15951386,0,27360,0,0,337343980,0,0,0,295840,530170,0,1092388,0,0,1918398
26,2024-03-28,ASBI,EQUITY,348386472.0,785,12706492,309537614,22,1106,15171986,0,27360,0,0,337444580,0,0,0,195240,530170,0,1092388,0,0,1817798
27,2024-04-30,ASBI,EQUITY,348386472.0,870,13018992,309537614,22,1106,14852986,0,27360,0,0,337438080,0,0,0,201740,530170,0,1092388,0,0,1824298
28,2024-05-31,ASBI,EQUITY,348386472.0,895,13143192,309537614,22,1106,14728286,0,27360,0,0,337437580,0,0,0,202240,530170,0,1092388,0,0,1824798
29,2024-06-28,ASBI,EQUITY,348386472.0,900,13146492,309537614,22,1106,14732486,0,27360,0,0,337445080,0,0,0,194740,530170,0,1092388,0,0,1817298
30,2024-07-31,ASBI,EQUITY,348386472.0,900,13316492,309537614,22,1106,14576586,0,27360,0,0,337459180,0,0,0,180640,530170,0,1092388,0,0,1803198
31,2024-08-30,ASBI,EQUITY,348386472.0,900,13326992,309537614,22,1106,14563986,0,27360,0,0,337457080,0,0,0,182740,530170,0,1092388,0,0,1805298
32,2024-09-30,ASBI,EQUITY,348386472.0,900,13326992,309537614,22,1106,15387598,0,27360,0,0,338280692,0,0,0,182740,530170,0,1092388,0,0,1805298
33,2024-10-31,ASBI,EQUITY,348386472.0,900,13326892,314941470,22,1106,15387698,0,27360,0,0,343684548,0,0,0,182740,530170,0,1092388,0,0,1805298
34,2024-11-29,ASBI,EQUITY,348386472.0,680,13363992,314941470,22,1106,15379898,0,120,40,0,343686648,0,0,0,180640,530170,0,1092388,0,0,1803198
35,2024-12-30,ASBI,EQUITY,348386472.0,462,13461492,314941470,22,1106,15394798,0,120,40,0,343799048,0,0,0,180640,530170,0,979988,0,0,1690798
