,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ASDF05ACN3,CORPORATE BOND,540940000000.0,1,63000000000,0,38700000000,86000000000,20000000,353220000000,0,0,0,540940000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,ASDF05ACN3,CORPORATE BOND,540940000000.0,1,63000000000,0,38700000000,86000000000,20000000,353220000000,0,0,0,540940000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,ASDF05ACN3,CORPORATE BOND,540940000000.0,1,63000000000,0,111700000000,81000000000,20000000,285220000000,0,0,0,540940000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,ASDF05ACN3,CORPORATE BOND,540940000000.0,1,92000000000,0,18700000000,81000000000,20000000,349220000000,0,0,0,540940000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,ASDF05ACN3,CORPORATE BOND,540940000000.0,1,92000000000,0,109700000000,81000000000,20000000,258220000000,0,0,0,540940000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,ASDF05ACN3,CORPORATE BOND,540940000000.0,1,97960000000,0,109700000000,81000000000,20000000,252260000000,0,0,0,540940000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,ASDF05ACN3,CORPORATE BOND,540940000000.0,1,125960000000,0,109700000000,81000000000,20000000,224260000000,0,0,0,540940000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,ASDF05ACN3,CORPORATE BOND,540940000000.0,1,125960000000,0,109700000000,81000000000,20000000,224260000000,0,0,0,540940000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,ASDF05ACN3,CORPORATE BOND,540940000000.0,1,140960000000,0,109700000000,88300000000,20000000,201960000000,0,0,0,540940000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,ASDF05ACN3,CORPORATE BOND,540940000000.0,1,140960000000,0,109700000000,88300000000,20000000,201960000000,0,0,0,540940000000,0,0,0,0,0,0,0,0,0,0
