,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-05-31,ASHA,EQUITY,5000000000.0,244,0,67906800,0,0,1181569300,0,0,0,0,1249476100,0,0,0,0,523900,0,0,0,0,523900
1,2022-06-30,ASHA,EQUITY,5000000000.0,158,0,67094800,0,0,1176155600,1500000,0,0,0,1244750400,0,0,0,4053300,1196300,0,0,0,0,5249600
2,2022-07-29,ASHA,EQUITY,5000000000.0,332,0,3066407100,0,0,1826858400,1500000,0,0,0,4894765500,0,23400,0,104501900,709200,0,0,0,0,105234500
3,2022-08-31,ASHA,EQUITY,5000000000.0,216,0,3066901100,0,0,1909828200,0,0,0,0,4976729300,0,0,0,21274200,1996500,0,0,0,0,23270700
4,2022-09-30,ASHA,EQUITY,5000000000.0,179,0,3066739000,0,0,1908162100,0,40300,0,0,4974941400,0,493200,0,23288900,1276500,0,0,0,0,25058600
5,2022-10-31,ASHA,EQUITY,5000000000.0,168,0,3065805100,0,0,1906310400,0,0,0,0,4972115500,0,0,0,26610800,1273700,0,0,0,0,27884500
6,2022-11-30,ASHA,EQUITY,5000000000.0,128,0,3077018500,0,0,1920861500,0,0,0,0,4997880000,0,0,0,80500,2039500,0,0,0,0,2120000
7,2022-12-30,ASHA,EQUITY,5000000000.0,89,0,3072121500,0,0,1918574600,0,0,0,0,4990696100,0,75900,0,7617100,1610900,0,0,0,0,9303900
8,2023-01-31,ASHA,EQUITY,5000000000.0,103,0,3045451500,0,0,1952536000,0,0,0,0,4997987500,0,0,0,256100,1756400,0,0,0,0,2012500
9,2023-02-28,ASHA,EQUITY,5000000000.0,103,0,3045574000,0,0,1953586400,0,0,0,0,4999160400,0,0,0,186300,653300,0,0,0,0,839600
