,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ASJT,EQUITY,1400000000.0,133,30426303,51174033,1083549171,0,147942111,38418065,42070239,0,6323900,1399903822,0,20700,0,778,25900,0,48800,0,0,96178
1,2022-02-25,ASJT,EQUITY,1400000000.0,130,30426303,51069733,1083549171,0,148046411,38418065,42070239,0,6323900,1399903822,0,20700,0,778,25900,0,48800,0,0,96178
2,2022-03-31,ASJT,EQUITY,1400000000.0,127,30426303,51019533,1083549171,0,148053652,38392524,42070239,0,6323900,1399835322,0,20700,0,778,94400,0,48800,0,0,164678
3,2022-04-28,ASJT,EQUITY,1400000000.0,128,30426303,50711033,1083549171,0,148395626,38359050,42070239,0,6323900,1399835322,0,20700,0,778,94400,0,48800,0,0,164678
4,2022-05-31,ASJT,EQUITY,1400000000.0,127,30426303,50674033,1083549171,0,148481426,38359050,42070239,0,6323900,1399884122,0,20700,0,778,94400,0,0,0,0,115878
5,2022-06-30,ASJT,EQUITY,1400000000.0,129,30426303,50674033,1083549171,0,148481426,38359050,42070239,0,6323900,1399884122,0,20700,0,778,94400,0,0,0,0,115878
6,2022-07-29,ASJT,EQUITY,1400000000.0,129,30426303,50674033,1083564858,0,148481426,38343363,42070239,0,6323900,1399884122,0,0,0,778,94400,0,20700,0,0,115878
7,2022-08-31,ASJT,EQUITY,1400000000.0,141,30426303,50672933,1083564858,0,148514736,38311153,42070239,0,6323900,1399884122,0,0,0,778,94400,0,20700,0,0,115878
8,2022-09-30,ASJT,EQUITY,1400000000.0,135,30426303,49391533,1083564858,0,149601536,38311153,42070239,0,6323900,1399689522,0,0,0,778,39100,0,270600,0,0,310478
9,2022-10-31,ASJT,EQUITY,1400000000.0,141,30426303,46258933,1083564858,0,152784236,38311153,42070239,0,6323900,1399739622,0,0,0,778,39000,0,220600,0,0,260378
10,2022-11-30,ASJT,EQUITY,1400000000.0,133,30426303,45495533,1083564858,0,151557737,38311153,42070338,0,8322600,1399748522,0,0,0,28278,2600,0,220600,0,0,251478
11,2022-12-30,ASJT,EQUITY,1400000000.0,123,30426303,45474333,1083564858,0,148515637,38311153,42070338,0,11385900,1399748522,0,0,0,28278,2600,0,220600,0,0,251478
12,2023-01-31,ASJT,EQUITY,1400000000.0,127,30426303,45474333,1083549258,0,149454437,38311153,42070338,0,10462700,1399748522,0,0,0,28278,2600,0,220600,0,0,251478
13,2023-02-28,ASJT,EQUITY,1400000000.0,126,30426303,48577333,1083549171,0,150490224,38311153,42070338,0,6323900,1399748422,0,0,0,28378,2600,0,220600,0,0,251578
14,2023-03-31,ASJT,EQUITY,1400000000.0,126,30426303,48114833,1083549171,0,150952724,38311153,42070338,0,6323900,1399748422,0,0,0,28378,2600,0,220600,0,0,251578
15,2023-04-28,ASJT,EQUITY,1400000000.0,121,30426303,48124833,1083549171,0,150944424,38311153,42070338,0,6323900,1399750122,0,0,0,29078,200,0,220600,0,0,249878
16,2023-05-31,ASJT,EQUITY,1400000000.0,116,30426303,44093233,1083549171,0,157736224,35539453,42070338,0,6323900,1399738622,0,0,0,40578,200,0,220600,0,0,261378
17,2023-06-27,ASJT,EQUITY,1400000000.0,117,30426303,44266333,1083549171,0,157719029,35417248,42070338,0,6323900,1399772322,0,0,0,6878,200,0,220600,0,0,227678
18,2023-07-31,ASJT,EQUITY,1400000000.0,113,30426303,43450133,1083549171,0,159352153,34574724,42020338,0,6323900,1399696722,0,0,0,82478,200,0,220600,0,0,303278
19,2023-08-31,ASJT,EQUITY,1400000000.0,113,30426303,43144433,1083549171,0,160396621,34027456,42020338,0,6323900,1399888222,0,0,0,90978,100,0,20700,0,0,111778
