,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ASRI,EQUITY,19649411888.0,147,12742700,9124669160,25423500,75000,3553209342,110510517,2769548314,15058500,0,15611237033,0,99521542,55235827,321079578,9598000,216325425,319659645,0,34304838,1055724855
1,2022-02-25,ASRI,EQUITY,19649411888.0,152,12742700,9216341560,25423500,75000,3555368142,105928899,2679231263,15058500,0,15610169564,0,99521542,55235827,322017698,8818000,217214474,319679945,0,34304838,1056792324
2,2022-03-31,ASRI,EQUITY,19649411888.0,170,10742700,9211775660,25423500,75000,3483107542,105852499,2755900405,15058700,0,15607936006,0,100245542,58770827,318958328,8098000,215944063,322724245,0,34284877,1059025882
3,2022-04-28,ASRI,EQUITY,19649411888.0,159,8073000,9207050460,25423500,0,3476324342,105710849,2753423181,15058700,75000,15591139032,0,102778742,58770827,320751122,8108000,218326795,325244745,0,41842625,1075822856
4,2022-05-31,ASRI,EQUITY,19649411888.0,166,8073000,9206908760,25423500,0,3454480742,105808324,2758575045,15058700,75000,15574403071,0,103188542,61615927,329369458,8108000,218023086,326419145,0,45834659,1092558817
5,2022-06-30,ASRI,EQUITY,19649411888.0,169,8073000,9220034460,26123500,0,3403892242,105527356,2762563559,15058700,75000,15541347817,0,104333742,66208227,339110858,8518000,218144012,329404245,2427200,57467787,1125614071
6,2022-07-29,ASRI,EQUITY,19649411888.0,166,8073000,9097896560,26123500,0,3504663842,105700969,2753990758,15058700,75000,15511582329,0,108259842,77355427,337407033,7567200,223314425,333682045,2427200,65366387,1155379559
7,2022-08-31,ASRI,EQUITY,19649411888.0,180,13353000,9618310860,26123500,0,3426387542,112205839,2223361744,15058500,75000,15434875985,0,112567142,79784727,381789433,7582200,244950269,332816745,2427200,70168187,1232085903
8,2022-09-30,ASRI,EQUITY,19649411888.0,169,8082700,9628377760,25827600,0,3398399342,134262799,2210161126,15058500,75000,15420244827,0,104510164,79784727,358823111,7687200,281005571,334967245,2427200,77511843,1246717061
9,2022-10-31,ASRI,EQUITY,19649411888.0,174,8101200,9635875660,22340600,0,3426191342,137262799,2211717300,15058500,0,15456547401,0,105511242,79784727,324035304,7567200,281307956,334311645,2427200,75469213,1210414487
