,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ASSA,EQUITY,3561767810.0,2760,36504714,1785448841,26718995,0,1139152618,231603469,5665398,353000,1049300,3226496335,1033000,4466947,9912200,24655504,124114800,27049645,35060200,41600,108937579,335271475
1,2022-02-25,ASSA,EQUITY,3565494448.0,2540,36679114,1787531741,29022695,0,1153879556,228639637,3892930,202400,1049300,3240897373,1033000,7900547,9912200,24695504,126176800,24017045,35367500,0,95494479,324597075
2,2022-03-31,ASSA,EQUITY,3565785062.0,2610,35095601,1793920503,27442273,0,1121235329,259215654,874622,1962100,154300,3239900382,1033000,8495947,9175700,27003704,127163900,25018245,35349700,0,92644484,325884680
3,2022-04-28,ASSA,EQUITY,3565797220.0,2550,31703401,1790238337,33913073,0,1140110853,254553450,1022426,2422400,1154300,3255118240,1228300,10201147,3171900,21959504,122178900,22652775,35235270,0,94051184,310678980
4,2022-05-31,ASSA,EQUITY,3566329800.0,2200,39423301,1793566877,39208373,0,1143528410,243061884,986375,2758800,1354300,3263888320,1228300,7719447,3171900,24530304,119860300,18133975,35417870,0,92379384,302441480
5,2022-06-30,ASSA,EQUITY,3566331187.0,1705,51593701,1795560777,42514073,0,1151423648,235354107,2114101,2953800,1554300,3283068507,1620100,7081647,4558000,21158504,110869000,19688175,25880470,0,92406784,283262680
6,2022-07-29,ASSA,EQUITY,3566341241.0,1670,55755101,1797338077,43364216,0,1154839902,220916797,3229025,2953800,1754300,3280151218,1620100,7762147,4558000,26918004,114235100,21352175,14077713,0,95666784,286190023
7,2022-08-31,ASSA,EQUITY,3566360707.0,1460,50912701,1801921777,39846916,0,1200456168,177602352,1362270,3393500,1809300,3277304984,1620100,7816647,4558000,30702704,115884500,16826775,15980213,0,95666784,289055723
8,2022-09-30,ASSA,EQUITY,3566360807.0,1270,49618501,1803695477,39067181,0,1232805819,140786699,1440407,4297800,1834300,3273546184,1620100,8115247,4558000,29615804,116285900,19033375,17919413,0,95666784,292814623
9,2022-10-31,ASSA,EQUITY,3566392560.0,1195,46247001,1809948177,38639881,0,1263754972,103216716,1443507,4247800,2754300,3270252354,1620100,8004307,4909700,27345604,117279900,19585275,20454313,0,96941007,296140206
10,2022-11-30,ASSA,EQUITY,3566394560.0,860,47728901,1812876977,35554481,0,1316451007,62077224,1941964,4212800,400100,3281243454,1620100,3423207,4341900,39657304,118596200,11513975,10331343,0,95667077,285151106
11,2022-12-30,ASSA,EQUITY,3566394560.0,775,49495101,1802281077,34381881,0,1445475743,59919044,2097208,4212800,7366600,3405229454,0,3340007,641200,53230604,1722600,5799175,11757243,0,84674277,161165106
12,2023-01-31,ASSA,EQUITY,3566394560.0,850,45329701,1800596177,34974381,0,1438493543,84777127,1847125,2991600,400100,3409409754,0,2390307,641200,50570704,1727600,6015275,10765732,0,84873988,156984806
13,2023-02-28,ASSA,EQUITY,3566394560.0,1015,41830201,1805397877,34660781,0,1451724143,75550432,1525339,2991600,800100,3414480473,0,2312307,641200,41768485,1766500,8826175,11593432,0,85005988,151914087
14,2023-03-31,ASSA,EQUITY,3566394648.0,755,39198301,1822116777,34948881,0,1454282431,60910424,1936047,2991600,400100,3416784561,0,979107,641200,39135685,1820000,9585575,11913432,0,85535088,149610087
15,2023-04-28,ASSA,EQUITY,3566394648.0,905,43318301,1802653377,34561481,0,1446095731,50647067,1792304,2951600,100,3382019961,0,979107,641200,41438185,1730100,12931675,12487232,0,114167188,184374687
16,2023-05-31,ASSA,EQUITY,3566400443.0,1105,41642900,1793064977,31634069,0,1423135526,50255994,1422890,2449200,1000100,3344605656,0,914707,1571200,56826685,1641200,7918875,12887143,0,140034977,221794787
17,2023-06-27,ASSA,EQUITY,3566405140.0,1275,36596800,1794006077,32512869,0,1414188123,65823394,1380990,5900100,1000100,3351408453,0,1030607,1571200,49905985,1738400,8130475,12487143,0,140132877,214996687
18,2023-07-31,ASSA,EQUITY,3691137517.0,1285,64821700,1791850777,29259069,0,1418887040,56846473,1379911,3424200,100,3366469270,0,1356907,641200,62417345,1779300,8130475,109970243,0,140372777,324668247
19,2023-08-31,ASSA,EQUITY,3691137517.0,985,81225400,1791285877,29159069,0,1269893987,47124340,1346697,3184200,100,3223219670,0,1378307,641200,203552945,3955700,7525575,110194543,0,140669577,467917847
20,2023-09-29,ASSA,EQUITY,3691137517.0,995,74102700,1791484977,29191317,0,1278642887,98965832,1369185,4784200,100,3278541198,0,1378307,641200,201508645,4024800,6382475,111662015,0,86998877,412596319
21,2023-10-31,ASSA,EQUITY,3691137517.0,810,66137400,1795805577,26102373,0,1277051038,96409854,1432556,4784200,100,3267723098,0,1540907,0,204560645,4128800,7506875,110161915,0,95515277,423414419
22,2023-11-30,ASSA,EQUITY,3691137517.0,955,54874300,1793031077,24519673,0,1387004950,119535278,1649320,4784200,400100,3385798898,0,1664607,0,95116145,4559800,7983175,110161915,0,85852977,305338619
23,2023-12-29,ASSA,EQUITY,3691137517.0,790,46045800,1794927777,24884973,0,1401743750,110094446,1827652,5342400,100,3384866898,0,1198707,0,95650845,5133000,8273175,110161915,0,85852977,306270619
24,2024-01-31,ASSA,EQUITY,3691137517.0,725,49165300,1795399777,24076873,0,1392134950,112736402,1526896,5317400,100,3380357698,0,1701507,0,94295245,3152000,25221275,99570215,0,86839577,310779819
25,2024-02-29,ASSA,EQUITY,3691137517.0,735,49158900,1797061177,23310573,0,1410397950,91107842,1568556,4817400,100,3377422498,0,2178607,0,93587245,3341000,25498275,99570315,0,89539577,313715019
26,2024-03-28,ASSA,EQUITY,3691137517.0,775,62128400,1798910777,22861673,0,1392842950,85771306,1771692,4082400,100,3368369298,0,2485107,0,90752645,3147000,40346475,100290215,0,85746777,322768219
27,2024-04-30,ASSA,EQUITY,3691137517.0,775,54163900,1799418777,19814273,0,1382812150,92375806,2052092,6971700,100,3357608798,0,2485107,0,89314445,3152900,42359475,99420015,0,96796777,333528719
28,2024-05-31,ASSA,EQUITY,3691137517.0,730,44058000,1804382277,20678873,0,1367390450,103559006,1336592,8079900,100,3349485198,0,3145207,0,102431345,3065900,42302975,101857815,0,88849077,341652319
29,2024-06-28,ASSA,EQUITY,3691137517.0,640,29362100,1799110577,17652473,0,1402885469,94478698,1406381,7473500,100,3352369298,0,3651907,0,95225245,2784900,43244675,99415015,0,94446477,338768219
30,2024-07-31,ASSA,EQUITY,3691137517.0,765,8519400,1804838477,17680273,0,1393660469,80921998,2775381,7975200,100,3316371298,0,4130307,0,109675545,2706900,47026375,110780615,0,100446477,374766219
31,2024-08-30,ASSA,EQUITY,3691137517.0,740,8393800,1798696877,17673273,0,1395186473,80071598,3172977,6988900,200100,3310383998,0,4254507,0,113377845,2716900,48080775,108758315,0,103565177,380753519
32,2024-09-30,ASSA,EQUITY,3691137517.0,740,8391900,1800543277,18368273,0,1407695885,73218598,3939740,6988900,200100,3319346673,0,3923107,0,108163445,2912300,48629700,104597115,0,103565177,371790844
33,2024-10-31,ASSA,EQUITY,3691137517.0,775,10281100,1801744477,18985773,0,1405996185,72152891,5347047,8163400,100,3322670973,0,5010007,0,115902445,3935600,48154100,101299115,0,94165277,368466544
34,2024-11-29,ASSA,EQUITY,3691137517.0,720,11192200,1800426977,20253173,0,1418175385,77613391,3599547,8763300,100,3340024073,0,4134707,0,97587445,4124000,48161000,100214615,0,96891677,351113444
35,2024-12-30,ASSA,EQUITY,3691137517.0,690,10624300,1802887577,20121873,0,1424287391,74557991,2142041,9148800,100,3343770073,0,4134707,0,93743745,3734000,47828500,100133815,0,97792677,347367444
