,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,ATPK,EQUITY,5760245414.0,194,334100,3695100,18900,0,258050494,0,0,0,0,262098594,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436
1,2022-02-25,ATPK,EQUITY,5760245414.0,194,334100,3695100,18900,0,258050494,0,0,0,0,262098594,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436
2,2022-03-31,ATPK,EQUITY,5760245414.0,194,334100,3695100,18900,0,258050494,0,0,0,0,262098594,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436
3,2022-04-28,ATPK,EQUITY,5760245414.0,194,334100,3695100,18900,0,258050494,0,0,0,0,262098594,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436
4,2022-05-31,ATPK,EQUITY,5760245414.0,194,334100,3695100,18900,0,258049994,0,500,0,0,262098594,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436
5,2022-06-30,ATPK,EQUITY,5760245414.0,194,334100,3695100,18900,0,258049994,0,500,0,0,262098594,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436
6,2022-07-29,ATPK,EQUITY,5760245414.0,194,334100,3695100,18900,0,258049994,0,500,0,0,262098594,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436
7,2022-08-31,ATPK,EQUITY,5760245414.0,194,334100,3695100,18900,0,258049994,0,500,0,0,262098594,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436
8,2022-09-30,ATPK,EQUITY,5760245414.0,194,334100,3695100,18900,0,258049994,0,500,0,0,262098594,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436
9,2022-10-31,ATPK,EQUITY,5760245414.0,194,334100,3695100,18900,0,258049994,0,500,0,0,262098594,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436
10,2022-11-30,ATPK,EQUITY,5760245414.0,194,334100,3695100,18900,0,257874994,0,500,0,175000,262098594,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436
11,2022-12-30,ATPK,EQUITY,5760245414.0,194,334100,3695100,18900,0,250316994,0,500,0,7733000,262098594,0,3651000,3400000,366222000,1161500,0,516347807,0,99759129,990541436
