,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-04-28,AWAN,EQUITY,3435000000.0,304,375000,8479900,375000,0,257150900,0,4027400,14500,0,270422700,0,42600,0,0,796200,478738500,0,0,0,479577300
1,2023-05-31,AWAN,EQUITY,3435000000.0,282,0,4329300,0,0,240183600,0,0,0,0,244512900,0,0,0,23231500,1327100,478738500,2190000,0,0,505487100
2,2023-06-27,AWAN,EQUITY,3435000000.0,308,0,9900,0,0,196867900,0,6000,0,0,196883800,0,10400,0,71380800,816500,478738500,2170000,0,0,553116200
3,2023-07-31,AWAN,EQUITY,3435000000.0,264,0,9900,0,0,232895700,0,15000,0,0,232920600,0,59700,0,34461700,1649500,478738500,2170000,0,0,517079400
4,2023-08-31,AWAN,EQUITY,3435000000.0,248,0,259900,0,0,251586200,0,0,0,0,251846100,0,707400,0,15554200,983800,478738500,2170000,0,0,498153900
5,2023-09-29,AWAN,EQUITY,3435000000.0,250,0,375700,0,0,264203300,0,0,0,0,264579000,0,254700,0,3399600,858200,478738500,2170000,0,0,485421000
6,2023-10-31,AWAN,EQUITY,3435000000.0,288,0,1209900,0,0,262082900,0,0,0,0,263292800,0,16400,0,4313700,850500,478738500,2788100,0,0,486707200
7,2023-11-30,AWAN,EQUITY,3435000000.0,322,0,1777100,0,0,254741000,0,0,0,0,256518100,0,0,0,11865000,548400,478738500,2330000,0,0,493481900
8,2023-12-29,AWAN,EQUITY,3435000000.0,308,0,2030200,0,0,257422800,0,0,0,0,259453000,0,263300,0,8770700,554500,478738500,2470000,0,0,490797000
9,2024-01-31,AWAN,EQUITY,3435000000.0,288,0,2688328300,0,0,260710500,0,0,0,0,2949038800,0,100,0,4198100,554500,478738500,2470000,0,0,485961200
10,2024-02-29,AWAN,EQUITY,3435000000.0,306,0,2689789100,0,0,338389600,0,0,0,0,3028178700,0,0,0,3814000,537300,400000000,2470000,0,0,406821300
11,2024-03-28,AWAN,EQUITY,3435000000.0,304,0,2688371100,0,0,340136200,0,0,0,0,3028507300,0,0,0,3523000,499700,400000000,2470000,0,0,406492700
12,2024-04-30,AWAN,EQUITY,3435000000.0,332,0,2688371100,0,0,340868100,0,0,0,0,3029239200,0,0,0,3093200,497600,400000000,2170000,0,0,405760800
13,2024-05-31,AWAN,EQUITY,3435000000.0,334,0,2688337500,0,0,341585600,0,0,0,0,3029923100,0,0,0,2437000,469900,400000000,2170000,0,0,405076900
14,2024-06-28,AWAN,EQUITY,3435000000.0,354,0,2688165100,0,0,343118100,0,0,0,0,3031283200,0,0,0,1096200,450600,400000000,2170000,0,0,403716800
15,2024-07-31,AWAN,EQUITY,3435000000.0,350,0,2687960100,0,0,343844700,0,0,0,0,3031804800,0,0,0,574600,450600,400000000,2170000,0,0,403195200
16,2024-08-30,AWAN,EQUITY,3435000000.0,340,0,2687839600,0,0,343942000,0,0,0,0,3031781600,0,0,0,597800,450600,400000000,2170000,0,0,403218400
17,2024-09-30,AWAN,EQUITY,3435000000.0,352,0,2687120000,0,0,345180500,0,0,0,0,3032300500,0,0,0,60900,468600,400000000,2170000,0,0,402699500
18,2024-10-31,AWAN,EQUITY,3435000000.0,368,0,2690121600,0,0,341257500,0,0,0,0,3031379100,0,88400,0,860800,476500,400000000,2195200,0,0,403620900
19,2024-11-29,AWAN,EQUITY,3435000000.0,328,0,2690121600,0,0,342013300,0,0,0,0,3032134900,0,0,0,246500,448600,400000000,2170000,0,0,402865100
20,2024-12-30,AWAN,EQUITY,3435000000.0,346,0,2698732400,0,0,331399300,0,0,0,0,3030131700,0,0,0,2023900,448600,400000000,2395800,0,0,404868300
