,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BABP-W3,WARRANT,5790123.0,76,0,0,0,0,5789101,0,0,0,0,5789101,0,0,0,0,1000,0,22,0,0,1022
1,2022-02-25,BABP-W3,WARRANT,5789522.0,130,0,0,0,0,5788500,0,0,0,0,5788500,0,0,0,0,1000,0,22,0,0,1022
2,2022-03-31,BABP-W3,WARRANT,5789522.0,127,0,0,0,0,5788500,0,0,0,0,5788500,0,0,0,0,1000,0,22,0,0,1022
3,2022-04-28,BABP-W3,WARRANT,5789522.0,100,0,0,0,0,5788500,0,0,0,0,5788500,0,0,0,0,1000,0,22,0,0,1022
4,2022-05-31,BABP-W3,WARRANT,5789522.0,85,0,0,0,0,5788500,0,0,0,0,5788500,0,0,0,0,1000,0,22,0,0,1022
5,2022-06-30,BABP-W3,WARRANT,5789522.0,71,0,0,0,0,5788500,0,0,0,0,5788500,0,0,0,0,1000,0,22,0,0,1022
6,2022-07-29,BABP-W3,WARRANT,5789521.0,70,0,0,0,0,5788498,0,0,0,1,5788499,0,0,0,0,1000,0,22,0,0,1022
7,2022-08-31,BABP-W3,WARRANT,5789422.0,87,0,0,0,0,5788400,0,0,0,0,5788400,0,0,0,0,1000,0,22,0,0,1022
8,2022-09-30,BABP-W3,WARRANT,5788823.0,76,0,0,0,0,5787801,0,0,0,0,5787801,0,0,0,0,1000,0,22,0,0,1022
9,2022-10-31,BABP-W3,WARRANT,5788803.0,67,0,0,0,0,5787779,0,0,0,2,5787781,0,0,0,0,1000,0,22,0,0,1022
10,2022-11-30,BABP-W3,WARRANT,5767282.0,71,0,0,0,0,5766256,0,0,0,4,5766260,0,0,0,0,1000,0,22,0,0,1022
11,2022-12-30,BABP-W3,WARRANT,5761555.0,60,0,0,0,0,5760532,0,0,0,1,5760533,0,0,0,0,1000,0,22,0,0,1022
12,2023-01-31,BABP-W3,WARRANT,5761303.0,52,0,0,0,0,5760281,0,0,0,0,5760281,0,0,0,0,1000,0,22,0,0,1022
13,2023-02-28,BABP-W3,WARRANT,5761134.0,52,0,0,0,0,5760112,0,0,0,0,5760112,0,0,0,0,1000,0,22,0,0,1022
14,2023-03-31,BABP-W3,WARRANT,5760708.0,43,0,0,0,0,5759686,0,0,0,0,5759686,0,0,0,0,1000,0,22,0,0,1022
15,2023-04-28,BABP-W3,WARRANT,5760560.0,57,0,0,0,0,5759537,0,0,0,1,5759538,0,0,0,0,1000,0,22,0,0,1022
16,2023-05-31,BABP-W3,WARRANT,5757812.0,37,0,0,0,0,5756790,0,0,0,0,5756790,0,0,0,0,1000,0,22,0,0,1022
