,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BACA-W2,WARRANT,623534228.0,37,0,129830093,0,0,373693605,0,100150580,0,0,603674278,0,0,0,0,0,0,790,0,19859160,19859950
1,2022-02-25,BACA-W2,WARRANT,623534228.0,122,0,129830093,0,0,373693605,0,100150580,0,0,603674278,0,0,0,0,0,0,790,0,19859160,19859950
2,2022-03-31,BACA-W2,WARRANT,623534228.0,99,0,129830093,0,0,373693605,0,100150580,0,0,603674278,0,0,0,0,0,0,790,0,19859160,19859950
3,2022-04-28,BACA-W2,WARRANT,623534228.0,30,0,129830093,0,0,373693605,0,100150580,0,0,603674278,0,0,0,0,0,0,790,0,19859160,19859950
4,2022-05-31,BACA-W2,WARRANT,623534119.0,51,0,129830093,0,0,373693496,0,100150580,0,0,603674169,0,0,0,0,0,0,790,0,19859160,19859950
5,2022-06-30,BACA-W2,WARRANT,623534119.0,140,0,129830093,0,0,373693496,0,100150580,0,0,603674169,0,0,0,0,0,0,790,0,19859160,19859950
6,2022-07-29,BACA-W2,WARRANT,623534119.0,140,0,129830093,0,0,373693496,0,100150580,0,0,603674169,0,0,0,0,0,0,790,0,19859160,19859950
7,2022-08-31,BACA-W2,WARRANT,623531410.0,124,0,129830093,0,0,373690787,0,100150580,0,0,603671460,0,0,0,0,0,0,790,0,19859160,19859950
8,2022-09-30,BACA-W2,WARRANT,623531410.0,6,0,129830093,0,0,373690787,0,100150580,0,0,603671460,0,0,0,0,0,0,790,0,19859160,19859950
9,2022-10-31,BACA-W2,WARRANT,623521597.0,140,0,129830093,0,0,373680974,0,100150580,0,0,603661647,0,0,0,0,0,0,790,0,19859160,19859950
10,2022-11-30,BACA-W2,WARRANT,623515425.0,110,0,129830093,0,0,373674802,0,100150580,0,0,603655475,0,0,0,0,0,0,790,0,19859160,19859950
