,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BAPA,EQUITY,661784520.0,94,0,492806000,0,0,152887503,0,12302517,0,0,657996020,0,1032500,0,575000,447900,0,1728100,0,0,3783500
1,2022-02-25,BAPA,EQUITY,661784520.0,116,0,498399300,0,0,148149703,0,10843817,0,0,657392820,0,1032500,0,1588500,37600,0,1728100,0,0,4386700
2,2022-03-31,BAPA,EQUITY,661784520.0,108,0,498203700,0,0,149358803,0,10843817,0,0,658406320,0,1032500,0,575100,37500,0,1728100,0,0,3373200
3,2022-04-28,BAPA,EQUITY,661784520.0,109,0,495562600,0,0,151999703,0,10843817,0,0,658406120,0,1032600,0,575200,37500,0,1728100,0,0,3373400
4,2022-05-31,BAPA,EQUITY,661784520.0,91,0,498115000,0,0,149350503,0,10843817,0,0,658309320,0,1032500,0,672100,37500,0,1728100,0,0,3470200
5,2022-06-30,BAPA,EQUITY,661784520.0,95,0,459035800,0,0,155502303,0,43643817,0,0,658181920,0,1032500,0,799100,37900,0,1728100,0,0,3597600
6,2022-07-29,BAPA,EQUITY,661784520.0,124,0,457925600,0,0,154685903,0,43643817,0,0,656255320,0,1032500,0,2725700,37900,0,1728100,0,0,5524200
7,2022-08-31,BAPA,EQUITY,661784520.0,128,0,456025600,0,0,147201103,0,43643817,0,0,646870520,0,1690200,0,10105100,1385600,0,1728100,0,0,14909000
8,2022-09-30,BAPA,EQUITY,661784520.0,168,0,456048600,0,0,158633403,0,43643817,0,0,658325820,0,1032500,0,652700,40400,0,1728100,0,0,3453700
9,2022-10-31,BAPA,EQUITY,661784520.0,137,0,455993800,0,0,157566503,0,43643817,0,0,657204120,0,1032500,0,1776900,37900,0,1728100,0,0,4575400
10,2022-11-30,BAPA,EQUITY,661784520.0,120,0,455994800,0,0,158708003,0,43643817,0,0,658346620,0,1032500,0,634400,37900,0,1728100,0,0,3432900
11,2022-12-30,BAPA,EQUITY,661784520.0,95,0,434469800,0,0,155774903,0,65518817,0,2572100,658335620,0,1032500,0,645400,37900,0,1728100,0,0,3443900
12,2023-01-31,BAPA,EQUITY,661784520.0,84,0,435657800,0,0,157227403,0,65518817,0,0,658404020,0,1032500,0,575000,39900,0,1728100,0,0,3375500
13,2023-02-28,BAPA,EQUITY,661784520.0,85,0,435657800,0,0,153286903,0,65518817,0,0,654463520,0,1032500,0,575100,3980300,0,1728100,0,0,7316000
14,2023-03-31,BAPA,EQUITY,661784520.0,81,0,435657800,0,0,153286903,0,65518817,0,0,654463520,0,1032500,0,575100,3980300,0,1728100,0,0,7316000
15,2023-04-28,BAPA,EQUITY,661784520.0,73,0,435657800,0,0,153206903,0,65518817,0,0,654383520,0,1032500,0,575100,4060300,0,1728100,0,0,7396000
16,2023-05-31,BAPA,EQUITY,661784520.0,78,0,435332100,0,0,153593403,0,65518817,0,0,654444320,0,1032500,0,575100,3990300,0,1737300,0,0,7335200
17,2023-06-27,BAPA,EQUITY,661784520.0,73,0,435332100,0,0,153593403,0,65518817,0,0,654444320,0,1032500,0,575100,3990300,0,1737300,0,0,7335200
18,2023-07-31,BAPA,EQUITY,661784520.0,80,0,435332100,0,0,153593403,0,65518817,0,0,654444320,0,1032500,0,575100,3990300,0,1737300,0,0,7335200
19,2023-08-31,BAPA,EQUITY,661784520.0,70,0,435332100,0,0,153593403,0,65518817,0,0,654444320,0,1032500,0,575100,3990300,0,1737300,0,0,7335200
20,2023-09-29,BAPA,EQUITY,661784520.0,71,0,436102300,0,0,152823203,0,65518817,0,0,654444320,0,1032500,0,575100,3990300,0,1737300,0,0,7335200
21,2023-10-31,BAPA,EQUITY,661784520.0,66,0,435332100,0,0,153593403,0,65518817,0,0,654444320,0,1032500,0,575100,3990300,0,1737300,0,0,7335200
