,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BAUT,EQUITY,4800000000.0,182,0,813700,0,485500,537773300,0,0,49400,0,539121900,0,220000000,0,0,878100,0,0,0,690000000,910878100
1,2022-02-25,BAUT,EQUITY,4800000000.0,144,0,7175100,0,0,970344500,0,0,0,125000,977644600,0,0,0,2721400,4634000,0,0,0,465000000,472355400
2,2022-03-31,BAUT,EQUITY,4800000000.0,77,0,5402700,0,0,1437206400,0,0,40000,50000,1442699100,0,0,0,0,7300900,0,0,0,0,7300900
3,2022-04-28,BAUT,EQUITY,4800000000.0,54,0,2186200,0,0,1440682300,0,0,40000,0,1442908500,0,0,0,2660500,4431000,0,0,0,0,7091500
4,2022-05-31,BAUT,EQUITY,4800000000.0,50,0,2275700,0,0,1442251800,0,0,40000,30000,1444597500,0,0,0,934500,4468000,0,0,0,0,5402500
5,2022-06-30,BAUT,EQUITY,4800000000.0,50,0,2425700,0,0,1443022700,0,0,40100,30000,1445518500,0,0,0,800,4480700,0,0,0,0,4481500
6,2022-07-29,BAUT,EQUITY,4800001273.0,50,0,2425700,0,0,1443023973,0,0,40100,30000,1445519773,0,0,0,800,4480700,0,0,0,0,4481500
7,2022-08-31,BAUT,EQUITY,4800018351.0,53,0,3315100,0,0,1442668651,0,0,40100,58000,1446081851,0,0,0,800,3935700,0,0,0,0,3936500
8,2022-09-30,BAUT,EQUITY,4800024713.0,51,0,2475700,0,0,1444914413,0,0,40000,58000,1447488113,0,0,0,800,2535800,0,0,0,0,2536600
9,2022-10-31,BAUT,EQUITY,4800026495.0,50,0,752525700,0,0,1444866195,0,0,40000,58000,2197489895,0,0,0,800,2535800,0,0,0,0,2536600
10,2022-11-30,BAUT,EQUITY,4800038997.0,50,0,752575700,0,0,1444837897,0,0,40000,58000,2197511597,0,2600000000,0,800,2526600,0,0,0,0,2602527400
11,2022-12-30,BAUT,EQUITY,4800047637.0,50,0,752575700,0,0,1444846477,0,60,40000,58000,2197520237,0,2600000000,0,800,2526600,0,0,0,0,2602527400
12,2023-01-31,BAUT,EQUITY,4800049477.0,50,0,752475700,0,0,1444948217,0,160,40000,58000,2197522077,0,2600000000,0,800,2526600,0,0,0,0,2602527400
13,2023-02-28,BAUT,EQUITY,4800060842.0,50,0,752475700,0,0,1444959482,0,160,40000,58000,2197533342,0,2600000000,0,900,2526600,0,0,0,0,2602527500
14,2023-03-31,BAUT,EQUITY,4800062188.0,50,0,752475700,0,0,1444959828,0,160,41000,58000,2197534688,0,2600000000,0,900,2526600,0,0,0,0,2602527500
15,2023-04-28,BAUT,EQUITY,4800063330.0,50,0,752505700,0,0,1444930970,0,160,41000,58000,2197535830,0,2600000000,0,900,2526600,0,0,0,0,2602527500
16,2023-05-31,BAUT,EQUITY,4800066171.0,50,0,752505700,0,0,1444873731,0,240,41000,58000,2197478671,0,2600000000,0,900,2586600,0,0,0,0,2602587500
