,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-10-31,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58400000000,60000000000,0,16000000000,0,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
1,2023-11-30,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58400000000,60000000000,0,16000000000,0,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
2,2023-12-29,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58400000000,60000000000,0,16000000000,0,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
3,2024-01-31,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58400000000,60000000000,0,16000000000,0,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
4,2024-02-29,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58400000000,60000000000,0,16000000000,0,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
5,2024-03-28,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58400000000,60000000000,0,16000000000,0,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
6,2024-04-30,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58400000000,60000000000,0,16000000000,0,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
7,2024-05-31,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58400000000,60000000000,0,16000000000,0,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
8,2024-06-28,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58400000000,60000000000,0,16000000000,0,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
9,2024-07-31,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58400000000,60000000000,0,16000000000,0,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
10,2024-08-30,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58400000000,60000000000,0,16000000000,0,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
11,2024-09-30,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58200000000,60000000000,0,16000000000,200000000,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
12,2024-10-31,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58200000000,60000000000,0,16000000000,200000000,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
13,2024-11-29,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58200000000,60000000000,0,16000000000,200000000,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
14,2024-12-30,BBRI01CGNCN2,CORPORATE BOND,500000000000.0,1,72000000000,37200000000,46000000000,209800000000,58200000000,60000000000,0,16000000000,200000000,499400000000,0,0,0,0,600000000,0,0,0,0,600000000
