,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,460000000000,3700000000,393000000000,7000000000,185200000000,214000000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
1,2022-02-25,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,460000000000,3700000000,393000000000,7100000000,185100000000,214000000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
2,2022-03-31,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,460000000000,3700000000,393000000000,7200000000,185000000000,214000000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
3,2022-04-28,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,465000000000,3700000000,393000000000,7200000000,185000000000,209000000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
4,2022-05-31,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,465000000000,3700000000,393000000000,33200000000,184000000000,184000000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
5,2022-06-30,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,465000000000,13700000000,383000000000,41000000000,186200000000,174000000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
6,2022-07-29,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,465000000000,23700000000,383000000000,35500000000,181700000000,174000000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
7,2022-08-31,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,465000000000,24200000000,383000000000,42500000000,174200000000,174000000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
8,2022-09-30,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,465000000000,24900000000,383000000000,32000000000,180500000000,177500000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
9,2022-10-31,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,465000000000,24900000000,383000000000,32000000000,180500000000,177500000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
10,2022-11-30,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,487000000000,24900000000,383000000000,32000000000,180500000000,155500000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
11,2022-12-30,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,487000000000,24900000000,383000000000,32700000000,179800000000,155500000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
12,2023-01-31,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,487000000000,24900000000,383000000000,34200000000,177800000000,155500000000,0,37300000000,0,1299700000000,0,0,0,500000000,300000000,0,0,0,0,800000000
13,2023-02-28,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,487000000000,24900000000,383000000000,33600000000,178400000000,155500000000,0,37300000000,0,1299700000000,0,0,0,500000000,300000000,0,0,0,0,800000000
14,2023-03-31,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,487000000000,24900000000,383000000000,33300000000,178200000000,155500000000,0,37300000000,0,1299200000000,0,0,0,1000000000,300000000,0,0,0,0,1300000000
15,2023-04-28,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,487000000000,24900000000,383000000000,32000000000,179500000000,155500000000,0,37300000000,0,1299200000000,0,0,0,1000000000,300000000,0,0,0,0,1300000000
16,2023-05-31,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,487000000000,25500000000,383000000000,34500000000,176400000000,155500000000,0,37300000000,0,1299200000000,0,0,0,1000000000,300000000,0,0,0,0,1300000000
17,2023-06-27,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,487000000000,25500000000,383000000000,34700000000,176200000000,155500000000,0,37300000000,0,1299200000000,0,0,0,1000000000,300000000,0,0,0,0,1300000000
18,2023-07-31,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,487000000000,26500000000,383000000000,30800000000,180100000000,155500000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
19,2023-08-31,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,487000000000,26500000000,383000000000,28500000000,182400000000,155500000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
20,2023-09-29,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,490500000000,26500000000,383000000000,29000000000,181900000000,152000000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
21,2023-10-31,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,490500000000,25500000000,383000000000,26200000000,185700000000,152000000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
22,2023-11-30,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,490500000000,26000000000,383000000000,26000000000,185400000000,152000000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
23,2023-12-29,BBRI02DCN2,CORPORATE BOND,1300500000000.0,1,490500000000,26000000000,383000000000,26000000000,185400000000,152000000000,0,37300000000,0,1300200000000,0,0,0,0,300000000,0,0,0,0,300000000
