,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-02-28,BBRIZPCX3A,STRUCTURED WARRANT,100000000.0,765,0,0,0,0,5100,0,99994900,0,0,100000000,0,0,0,0,0,0,0,0,0,0
1,2023-03-31,BBRIZPCX3A,STRUCTURED WARRANT,100000000.0,680,0,0,0,0,23000,0,99977000,0,0,100000000,0,0,0,0,0,0,0,0,0,0
2,2023-04-28,BBRIZPCX3A,STRUCTURED WARRANT,100000000.0,905,0,0,0,0,7700,0,99992300,0,0,100000000,0,0,0,0,0,0,0,0,0,0
3,2023-05-31,BBRIZPCX3A,STRUCTURED WARRANT,100000000.0,1035,0,0,0,0,6200,0,99993800,0,0,100000000,0,0,0,0,0,0,0,0,0,0
4,2023-06-27,BBRIZPCX3A,STRUCTURED WARRANT,100000000.0,1015,0,0,0,0,5500,0,99994500,0,0,100000000,0,0,0,0,0,0,0,0,0,0
5,2023-07-31,BBRIZPCX3A,STRUCTURED WARRANT,100000000.0,1130,0,0,0,0,5500,0,99994500,0,0,100000000,0,0,0,0,0,0,0,0,0,0
6,2023-08-31,BBRIZPCX3A,STRUCTURED WARRANT,100000000.0,955,0,0,0,0,5200,0,99994800,0,0,100000000,0,0,0,0,0,0,0,0,0,0
7,2023-09-29,BBRIZPCX3A,STRUCTURED WARRANT,100000000.0,660,0,0,0,0,9000,0,99991000,0,0,100000000,0,0,0,0,0,0,0,0,0,0
8,2023-10-31,BBRIZPCX3A,STRUCTURED WARRANT,100000000.0,356,0,0,0,0,11400,0,99988600,0,0,100000000,0,0,0,0,0,0,0,0,0,0
9,2023-11-30,BBRIZPCX3A,STRUCTURED WARRANT,100000000.0,650,0,0,0,0,35700,0,99964300,0,0,100000000,0,0,0,0,0,0,0,0,0,0
