,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BCAF03CCN1,CORPORATE BOND,498000000000.0,1,50000000000,28000000000,20000000000,321200000000,45400000000,20000000000,0,0,0,484600000000,0,0,0,13400000000,0,0,0,0,0,13400000000
1,2022-02-25,BCAF03CCN1,CORPORATE BOND,498000000000.0,1,45000000000,28000000000,20000000000,271200000000,45400000000,75000000000,0,0,0,484600000000,0,0,0,13400000000,0,0,0,0,0,13400000000
2,2022-03-31,BCAF03CCN1,CORPORATE BOND,498000000000.0,1,45000000000,28000000000,20000000000,211200000000,45400000000,135000000000,0,0,0,484600000000,0,0,0,13400000000,0,0,0,0,0,13400000000
3,2022-04-28,BCAF03CCN1,CORPORATE BOND,498000000000.0,1,45000000000,28000000000,20000000000,211200000000,35400000000,145000000000,0,0,0,484600000000,0,0,0,13400000000,0,0,0,0,0,13400000000
4,2022-05-31,BCAF03CCN1,CORPORATE BOND,498000000000.0,1,45000000000,28000000000,20000000000,211200000000,35400000000,145000000000,0,0,0,484600000000,0,0,0,13400000000,0,0,0,0,0,13400000000
5,2022-06-30,BCAF03CCN1,CORPORATE BOND,498000000000.0,1,45000000000,28000000000,20000000000,201200000000,35400000000,155000000000,0,0,0,484600000000,0,0,0,13400000000,0,0,0,0,0,13400000000
6,2022-07-29,BCAF03CCN1,CORPORATE BOND,498000000000.0,1,45000000000,28000000000,20000000000,201200000000,35400000000,155000000000,0,0,0,484600000000,0,0,0,13400000000,0,0,0,0,0,13400000000
7,2022-08-31,BCAF03CCN1,CORPORATE BOND,498000000000.0,1,45000000000,28000000000,20000000000,201200000000,35400000000,155000000000,0,0,0,484600000000,0,0,0,13400000000,0,0,0,0,0,13400000000
8,2022-09-30,BCAF03CCN1,CORPORATE BOND,498000000000.0,1,45000000000,28000000000,20000000000,201200000000,35400000000,155000000000,0,0,0,484600000000,0,0,0,13400000000,0,0,0,0,0,13400000000
9,2022-10-31,BCAF03CCN1,CORPORATE BOND,498000000000.0,1,45000000000,28000000000,20000000000,201200000000,35400000000,155000000000,0,0,0,484600000000,0,0,0,13400000000,0,0,0,0,0,13400000000
