,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-06-27,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,23850000000,29150000000,0,47545000000,114500000000,800000000,0,500000000,216345000000,0,0,0,0,100000000,0,0,0,0,100000000
1,2023-07-31,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,2350000000,23085000000,0,52910000000,137500000000,0,0,500000000,216345000000,0,0,0,0,100000000,0,0,0,0,100000000
2,2023-08-31,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,2350000000,19210000000,0,56785000000,137500000000,0,0,500000000,216345000000,0,0,0,0,100000000,0,0,0,0,100000000
3,2023-09-29,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,2350000000,210000000,0,56785000000,155500000000,0,0,1500000000,216345000000,0,0,0,0,100000000,0,0,0,0,100000000
4,2023-10-31,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,2350000000,210000000,0,56785000000,155500000000,0,0,1500000000,216345000000,0,0,0,0,100000000,0,0,0,0,100000000
5,2023-11-30,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,2350000000,210000000,0,56785000000,155500000000,0,0,1500000000,216345000000,0,0,0,0,100000000,0,0,0,0,100000000
6,2023-12-29,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,2350000000,210000000,0,56785000000,155500000000,0,0,1500000000,216345000000,0,0,0,0,100000000,0,0,0,0,100000000
7,2024-01-31,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,2350000000,180000000,0,56815000000,155500000000,0,0,1500000000,216345000000,0,0,0,0,100000000,0,0,0,0,100000000
8,2024-02-29,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,2350000000,180000000,0,56815000000,155500000000,0,0,1500000000,216345000000,0,0,0,0,100000000,0,0,0,0,100000000
9,2024-03-28,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,2350000000,180000000,0,56815000000,130500000000,0,0,1500000000,191345000000,0,25000000000,0,0,100000000,0,0,0,0,25100000000
10,2024-04-30,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,2350000000,16455000000,0,56815000000,130500000000,0,0,1500000000,207620000000,0,8725000000,0,0,100000000,0,0,0,0,8825000000
11,2024-05-31,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,2350000000,16455000000,0,56815000000,130500000000,0,0,1500000000,207620000000,0,8725000000,0,0,100000000,0,0,0,0,8825000000
12,2024-06-28,BCAP03ACN2,CORPORATE BOND,216445000000.0,1,0,2350000000,11390000000,0,56815000000,130500000000,0,0,1500000000,202555000000,0,0,0,0,100000000,0,0,0,13790000000,13890000000
