,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BCIP,EQUITY,1429915525.0,76,18000000,650810624,44057000,0,555139191,127110710,101000,0,0,1395218525,0,7900100,0,434100,2269200,23593600,500000,0,0,34697000
1,2022-02-25,BCIP,EQUITY,1429915525.0,70,18000000,652196724,44057000,0,556293691,122097010,201000,0,0,1392845425,0,7900100,0,2807200,2269200,23593600,500000,0,0,37070100
2,2022-03-31,BCIP,EQUITY,1429915525.0,67,18000000,651905624,44057000,0,559117191,121977010,201000,0,0,1395257825,0,7900100,0,394800,2269200,23593600,500000,0,0,34657700
3,2022-04-28,BCIP,EQUITY,1429915525.0,56,18000000,651805624,44057000,0,560133391,121197010,201000,0,0,1395394025,0,7900100,0,304000,2269200,23548200,500000,0,0,34521500
4,2022-05-31,BCIP,EQUITY,1429915525.0,57,18000000,651805624,44057000,0,565570791,120777010,200000,0,0,1400410425,0,7900100,0,306000,2269200,18529800,500000,0,0,29505100
5,2022-06-30,BCIP,EQUITY,1429915525.0,57,18000000,653105624,44057000,0,566199691,120177010,200000,0,0,1401739325,0,7900100,0,5900,2270200,17500000,500000,0,0,28176200
6,2022-07-29,BCIP,EQUITY,1429915525.0,59,18000000,653205624,44057000,0,577103291,109173010,200000,0,0,1401738925,0,7900000,0,6100,2270400,17500000,500100,0,0,28176600
7,2022-08-31,BCIP,EQUITY,1429915525.0,63,18000000,653205624,44057000,0,581553991,104723010,200000,0,0,1401739625,0,7900000,0,5400,2270400,17500000,500100,0,0,28175900
8,2022-09-30,BCIP,EQUITY,1429915525.0,63,18000000,653205624,44057000,0,584104191,102173010,200000,0,0,1401739825,0,7900000,0,5500,2270100,17500000,500100,0,0,28175700
9,2022-10-31,BCIP,EQUITY,1429915525.0,63,18000000,653205624,44057000,0,584795691,101483010,200000,0,0,1401741325,0,7900000,0,4000,2270100,17500000,500100,0,0,28174200
10,2022-11-30,BCIP,EQUITY,1429915525.0,71,18000000,653224624,44057000,0,604893391,80805410,200000,0,0,1401180425,0,7900000,0,264900,2570100,17500000,500100,0,0,28735100
11,2022-12-30,BCIP,EQUITY,1429915525.0,68,18000000,653229534,44057000,0,613346291,72547510,200000,0,90,1401380425,0,7900000,0,64900,2570100,17500000,500100,0,0,28535100
12,2023-01-31,BCIP,EQUITY,1429915525.0,69,18000000,657494534,44057000,0,585080291,72547510,200000,0,90,1377379425,0,7900000,0,64900,26571100,17500000,500100,0,0,52536100
13,2023-02-28,BCIP,EQUITY,1429915525.0,66,18000000,659055334,44057000,0,586048491,72547510,200000,0,90,1379908425,0,7900000,0,65000,24042000,17500000,500100,0,0,50007100
14,2023-03-31,BCIP,EQUITY,1429915525.0,59,18000000,659308634,44057000,0,585795191,72547510,200000,0,90,1379908425,0,7900000,0,65000,24042000,17500000,500100,0,0,50007100
15,2023-04-28,BCIP,EQUITY,1429915525.0,60,18000000,660399434,44057000,0,584704391,72547510,200000,0,90,1379908425,0,7900000,0,65000,24042000,17500000,500100,0,0,50007100
16,2023-05-31,BCIP,EQUITY,1429915525.0,66,18000000,660929034,44057000,0,584174791,72547510,200000,0,90,1379908425,0,7900000,0,65000,24042000,17500000,500100,0,0,50007100
17,2023-06-27,BCIP,EQUITY,1429915525.0,64,18000000,660909034,44057000,0,586055391,72547510,200000,0,90,1381769025,0,7900000,0,4100,22242300,17500000,500100,0,0,48146500
18,2023-07-31,BCIP,EQUITY,1429915525.0,64,18000000,660909034,44057000,0,600852691,72547510,200000,0,90,1396566325,0,7900000,0,4100,7445000,17500000,500100,0,0,33349200
19,2023-08-31,BCIP,EQUITY,1429915525.0,62,18000000,660909034,44057000,0,600852691,72547510,200000,0,90,1396566325,0,7900000,0,4100,7445000,17500000,500100,0,0,33349200
20,2023-09-29,BCIP,EQUITY,1429915525.0,67,18000000,660304234,44057000,0,601457491,72547510,200000,0,90,1396566325,0,7900000,0,4100,7445000,17500000,500100,0,0,33349200
21,2023-10-31,BCIP,EQUITY,1429915525.0,61,18000000,665990034,44057000,0,598133091,72547510,200000,0,90,1398927725,0,7900000,0,4100,7445000,15138600,500100,0,0,30987800
22,2023-11-30,BCIP,EQUITY,1429915525.0,65,18000000,661129234,44057000,0,602993991,72547510,200000,0,90,1398927825,0,7900000,0,4100,7445000,15138500,500100,0,0,30987700
23,2023-12-29,BCIP,EQUITY,1429915525.0,60,18000000,652622434,44057000,0,626639291,72547510,200000,0,90,1414066325,0,7900000,0,4100,7445000,0,500100,0,0,15849200
24,2024-01-31,BCIP,EQUITY,1429915525.0,60,18000000,645153120,44057000,0,634608605,72547510,200000,0,90,1414566325,0,7900000,0,4100,7445000,0,100,0,0,15349200
25,2024-02-29,BCIP,EQUITY,1429915525.0,55,18000000,645153120,44057000,0,634608605,72547510,200000,0,90,1414566325,0,7900000,0,4100,7445000,0,100,0,0,15349200
26,2024-03-28,BCIP,EQUITY,1429915525.0,50,18000000,645153120,44057000,0,634608605,72547510,200000,0,90,1414566325,0,7900000,0,4100,7445000,0,100,0,0,15349200
