,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BEST,EQUITY,9647311150.0,105,301348600,4058366100,13664200,0,2389162411,32902298,856768853,2211800,2559800,7656984062,0,971132900,822900,125183069,31799600,233799758,59270433,0,561318428,1983327088
1,2022-02-25,BEST,EQUITY,9647311150.0,106,301348600,4060284200,13394300,0,2454620511,30748300,855514951,2211800,2559800,7720682462,0,970833000,822900,113864369,31254600,234267158,59290433,0,509296228,1919628688
2,2022-03-31,BEST,EQUITY,9647311150.0,105,301348600,4066179600,13394300,0,2531209811,30181100,857857651,2211800,2559800,7804942662,0,970833000,822900,113865669,31334600,234377858,59015433,0,425119028,1835368488
3,2022-04-28,BEST,EQUITY,9647311150.0,107,301348600,4061469400,13394300,0,2567859311,26039500,857557651,2211800,2559800,7832440362,0,970368300,822900,114335769,21555100,234513158,58420433,0,407855128,1807870788
4,2022-05-31,BEST,EQUITY,9647311150.0,118,304816600,4063259400,13394300,0,2668644311,22484700,881272452,2212800,2559800,7958644363,0,970557300,822900,122752069,19755100,220885557,58420933,0,288472928,1681666787
5,2022-06-30,BEST,EQUITY,9647311150.0,124,306219800,4055780600,13394300,0,2777529811,25416100,873797252,2212800,0,8054350663,0,970173300,822900,165517669,13211100,220885557,58425933,0,156924028,1585960487
6,2022-07-29,BEST,EQUITY,9647311150.0,138,295299200,4055330000,13394300,0,2788832611,25337200,863181552,152100,0,8041526963,0,967221900,822900,175049269,20261100,221016757,59138233,0,155274028,1598784187
7,2022-08-31,BEST,EQUITY,9647311150.0,156,295299200,4803054300,13394300,0,2778841111,28444400,124627849,152000,0,8043813160,6549600,968686003,18065000,239253466,20021100,227699257,71781333,19413400,25028831,1596497990
8,2022-09-30,BEST,EQUITY,9647311150.0,162,295299200,4800343500,11407900,0,2727222711,33773800,122459883,152000,0,7990658994,7240096,967366978,52833533,193110591,18739600,236279657,72847533,37380800,63853368,1649652156
9,2022-10-31,BEST,EQUITY,9647311150.0,139,295299200,4800326300,10287100,0,2739520111,26161800,119061288,152000,0,7990807799,7240096,967366873,64679109,177918041,18729600,235658757,71732533,41171500,65006842,1649503351
10,2022-11-30,BEST,EQUITY,9647311150.0,140,295299200,4821197500,10287100,0,2909266411,27364600,119571388,152000,0,8183138199,7240096,967645973,64679109,135799741,18792000,85507300,66232590,45205700,66070442,1457172951
11,2022-12-30,BEST,EQUITY,9647311150.0,133,295299200,4843581000,7873500,0,2919197011,27364600,120048455,152000,0,8213515766,7240096,967240206,63564109,112255008,20663300,83993300,65655890,45205700,60977775,1426795384
12,2023-01-31,BEST,EQUITY,9647311150.0,146,295895000,4845119900,9679700,0,2924889111,37512600,121412349,152000,0,8234660660,7240096,967138700,63209409,90934614,20729700,84423800,65790690,45205700,60977781,1405650490
13,2023-02-28,BEST,EQUITY,9647311150.0,148,308211800,4842537000,11166200,0,2896751911,51519600,120508349,152000,0,8230846860,7240096,967229300,63209409,93271414,21971000,84661600,65697990,45205700,60977781,1409464290
14,2023-03-31,BEST,EQUITY,9647311150.0,128,307016200,4843651300,11166200,0,2944953311,28181100,120698349,152000,0,8255818460,7240096,967694700,63209409,78896314,20542400,82338300,58387990,45205700,60977781,1384492690
15,2023-04-28,BEST,EQUITY,9647311150.0,151,307016200,4839232500,11166200,0,2962907611,28681100,123012149,152000,0,8272167760,7240096,967014600,58257176,81876926,20543100,72415600,58053190,42890700,59852002,1368143390
16,2023-05-31,BEST,EQUITY,9647311150.0,158,307016200,4835114700,7479800,0,2854366511,36226000,122575349,152000,500000,8163430560,7240096,967976600,61419576,166215426,16428900,72709300,44619090,50475800,89795802,1476880590
17,2023-06-27,BEST,EQUITY,9647311150.0,167,307016200,4834450600,7479800,0,2788463211,28916000,121286142,152000,1863500,8089627453,11404396,968499600,62770276,197507726,14614200,83723707,34506190,73290700,104366902,1550683697
18,2023-07-31,BEST,EQUITY,9647311150.0,166,307016200,4834321700,7279800,0,2750484711,32086000,126882342,152000,600000,8058822753,11404396,968041500,67901576,223154226,14579200,85674407,33075490,73290700,104366902,1581488397
19,2023-08-31,BEST,EQUITY,9647311150.0,154,307016200,4836223200,6946500,0,2821493811,28375600,121367942,152000,0,8121575253,4374496,968049300,60449576,191870326,12628300,84057907,33968590,62089800,101247602,1518735897
20,2023-09-29,BEST,EQUITY,9647311150.0,164,307016200,4853607400,6953500,0,2830324511,54875600,122632342,152000,0,8175561553,4374496,967693400,60449576,138211826,13253000,86413307,33968590,59137800,101247602,1464749597
21,2023-10-31,BEST,EQUITY,9647311150.0,133,161673900,4870086200,6943500,0,2828975811,245217900,124712842,152000,0,8237762153,4374496,967557800,53830776,98217826,14133900,80022007,33968590,58244500,92199102,1402548997
22,2023-11-30,BEST,EQUITY,9647311150.0,136,161673900,4893665300,6943500,0,2843449011,244775500,133295742,152000,0,8283954953,1320096,967557100,41594599,78139603,14079000,81559156,33968490,48455600,89682553,1356356197
23,2023-12-29,BEST,EQUITY,9647311150.0,137,161673900,4899696400,6943500,0,2852950911,244775500,132995742,2000,0,8299037953,1320096,967557100,37058341,65790703,14175900,86197749,32008990,48455600,88708718,1341273197
24,2024-01-31,BEST,EQUITY,9647311150.0,133,161673900,4894636200,6943500,0,2872869711,244775500,132906842,2000,0,8313807653,0,967543300,35492254,65283403,14145900,91423349,15813086,48455600,88346605,1326503497
25,2024-02-29,BEST,EQUITY,9647311150.0,132,161673900,4894636200,6943500,0,2905648611,245789100,137406842,2000,0,8352100153,0,967543300,35492254,62388803,14145900,91423349,15981186,12889600,88346605,1288210997
26,2024-03-28,BEST,EQUITY,9647311150.0,128,161673900,4902468700,6943500,0,2916275911,246789100,133193642,2000,0,8367346753,0,967543300,35492254,62141703,14145900,90110049,15823086,0,87708105,1272964397
27,2024-04-30,BEST,EQUITY,9647311150.0,116,161673900,4912772500,6943500,0,2921388411,245789100,124929842,2000,0,8373499253,0,967543300,34111580,56846642,14145900,91810049,15752986,0,86601440,1266811897
28,2024-05-31,BEST,EQUITY,9647311150.0,103,161673900,4920933400,6943500,0,2917709111,245789100,126208642,2000,0,8379259653,0,967483300,33031080,56571742,14202100,88226649,14935186,0,86601440,1261051497
29,2024-06-28,BEST,EQUITY,9647311150.0,94,161673900,4943796700,6943500,0,2954538711,245789100,123102442,2000,0,8435846353,0,967483300,25534991,57073742,14397800,66608695,14935186,0,58431083,1204464797
30,2024-07-31,BEST,EQUITY,9647311150.0,103,161673900,5017519900,6943500,0,2991623911,245989100,129119942,2000,0,8552872253,0,966668600,0,63397809,14288300,27559000,14935186,0,590002,1087438897
31,2024-08-30,BEST,EQUITY,9647311150.0,125,135284300,5014836200,6943500,0,3022542711,235143600,124165742,2000,0,8538918053,0,966668600,0,75682109,14258200,29259000,14935186,0,590002,1101393097
32,2024-09-30,BEST,EQUITY,9647311150.0,125,135284300,5012611200,6943500,0,3025118311,235643600,122425742,2000,0,8538028653,0,966668600,0,76548509,14258200,29259000,14958186,0,590002,1102282497
33,2024-10-31,BEST,EQUITY,9647311150.0,120,135284300,5044271900,6943500,0,2961340711,237243600,123665742,2000,0,8508751753,0,966821700,0,102059309,13258200,29259000,19571186,0,590002,1131559397
34,2024-11-29,BEST,EQUITY,9647311150.0,105,135284300,5046659800,6943500,0,2972736811,237243600,121552042,2000,0,8520422053,0,966687100,0,92042909,13458200,29259000,17851886,0,590002,1119889097
35,2024-12-30,BEST,EQUITY,9647311150.0,101,135284300,5048769800,3643500,0,2981016111,237243600,120581942,2000,0,8526541253,0,966668600,0,90526009,21911800,17405300,16668186,0,590002,1113769897
