,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BFIN,EQUITY,15967115620.0,1305,234055300,1426762680,40536300,7037660,3061134729,633319407,238738140,7492900,55762180,5704839296,9551200,75373750,70817600,1310592538,21510960,1534231395,191152226,352700,7031584035,10245166404
1,2022-02-25,BFIN,EQUITY,15967115620.0,1285,238435700,1435835880,52901400,6567660,2857350943,661271876,208705257,6688800,55752180,5523509696,9020000,275380350,73887700,1297228838,21369560,1533266695,199143926,352700,7016846235,10426496004
2,2022-03-31,BFIN,EQUITY,15967115620.0,1280,259942300,1407497380,53058000,5427660,2736119343,714326058,209859475,6595400,56091580,5448917196,9665000,277540250,90791000,1292054138,21323660,1563670495,226675426,352700,7019015835,10501088504
3,2022-04-28,BFIN,EQUITY,15967115620.0,1285,311860400,1391788780,63497200,1136360,2719423308,682110154,3053314,10830300,56091580,5239791396,9665000,1028098828,94249400,712533516,21522860,1573820995,232023526,352700,7037947479,10710214304
4,2022-05-31,BFIN,EQUITY,15967115620.0,1140,293425500,1383244780,71246200,1136360,2729838708,604486164,4470680,11069700,56377180,5155295272,8766400,1021850328,106995027,772921927,10593860,1578304645,245660126,352700,7049265415,10794710428
5,2022-06-30,BFIN,EQUITY,15967115620.0,1095,319250500,1351665380,75014900,1136360,2725499208,569566623,3873021,11400400,56377180,5113783572,27964100,1024486728,106851027,778737490,3885160,1604395645,231983426,352700,7057565852,10836222128
6,2022-07-29,BFIN,EQUITY,15967115620.0,1180,382466000,1372562780,76216800,1136360,2672651808,533522964,3867751,11400400,56377180,5110202043,27964100,1037562528,101366827,784196439,728260,1589498553,232289528,352700,7065844722,10839803657
7,2022-08-31,BFIN,EQUITY,15967115620.0,1250,470413200,1362800580,79970300,1136360,2575295208,541100785,3378700,11400400,55368380,5100863913,27964100,1043501928,98852189,777439239,773160,1576885891,232573858,352700,7090798722,10849141787
8,2022-09-30,BFIN,EQUITY,15967115620.0,1150,464514500,1361417680,87753200,1136360,2450306708,497154419,120713466,11173200,55663580,5049833113,22033600,1059092328,100186228,781953239,781160,1596454052,232861458,352700,7106457822,10900172587
9,2022-10-31,BFIN,EQUITY,15967115620.0,1105,488769900,1297230880,87646900,1136360,2492736628,434039461,108667930,12625700,130663580,5053517339,9094900,1069403028,105734692,796266541,722160,1570667252,233752058,352700,7110538550,10896531881
10,2022-11-30,BFIN,EQUITY,15967115620.0,1140,498753700,1297618880,84794400,1136360,2577926328,413121647,3776670,12625700,129432180,5019185865,9094900,225594850,105819392,796636812,972760,1583331352,233402458,352700,7975658131,10930863355
11,2022-12-30,BFIN,EQUITY,15967115620.0,1055,517728000,1296658180,86349200,1136360,2583290128,390604703,5564606,12625700,129457180,5023414057,8106600,233928050,106821892,794573549,823560,1587778252,233522458,352700,7960728102,10926635163
12,2023-01-31,BFIN,EQUITY,15967115620.0,1155,519996300,1284553780,87886200,1136360,2591690928,377506174,1238235,11112700,129503080,5004623757,8106600,236669250,105240192,811674149,3287060,1585623652,234580658,352700,7959891202,10945425463
13,2023-02-28,BFIN,EQUITY,15967115620.0,1365,467608600,1275700380,105609000,1136360,2508806188,454576176,853733,10201400,129432180,4953924017,8231600,243629550,101711492,815477549,3064660,1601093052,236452258,352700,7986134102,10996146963
14,2023-03-31,BFIN,EQUITY,15967115620.0,1315,470243400,1267176280,99531400,176360,2484653088,477495821,2386188,8097900,129432180,4939192617,8439100,244113550,116471292,807663334,2852660,1610649667,237270158,352700,7983065902,11010878363
15,2023-04-28,BFIN,EQUITY,15967115620.0,1375,470498900,1265192680,107559800,176360,2472605488,493024908,2263801,8097900,129432180,4948852017,6202800,243785350,145202492,796603334,3009560,1588249667,237269958,352700,7980543102,11001218963
16,2023-05-31,BFIN,EQUITY,15967115620.0,1305,487050400,1165909080,125508300,176360,2552341988,533402945,2905864,8397900,129385180,5005078017,5682000,180335450,144868292,807580546,3121460,1586721232,237741958,352700,7978589325,10944992963
17,2023-06-27,BFIN,EQUITY,15967115620.0,1430,535951900,1101296080,121328200,176360,2536929188,584903427,3252450,8821100,129235180,5021893885,5682000,188952250,148575692,788442974,3221060,1565760092,233842858,352700,7993347469,10928177095
18,2023-07-31,BFIN,EQUITY,15967115620.0,1320,544253800,1049165380,111657800,176360,2566609988,578804542,3472187,5760900,129235180,4989136137,5541800,169892750,150822992,827357322,1047660,1613507592,232601358,352700,7959810669,10960934843
19,2023-08-31,BFIN,EQUITY,15967115620.0,1200,549841900,1085985780,112811900,176360,2484015288,555159545,1657761,5764400,129235180,4924648114,5541800,172812050,146976713,811432473,1128660,1663147192,235648258,352700,7988383020,11025422866
20,2023-09-29,BFIN,EQUITY,15967115620.0,1145,569869500,1112406280,113406400,176360,2482688888,473653564,4580467,7119700,129235180,4893136339,5541800,186617650,176629528,807131213,1064660,1649652252,237305718,352700,7992639120,11056934641
21,2023-10-31,BFIN,EQUITY,15967115620.0,1025,586635800,1132323880,116183900,176360,2367158788,472755958,76394583,7168000,129235180,4888032449,5541800,194731950,176046028,762182703,1113660,1682721852,236490718,352700,8002857120,11062038531
22,2023-11-30,BFIN,EQUITY,15967115620.0,1155,504670200,1282104880,120802200,176360,2271033288,547899894,5849297,6469200,129145180,4868150499,5541800,223713950,175517828,749357203,1121060,1670746852,238429168,352700,8017139920,11081920481
23,2023-12-29,BFIN,EQUITY,15967115620.0,1205,501395900,1289908080,129042300,176360,2209647888,554440271,2592243,7329800,129145180,4823678022,5541800,236440250,180457628,709792103,1131460,1691421927,238153418,352700,8063101672,11126392958
24,2024-01-31,BFIN,EQUITY,15967115620.0,1215,519481100,1273303580,139993700,176360,2132534688,600874204,1726910,7732300,129073180,4804896022,5541800,237203850,180457628,681204503,1151460,1782334827,171030318,352700,8085897872,11145174958
25,2024-02-29,BFIN,EQUITY,15967115620.0,1380,548282100,1268121380,141110500,176360,2021009288,624328465,1585097,9253900,128383980,4742251070,5541800,236881050,171346628,679510346,1131560,1782189227,172232418,352700,8158634181,11207819910
26,2024-03-28,BFIN,EQUITY,15967115620.0,1340,581047400,1265677080,145520900,176360,1952516088,559176470,1600275,10599200,128371180,4644684953,5541800,238972850,166009128,685166446,1149960,1846244927,167741118,352700,8194207098,11305386027
27,2024-04-30,BFIN,EQUITY,15967115620.0,1050,593343200,1256553670,141805600,176360,1951736798,443789276,481936,10915200,128348480,4527150520,5541800,290951850,175836428,703823889,1149960,1884315175,162295618,352700,8198653040,11422920460
28,2024-05-31,BFIN,EQUITY,15967115620.0,1015,572092600,1247665270,142785100,176360,1867199098,392404366,143504,11325700,128348480,4362140478,5541800,450086950,180331928,688870079,1149860,1891374527,161953918,0,8208621440,11587930502
29,2024-06-28,BFIN,EQUITY,15967115620.0,945,507454000,1248526670,129373300,176360,1853954278,354064900,278416,11325700,128348480,4233502104,5541800,585449250,188886228,698397099,1152360,1889625527,164431118,0,8183085494,11716568876
30,2024-07-31,BFIN,EQUITY,15967115620.0,895,493160200,1171834860,128360000,176360,1861197748,297945211,113420205,11437300,128348480,4205880364,5541800,671663450,200081428,684565699,1157160,1878509127,166044518,0,8136649194,11744212376
31,2024-08-30,BFIN,EQUITY,15967115620.0,1015,405201900,1158690160,122897900,176360,1776260548,326345940,133624476,14299000,130748480,4068244764,5541800,851015850,202177928,688035499,1148860,1861122021,164090118,0,8108715900,11881847976
32,2024-09-30,BFIN,EQUITY,15967115620.0,1040,406089900,1126846660,129261300,176360,1761847928,356466377,112849696,15087200,129198480,4037823901,5541800,805505650,201506728,690565099,1178860,1943504564,164426330,0,8100256888,11912485919
33,2024-10-31,BFIN,EQUITY,15967115620.0,990,401804900,1089766093,131112700,176360,1764710795,354916693,113179680,15087200,127998480,3998752901,5541800,875691350,207343828,695670499,1178860,1899574664,165977430,0,8100578488,11951556919
34,2024-11-29,BFIN,EQUITY,15967115620.0,930,400172000,1069117059,131163300,176360,1770029629,378395998,113174801,15087200,127998480,4005314827,5541800,932631050,211200628,707391899,1190860,1825704538,164730930,0,8096603288,11944994993
35,2024-12-30,BFIN,EQUITY,15967115620.0,945,417141800,1140421459,126690900,176360,1749892829,378386145,30659854,15087200,127998480,3986455027,5541800,943251150,210750328,701262899,1190860,1844544038,159440230,0,8097873488,11963854793
