,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BHAT,EQUITY,5000000000.0,995,437706000,3575251900,0,0,8434700,362887800,153054000,3800000,0,4541134400,0,0,0,8816700,48300,0,600,0,0,8865600
1,2022-02-25,BHAT,EQUITY,5000000000.0,1005,399006000,3611972100,0,0,10093700,363387800,153054000,3800000,0,4541313600,0,0,0,8637500,48300,0,600,0,0,8686400
2,2022-03-31,BHAT,EQUITY,5000000000.0,1000,404906000,3621100900,0,0,10573700,363140800,138054000,3800000,0,4541575400,0,0,0,8375700,48300,0,600,0,0,8424600
3,2022-04-28,BHAT,EQUITY,5000000000.0,1005,436506000,3591724900,0,0,10208000,361140800,138054000,3800000,0,4541433700,0,0,0,8517400,48300,0,600,0,0,8566300
4,2022-05-31,BHAT,EQUITY,5000000000.0,1010,414206000,3614955000,0,0,10709300,359940800,138054000,3800000,0,4541665100,0,0,0,8286000,48300,0,600,0,0,8334900
5,2022-06-30,BHAT,EQUITY,5000000000.0,970,436606000,3597659600,0,0,10787000,354840800,138054000,3800000,0,4541747400,0,0,0,8138700,113300,0,600,0,0,8252600
6,2022-07-29,BHAT,EQUITY,5000000000.0,1000,443606000,3596737500,0,0,11018300,348840800,138054000,3800000,0,4542056600,0,0,0,7894500,48300,0,600,0,0,7943400
7,2022-08-31,BHAT,EQUITY,5000000000.0,1080,464106000,3450258500,0,0,51805600,339179800,138054000,3800000,0,4447203900,0,0,0,102747200,48300,0,600,0,0,102796100
8,2022-09-30,BHAT,EQUITY,5000000000.0,885,493116000,3389905300,0,0,188001100,334879800,136054000,3800000,0,4545756200,0,0,0,1399400,48300,2795500,600,0,0,4243800
9,2022-10-31,BHAT,EQUITY,5000000000.0,885,496116000,3482481000,0,0,84617000,334879800,136054000,3800000,0,4537947800,0,0,0,8911600,48300,3091700,600,0,0,12052200
10,2022-11-30,BHAT,EQUITY,5000000000.0,830,496116000,3505781800,0,0,65002400,334879800,136054000,2800000,0,4540634000,0,0,0,6176000,48300,3141100,600,0,0,9366000
11,2022-12-30,BHAT,EQUITY,5000000000.0,865,463516000,3551591200,600000,0,6150100,364899800,132324000,2800000,0,4521881100,0,0,0,24928700,48500,3141100,600,0,0,28118900
12,2023-01-31,BHAT,EQUITY,5000000000.0,855,476016000,3399068300,600000,0,158291500,362399800,132324000,2800000,0,4531499600,0,0,0,15310200,48500,3141100,600,0,0,18500400
13,2023-02-28,BHAT,EQUITY,5000000000.0,845,490316000,3432659200,600000,0,122716100,359899800,132324000,2100000,0,4540615100,0,0,0,6219700,48300,3116300,600,0,0,9384900
