,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-03-31,BIKE-W,WARRANT,161667000.0,25,0,255450,0,50,161384750,0,300,0,0,161640550,0,0,0,50,26400,0,0,0,0,26450
1,2022-04-28,BIKE-W,WARRANT,161667000.0,22,0,102850,0,50,161538650,0,500,0,0,161642050,0,0,0,50,24900,0,0,0,0,24950
2,2022-05-31,BIKE-W,WARRANT,161667000.0,18,0,101850,0,50,161541900,0,250,0,0,161644050,0,0,0,50,22900,0,0,0,0,22950
3,2022-06-30,BIKE-W,WARRANT,161667000.0,16,0,101800,0,50,161544700,0,300,0,0,161646850,0,0,0,50,20100,0,0,0,0,20150
4,2022-07-29,BIKE-W,WARRANT,161667000.0,13,0,100300,0,50,161546000,0,450,0,0,161646800,0,0,0,50,20150,0,0,0,0,20200
5,2022-08-31,BIKE-W,WARRANT,161667000.0,18,0,1465750,0,50,160180500,0,600,0,0,161646900,0,0,0,50,20050,0,0,0,0,20100
6,2022-09-30,BIKE-W,WARRANT,161662395.0,21,0,100250,0,50,161241095,0,700,0,200,161342295,0,0,0,50,320050,0,0,0,0,320100
7,2022-10-31,BIKE-W,WARRANT,161660149.0,19,0,100250,0,50,160938349,0,1250,0,150,161040049,0,0,0,50,620050,0,0,0,0,620100
8,2022-11-30,BIKE-W,WARRANT,161655369.0,17,0,100250,0,50,160934018,0,950,0,1,161035269,0,0,0,50,620050,0,0,0,0,620100
9,2022-12-30,BIKE-W,WARRANT,161649191.0,15,0,100250,0,50,160926989,0,1700,0,102,161029091,0,0,0,50,620050,0,0,0,0,620100
10,2023-01-31,BIKE-W,WARRANT,161647891.0,16,0,100250,0,50,160925341,0,2100,0,50,161027791,0,0,0,50,620050,0,0,0,0,620100
11,2023-02-28,BIKE-W,WARRANT,161644756.0,14,0,100200,0,50,160922756,0,1650,0,0,161024656,0,0,0,50,620050,0,0,0,0,620100
12,2023-03-31,BIKE-W,WARRANT,161643812.0,9,0,100150,0,50,160922762,0,700,0,50,161023712,0,0,0,50,620050,0,0,0,0,620100
13,2023-04-28,BIKE-W,WARRANT,161642769.0,10,0,100150,0,50,160921509,0,800,150,10,161022669,0,0,0,50,620050,0,0,0,0,620100
14,2023-05-31,BIKE-W,WARRANT,161641055.0,10,0,100150,0,50,160920455,0,950,150,0,161021755,0,0,0,50,619250,0,0,0,0,619300
15,2023-06-27,BIKE-W,WARRANT,161640498.0,11,0,100150,0,50,160920348,0,500,150,0,161021198,0,0,0,50,619250,0,0,0,0,619300
16,2023-07-31,BIKE-W,WARRANT,161639302.0,13,0,100150,0,50,160921752,0,650,200,0,161022802,0,0,0,50,616450,0,0,0,0,616500
17,2023-08-31,BIKE-W,WARRANT,161635231.0,21,0,100150,0,50,160917381,0,950,200,0,161018731,0,0,0,50,616450,0,0,0,0,616500
18,2023-09-29,BIKE-W,WARRANT,161620481.0,20,0,104350,0,50,160897831,0,800,200,750,161003981,0,0,0,50,616450,0,0,0,0,616500
19,2023-10-31,BIKE-W,WARRANT,161617537.0,15,0,650150,0,50,160349837,0,750,250,0,161001037,0,0,0,50,616450,0,0,0,0,616500
20,2023-11-30,BIKE-W,WARRANT,161616590.0,16,0,2100150,0,50,158899140,0,500,250,0,161000090,0,0,0,50,616450,0,0,0,0,616500
21,2023-12-29,BIKE-W,WARRANT,161615681.0,11,0,1836150,0,50,159162031,0,500,400,50,160999181,0,0,0,50,616450,0,0,0,0,616500
22,2024-01-31,BIKE-W,WARRANT,161614331.0,12,0,1750150,0,50,159248231,0,900,450,50,160999831,0,0,0,50,614450,0,0,0,0,614500
23,2024-02-29,BIKE-W,WARRANT,161612842.0,4,0,150,0,50,160997042,0,650,450,0,160998342,0,0,0,50,614450,0,0,0,0,614500
