,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BINO-W,WARRANT,217500000.0,18,0,964800,0,0,216395950,0,500,0,0,217361250,0,0,0,0,138750,0,0,0,0,138750
1,2022-02-25,BINO-W,WARRANT,217500000.0,32,0,785600,0,0,216675250,0,350,50,0,217461250,0,0,0,0,38750,0,0,0,0,38750
2,2022-03-31,BINO-W,WARRANT,217500000.0,27,0,785600,0,0,216675350,0,250,50,0,217461250,0,0,0,0,38750,0,0,0,0,38750
3,2022-04-28,BINO-W,WARRANT,217500000.0,24,0,785600,0,0,216675150,0,450,50,0,217461250,0,0,0,0,38750,0,0,0,0,38750
4,2022-05-31,BINO-W,WARRANT,217499350.0,20,0,785600,0,0,216674500,0,450,50,0,217460600,0,0,0,0,38750,0,0,0,0,38750
5,2022-06-30,BINO-W,WARRANT,217498900.0,22,0,725200,0,0,216734400,0,500,50,0,217460150,0,0,0,0,38750,0,0,0,0,38750
6,2022-07-29,BINO-W,WARRANT,217497249.0,19,0,725200,0,0,216732712,0,500,50,37,217458499,0,0,0,0,38750,0,0,0,0,38750
7,2022-08-31,BINO-W,WARRANT,217496048.0,21,0,725200,0,0,216730778,0,470,50,800,217457298,0,0,0,0,38750,0,0,0,0,38750
8,2022-09-30,BINO-W,WARRANT,217490548.0,23,0,725200,0,0,216725878,0,670,50,0,217451798,0,0,0,0,38750,0,0,0,0,38750
9,2022-10-31,BINO-W,WARRANT,217490398.0,20,0,725200,0,0,216725328,0,1070,50,0,217451648,0,0,0,0,38750,0,0,0,0,38750
10,2022-11-30,BINO-W,WARRANT,217487098.0,19,0,725200,0,0,216721978,0,1120,50,0,217448348,0,0,0,0,38750,0,0,0,0,38750
11,2022-12-30,BINO-W,WARRANT,217485247.0,27,0,725150,0,0,216718927,0,2370,50,0,217446497,0,0,0,0,38750,0,0,0,0,38750
12,2023-01-31,BINO-W,WARRANT,217484447.0,21,0,725150,0,0,216719127,0,1370,50,0,217445697,0,0,0,0,38750,0,0,0,0,38750
13,2023-02-28,BINO-W,WARRANT,217484247.0,20,0,725150,0,0,216719127,0,1170,50,0,217445497,0,0,0,0,38750,0,0,0,0,38750
14,2023-03-31,BINO-W,WARRANT,217484246.0,21,0,725150,0,0,216719275,0,1020,50,1,217445496,0,0,0,0,38750,0,0,0,0,38750
15,2023-04-28,BINO-W,WARRANT,217484191.0,26,0,725150,0,0,216718971,0,1270,50,0,217445441,0,0,0,0,38750,0,0,0,0,38750
16,2023-05-31,BINO-W,WARRANT,217483891.0,20,0,725150,0,0,216718871,0,1020,100,0,217445141,0,0,0,0,38750,0,0,0,0,38750
17,2023-06-27,BINO-W,WARRANT,217483841.0,20,0,725150,0,0,216719071,0,820,100,0,217445141,0,0,0,0,38700,0,0,0,0,38700
18,2023-07-31,BINO-W,WARRANT,217483687.0,18,0,725150,0,0,216718566,0,1070,200,1,217444987,0,0,0,0,38700,0,0,0,0,38700
19,2023-08-31,BINO-W,WARRANT,217482344.0,19,0,725150,0,0,216717174,0,1120,200,0,217443644,0,0,0,0,38700,0,0,0,0,38700
20,2023-09-29,BINO-W,WARRANT,217482242.0,18,0,725150,0,0,216718672,0,870,300,850,217445842,0,0,0,0,36400,0,0,0,0,36400
21,2023-10-31,BINO-W,WARRANT,217480389.0,19,0,725150,0,0,216717469,0,1020,350,0,217443989,0,0,0,0,36400,0,0,0,0,36400
22,2023-11-30,BINO-W,WARRANT,217480339.0,17,0,725150,0,0,216717569,0,870,350,0,217443939,0,0,0,0,36400,0,0,0,0,36400
23,2023-12-29,BINO-W,WARRANT,217480289.0,16,0,725150,0,0,216717519,0,820,400,0,217443889,0,0,0,0,36400,0,0,0,0,36400
24,2024-01-31,BINO-W,WARRANT,217480189.0,10,0,725150,0,0,216717119,0,1070,450,0,217443789,0,0,0,0,36400,0,0,0,0,36400
25,2024-02-29,BINO-W,WARRANT,217480139.0,10,0,725150,0,0,216717569,0,570,450,0,217443739,0,0,0,0,36400,0,0,0,0,36400
26,2024-03-28,BINO-W,WARRANT,217479988.0,15,0,725150,0,0,216717268,0,670,500,0,217443588,0,0,0,0,36400,0,0,0,0,36400
27,2024-04-30,BINO-W,WARRANT,217479836.0,7,0,725150,0,0,216717316,0,470,500,0,217443436,0,0,0,0,36400,0,0,0,0,36400
28,2024-05-31,BINO-W,WARRANT,217479836.0,11,0,725150,0,0,216717266,0,520,500,0,217443436,0,0,0,0,36400,0,0,0,0,36400
29,2024-06-28,BINO-W,WARRANT,217479696.0,10,0,725150,0,0,216717176,0,420,500,50,217443296,0,0,0,0,36400,0,0,0,0,36400
30,2024-07-31,BINO-W,WARRANT,217479546.0,9,0,725150,0,0,216717026,0,470,500,0,217443146,0,0,0,0,36400,0,0,0,0,36400
31,2024-08-30,BINO-W,WARRANT,217479546.0,10,0,4725150,0,0,212716976,0,520,500,0,217443146,0,0,0,0,36400,0,0,0,0,36400
32,2024-09-30,BINO-W,WARRANT,187189602.0,29,0,200150,0,0,186526463,0,570,1000,388719,187116902,0,0,0,36300,36400,0,0,0,0,72700
33,2024-10-31,BINO-W,WARRANT,183856176.0,15,0,150,0,0,183781856,0,470,1000,0,183783476,0,0,0,36300,36400,0,0,0,0,72700
