,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BIRD,EQUITY,2502100000.0,1430,92461800,147969795,16747500,0,738252982,95241500,15566,801500,2914018,1094404661,10201900,58306634,40900,15686985,1498000,10557700,6006346,0,15376874,117675339
1,2022-02-25,BIRD,EQUITY,2502100000.0,1345,91874700,148256895,16477400,0,749658982,91937600,20766,801500,2779218,1101807061,10201900,58458834,40900,14220085,1318100,10557700,5908146,0,9567274,110272939
2,2022-03-31,BIRD,EQUITY,2502100000.0,1400,87824800,147960195,16429000,0,762597282,89185400,30766,801500,2779218,1107608161,10317000,58476934,40900,13555785,1323200,7897700,6238046,0,6622274,104471839
3,2022-04-28,BIRD,EQUITY,2502100000.0,1360,82475100,148716895,16142600,0,777577582,62440200,590743,801500,4779218,1093523838,13074000,59177157,326200,13911862,1332600,16244800,6993946,287800,7207797,118556162
4,2022-05-31,BIRD,EQUITY,2502100000.0,1660,87762700,150037395,19144800,0,782646782,45147000,42721,801500,1336518,1086919416,14654100,59437601,847200,15576018,944000,18435900,7143046,287800,7834919,125160584
5,2022-06-30,BIRD,EQUITY,2502100000.0,1680,91704800,148875395,21129200,0,776185982,42179500,12370,801500,832018,1081720765,14654100,57679300,561900,18057319,7616100,18448100,7097146,0,6245270,130359235
6,2022-07-29,BIRD,EQUITY,2502100000.0,1715,93953100,147653495,20947400,0,773302382,42142200,69770,801500,822018,1079691865,14654100,57706100,561900,18153019,8699100,19105600,7097746,0,6410570,132388135
7,2022-08-31,BIRD,EQUITY,2502100000.0,1385,93302800,147692995,18317200,0,785722082,33142600,221951,811500,972018,1080183146,16120500,58047049,855900,25011170,8669800,7212400,7186346,0,8793689,131896854
8,2022-09-30,BIRD,EQUITY,2502100000.0,1355,87926800,147764295,18407100,0,789932082,31629900,214351,984800,372018,1077231346,16120500,58023249,3371900,20698470,10432700,7630100,7559546,468100,10544089,134848654
9,2022-10-31,BIRD,EQUITY,2502100000.0,1540,90895400,447764795,17784200,0,789881282,30415600,218351,1654500,18,1378614146,16617600,58108649,3490200,18787270,10421900,7727800,7238546,468100,10605789,133465854
10,2022-11-30,BIRD,EQUITY,2502100000.0,1580,61623200,448411995,16801400,0,775274482,35796500,870961,1686500,32000018,1372465056,16444600,58544969,4421900,19949750,7931400,12400800,7188546,468100,12264879,139614944
11,2022-12-30,BIRD,EQUITY,2502100000.0,1410,46721700,446744595,16577800,0,784623582,41931900,853461,1686500,33402918,1372542456,17633000,58484269,7946946,18737150,233500,15676400,7188546,468100,13169633,139537544
12,2023-01-31,BIRD,EQUITY,2502100000.0,1615,35475900,447356395,17075000,0,777878482,71577300,840865,1961800,18,1352165760,17633000,59331273,10075846,24071215,233500,25969331,7248546,468100,14883429,159914240
13,2023-02-28,BIRD,EQUITY,2502100000.0,1765,31938700,453595095,16773400,0,756922982,63607200,252781,2615700,18,1325705876,17633000,59418289,10100046,39661621,512900,29826909,13393946,468100,15359313,186374124
