,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BJBR,EQUITY,9838787161.0,1320,879023400,39127787,10247000,13465300,817647394,94741424,21605208,3350900,1650305592,3529514005,3460500,19232900,58020550,39136649,3357285,293809078,63269606,1527767,63012552,544826887
1,2022-02-25,BJBR,EQUITY,9838787161.0,1395,872275300,39196287,10277000,13365300,820687594,94222528,21198299,3205000,1650305592,3524732900,3460500,19305000,57669490,41552749,3347285,296386278,63187171,1527767,63171752,549607992
2,2022-03-31,BJBR,EQUITY,10521443686.0,1525,881931900,32903915,10648935,13343300,886611972,98967649,22645289,1661500,37200,1948751660,3700603,23390888,65362761,81807833,3791056,309410270,69065712,1952130,65617442,624098695
3,2022-04-28,BJBR,EQUITY,10521443686.0,1475,992091000,28619915,10602335,13339800,797849772,111706982,21645256,1635000,37200,1977527260,3700603,22942788,73057903,58794334,585856,296122310,69640881,1952130,68526290,595323095
4,2022-05-31,BJBR,EQUITY,10521443686.0,1460,1006980400,30219382,10588535,13286800,746783805,113120948,19352890,2114100,37200,1942484060,5465503,22650788,94054988,53216074,590856,301343010,71243381,1952130,79849565,630366295
5,2022-06-30,BJBR,EQUITY,10521443686.0,1375,1023125300,30025382,10365135,13271800,745275725,102532226,10345024,2271800,37200,1937249592,8063803,21204608,95090313,47575374,590856,306714078,74419281,1292750,80649700,635600763
6,2022-07-29,BJBR,EQUITY,10521443686.0,1340,1023380300,30785382,10365135,13359000,757472290,96854356,10518300,2302900,0,1945037663,8365303,21108698,95209570,46823817,596056,300052507,74201991,1292750,80162000,627812692
7,2022-08-31,BJBR,EQUITY,10521443686.0,1390,1018027800,34280419,9829035,13241800,757769809,100895230,10434621,2465500,0,1946944214,8365303,21391998,94836570,46491217,596000,298831707,74290391,1292750,79810205,625906141
8,2022-09-30,BJBR,EQUITY,10521443686.0,1355,1012388600,34445119,9899035,13241800,760213001,96513494,17826023,2465500,0,1946992572,8365303,21711898,94503081,48021984,296000,301134302,74197991,1292750,76334474,625857783
9,2022-10-31,BJBR,EQUITY,10521443686.0,1375,995061800,34216519,9849035,13240300,788718101,96753323,30883361,2465500,0,1971187939,8121003,37790067,93352681,38756815,307000,269257171,74673091,955750,78448838,601662416
10,2022-11-30,BJBR,EQUITY,10521443686.0,1360,966058500,33983319,9999035,13154300,812033928,97157029,30956728,2205700,17349900,1982898439,7903703,35071567,93564281,40623715,208000,258888071,74170404,955750,78566425,589951916
11,2022-12-30,BJBR,EQUITY,10521443686.0,1345,963177500,22680070,10049035,13059800,794329298,95742812,31429175,861800,68563749,1999893239,8547703,34834367,96972881,36694215,208000,244305571,74279104,955750,76159525,572957116
12,2023-01-31,BJBR,EQUITY,10521443686.0,1365,963178200,23383570,10029035,13059800,807932298,95748899,31760299,861800,65750049,2011703950,8688703,23963467,97144581,36665104,209000,242837771,74439704,955750,76242325,561146405
13,2023-02-28,BJBR,EQUITY,10521443686.0,1320,963179900,21768370,10029035,12809800,822597898,103064144,32204254,1659900,38750049,2006063350,8688703,23232567,96868581,39062604,214500,237738071,74728004,955750,85298225,566787005
14,2023-03-31,BJBR,EQUITY,10521443686.0,1360,962868400,22728870,10223735,12334800,870518477,102027812,31595307,2027500,27042349,2041367250,2543303,23315678,92871939,36474604,215200,216324371,74654104,955750,84128156,531483105
15,2023-04-28,BJBR,EQUITY,10521443686.0,1255,962868400,27912770,10223735,12334800,889510250,96891332,31895614,2027500,17008949,2050673350,782703,23871478,94395539,28851822,215200,214069871,75027904,747996,84214492,522177005
16,2023-05-31,BJBR,EQUITY,10521443686.0,1215,962868400,27974070,10223735,12334300,890036120,95789188,30700488,2027500,17008949,2048962750,895203,25119478,103281239,28179822,195200,213886071,75823704,637896,75868992,523887605
17,2023-06-27,BJBR,EQUITY,10521443686.0,1180,962868400,28054470,10411235,12309300,893341020,94234201,30750175,2027500,16250049,2050246350,2974003,25353978,102752439,26053122,230200,212037720,75859904,637896,76704743,522604005
18,2023-07-31,BJBR,EQUITY,10521443686.0,1190,962868400,28179170,10549535,9222300,912491466,94994293,30657315,2027500,3398849,2054388828,2974003,25560478,102675739,29069944,231200,204136920,75872104,637896,77303243,518461527
19,2023-08-31,BJBR,EQUITY,10521443686.0,1185,962903200,28441670,10749535,8934300,927257836,95895284,30757336,2027500,3398849,2070365510,2861503,25991978,101779528,26013066,216200,192092698,76758780,469220,76301872,502484845
20,2023-09-29,BJBR,EQUITY,10521443686.0,1170,962902800,28495670,10749535,6756300,936061943,95754520,30457332,2027500,3398849,2076604449,2861503,26058078,99250825,26064969,202700,187703276,76840463,469220,76794872,496245906
21,2023-10-31,BJBR,EQUITY,10521443686.0,1135,962902800,27982770,9790235,6706300,944358195,95560871,31133178,2027500,3398849,2083860698,2861503,26341778,99230725,25396269,244200,182177773,75793917,469220,76474272,488989657
22,2023-11-30,BJBR,EQUITY,10521443686.0,1120,962902800,28182170,9790235,6691300,949190795,94784508,33428140,2027500,3398849,2090396297,2861503,26353578,98773126,26419869,203200,177269273,75749617,469220,74354672,482454058
23,2023-12-29,BJBR,EQUITY,10521443686.0,1150,962902800,28265670,9790235,6691300,954652346,94477879,33728211,2027500,250049,2092785990,2861503,26446578,98898909,28484169,202900,175040393,75669575,469220,71991118,480064365
24,2024-01-31,BJBR,EQUITY,10521443686.0,1165,962902200,28334670,9890235,6681300,955764045,94453483,33742338,2027500,250049,2094045820,2861503,26524078,97838979,18521957,193200,215304062,45504918,469220,71586618,478804535
25,2024-02-29,BJBR,EQUITY,10521443686.0,1205,962868400,28399770,9590235,6590300,956650795,92010426,33652428,2027500,250049,2092039903,2861503,26720291,98760079,18804841,184700,219988736,45740718,469220,67280364,480810452
26,2024-03-28,BJBR,EQUITY,10521443686.0,1210,962868400,28401770,9590235,6590300,965315995,90565228,33460707,861800,250049,2097904484,2861503,26749091,96723198,18481341,185700,218051636,46259018,469220,65165164,474945871
27,2024-04-30,BJBR,EQUITY,10521443686.0,1015,962868400,28351770,9853635,6590300,977117095,88168698,33510437,953100,250049,2107663484,2861503,26794678,97578398,15866528,181500,211412562,45896818,469220,64125664,465186871
28,2024-05-31,BJBR,EQUITY,10521443686.0,1010,962868400,25255370,10103635,6186800,986414334,84130521,33533405,953100,250049,2109695614,2861503,26984178,97221398,17121228,221800,208369632,46203518,469220,63702264,463154741
29,2024-06-28,BJBR,EQUITY,10521443686.0,970,962868400,25137370,10153635,6180300,986487869,84215349,33555179,1175700,250049,2110023851,2861503,25998778,104947198,16687828,176500,201686932,47209118,469220,62789427,462826504
