,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BJTM,EQUITY,15015498082.0,745,66699200,58396987,9016700,806000,1383784807,22562092,59180203,165000,5134113,1605745102,6521600,8700574,142443408,46292276,1224300,801788084,38498488,34001931,396134337,1475604998
1,2022-02-25,BJTM,EQUITY,15015498082.0,770,98999200,55204287,9037200,806000,1383034307,23601679,57737329,165000,134500,1628719502,6521600,9257874,142191808,51768376,1224300,772831884,38498488,34001931,396334337,1452630598
2,2022-03-31,BJTM,EQUITY,15015498082.0,790,259006500,55134987,8854700,794000,1208669007,22216635,97894573,65000,134500,1652769902,6521600,15961274,142493408,55507776,1495300,751770484,37897788,34001931,382930637,1428580198
3,2022-04-28,BJTM,EQUITY,15015498082.0,795,368442400,55226787,8554200,751000,1135006507,21577560,116284948,65000,0,1705908402,6521600,16394874,138430208,54596476,1457600,705473984,38573188,34001931,379991837,1375441698
4,2022-05-31,BJTM,EQUITY,15015498082.0,780,406902300,56929387,8554200,734000,1141054607,21898297,113934411,1010300,0,1751017502,6521600,16236474,137719008,40109076,1452600,685787484,39686288,34001931,368818137,1330332598
5,2022-06-30,BJTM,EQUITY,15015498082.0,740,434304700,57930187,8561700,727500,1131903107,21869012,113483196,1010300,0,1769789702,9222900,16648074,136413308,35515376,1452600,681027684,42059288,34001931,355219237,1311560398
6,2022-07-29,BJTM,EQUITY,15015498082.0,710,437657500,58047187,8646600,727500,1190633407,22992207,113897201,1010300,0,1833611902,9222900,16566574,136413308,34681976,1453600,670822384,42808088,34001931,301767437,1247738198
7,2022-08-31,BJTM,EQUITY,15015498082.0,720,436851700,58274287,8340100,727500,1227941507,23165892,114975416,1272900,0,1871549302,9222900,16590574,136413308,37378076,1078600,662000084,42795088,34001931,270320237,1209800798
8,2022-09-30,BJTM,EQUITY,15015498082.0,710,436115600,57864787,8341300,727500,1264547907,20921395,127363513,1272900,0,1917154902,8486700,16767074,132273908,37678876,1078600,625476684,42317088,34001931,266114337,1164195198
9,2022-10-31,BJTM,EQUITY,15015498082.0,705,433339200,58597087,8376300,727500,1338204407,14535120,125501688,1272900,0,1980554202,8486700,20684474,130622108,48596276,1078600,562594384,42183888,33247731,253301737,1100795898
10,2022-11-30,BJTM,EQUITY,15015498082.0,730,431849900,58612987,8358700,727500,1370245607,14538292,125746816,1257900,0,2011337702,8694000,16866574,130622108,47326376,1053600,556635994,40801004,33247731,234765011,1070012398
11,2022-12-30,BJTM,EQUITY,15015498082.0,710,430643800,59462687,8388700,727500,1404961407,16125996,126353122,1257900,0,2047921112,8170600,28022974,129759808,41416266,1051100,547626994,40226604,33247731,203906911,1033428988
12,2023-01-31,BJTM,EQUITY,15015498082.0,735,429861300,61383387,8588700,727500,1412697107,16132961,126453157,1257900,0,2057102012,8170600,27609274,127553608,39560266,1025100,543895794,40228004,33247731,202957711,1024248088
13,2023-02-28,BJTM,EQUITY,15015498082.0,740,430992300,61596287,8567700,727500,1411516307,21441416,126373002,1257900,0,2062472412,8170600,28456874,127311308,36871966,1025200,532265794,40228004,33247731,211300211,1018877688
14,2023-03-31,BJTM,EQUITY,15015498082.0,735,432107300,61542087,8567700,727500,1426084607,22312805,126473013,1257900,0,2079072912,8170600,28632374,125566408,30485866,971200,522169694,40231304,33247731,212802011,1002277188
15,2023-04-28,BJTM,EQUITY,15015498082.0,675,431410300,62322487,8602700,615000,1549145807,21311926,35989992,1410500,0,2110808712,8651800,29506474,123509408,42854466,971200,480696994,40231004,33247731,210872311,970541388
16,2023-05-31,BJTM,EQUITY,15015498082.0,650,426492100,72653587,8332600,362000,1577908207,20178812,23139906,1410500,0,2130477712,8651800,30836874,123741008,24486566,971400,475704894,41308904,33247731,211923211,950872388
17,2023-06-27,BJTM,EQUITY,15015498082.0,645,426492100,71504187,8617200,347500,1580946307,18778675,23139843,1410500,0,2131236312,8651800,31155674,121588404,22837666,971400,478170446,41548004,33247731,211942663,950113788
18,2023-07-31,BJTM,EQUITY,15015498082.0,660,426492100,72304887,8468200,23000,1581406107,20257710,23206960,1410500,0,2133569464,8651800,31918674,121980904,28361466,1028200,477956494,42776504,33247731,201858863,947780636
19,2023-08-31,BJTM,EQUITY,15015498082.0,655,426492100,70982087,7768200,23000,1576960607,19122409,30346961,1410500,0,2133105864,8724000,37922974,121980904,28036866,1020600,471568594,43144604,33247731,202597963,948244236
20,2023-09-29,BJTM,EQUITY,15015498082.0,635,426492100,70998987,7768200,23000,1604974807,19527076,31789494,1410500,0,2162984164,8724000,37922974,117545304,34034566,1020600,440725794,43144604,33247731,202000363,918365936
21,2023-10-31,BJTM,EQUITY,15015498082.0,605,426492100,69783187,7993200,23000,1642371107,18867060,33334010,1410500,0,2200274164,8724000,38899674,117545304,26981066,1041700,409118142,43152804,33247731,202365515,881075936
22,2023-11-30,BJTM,EQUITY,15015498082.0,620,426492100,69578787,7993200,23000,1654371807,18956763,33334007,1360500,0,2212110164,8724000,39223974,115685804,26270166,1023100,398448105,43748241,33247731,202868815,869239936
23,2023-12-29,BJTM,EQUITY,15015498082.0,625,426492100,69865487,7993200,23000,1685436707,18864411,39098409,1360500,0,2249133814,8589600,39841474,82253554,24796466,1020600,394927305,44073241,33247731,203466315,832216286
24,2024-01-31,BJTM,EQUITY,15015498082.0,650,426492100,70238187,15416900,23000,1684792607,18869702,38561418,1471800,0,2255865714,8589600,40257874,76853754,12653503,1032700,437714905,11619704,33247731,203514615,825484386
25,2024-02-29,BJTM,EQUITY,15015498082.0,605,427918800,70129387,15334400,23000,1715108207,17744560,44568507,1471800,0,2292298661,8589600,36709974,78343854,9719044,424100,413386275,11620204,31590431,198667957,789051439
26,2024-03-28,BJTM,EQUITY,15015498082.0,600,432035400,70810187,15209400,23000,1687612307,17787520,44046328,1471800,0,2268995942,8589600,37370474,76534954,18201344,511300,405384212,11700304,31590431,222471539,812354158
27,2024-04-30,BJTM,EQUITY,15015498082.0,595,432035400,66104487,14755100,23000,1661354007,17950180,49046368,1583100,0,2242851642,8126400,37451174,77905154,12056744,424400,402176512,11620204,31590431,257147439,838498458
28,2024-05-31,BJTM,EQUITY,15015498082.0,500,436227800,66188887,14355100,23000,1731351707,17537200,48657068,1583100,0,2315923862,3965400,35225954,66639654,11027944,402400,353317812,10991431,31590431,252265212,765426238
29,2024-06-28,BJTM,EQUITY,15015498082.0,525,435692600,66714687,14455100,23000,1857534307,17639368,48657401,2239600,0,2442956063,0,20151780,55692554,49662544,416100,249626036,13961431,30705631,218177961,638394037
30,2024-07-31,BJTM,EQUITY,15015498082.0,550,434771800,66573887,14355100,23000,1888552207,17645665,48863660,2239600,0,2473024919,0,18633524,65597054,48743044,502600,225256210,13284857,30705631,205602261,608325181
31,2024-08-30,BJTM,EQUITY,15015498082.0,570,435474100,70665887,14355100,23000,1891177807,17655991,48963684,2239600,0,2480555169,0,19550574,65712554,42637244,506400,223599610,12002057,30705631,206080861,600794931
32,2024-09-30,BJTM,EQUITY,15015498082.0,570,435474100,69841387,14355100,23000,1894973307,17465611,50964645,2239600,0,2485336750,0,19876428,65712554,39865498,394500,222118348,11313257,30705631,206027134,596013350
33,2024-10-31,BJTM,EQUITY,15015498082.0,560,437055000,69788987,14355100,23000,1909010307,18042783,52279793,2350900,0,2502905870,0,19774800,65511654,28971575,339000,221555810,11311357,25079800,205900234,578444230
34,2024-11-29,BJTM,EQUITY,15015498082.0,545,438463000,69383087,14355100,23000,1917704207,17104344,52279832,2350900,0,2511663470,0,20271800,61302954,26302175,339000,219458810,11318257,25079800,205613834,569686630
35,2024-12-30,BJTM,EQUITY,15015498082.0,540,439612500,68897987,14355100,23000,1921267507,19215725,52279651,2350900,0,2518002370,0,20271800,60275554,20675375,380200,218027810,13023357,25079800,205613834,563347730
