,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BLUE,EQUITY,418000000.0,364,0,134560000,0,0,9609900,0,0,0,6405600,150575500,0,0,0,17400700,23800,0,0,0,0,17424500
1,2022-02-25,BLUE,EQUITY,418000000.0,354,0,134560000,0,0,9964000,0,0,0,6051500,150575500,0,0,0,17400700,23800,0,0,0,0,17424500
2,2022-03-31,BLUE,EQUITY,418000000.0,290,0,134560000,0,0,12052700,0,0,0,3962800,150575500,0,0,0,17400700,23800,0,0,0,0,17424500
3,2022-04-28,BLUE,EQUITY,418000000.0,276,0,134560000,0,0,13468300,0,0,0,2478500,150506800,0,0,0,17400700,92500,0,0,0,0,17493200
4,2022-05-31,BLUE,EQUITY,418000000.0,282,0,134560000,0,0,15095000,0,1265700,0,236600,151157300,0,0,0,16750200,92500,0,0,0,0,16842700
5,2022-06-30,BLUE,EQUITY,418000000.0,280,0,127900600,0,0,21416900,0,18474500,0,0,167792000,0,0,0,0,192500,0,0,0,15500,208000
6,2022-07-29,BLUE,EQUITY,418000000.0,288,0,128480600,0,0,20836900,0,18474500,0,0,167792000,0,0,0,0,192500,0,0,0,15500,208000
7,2022-08-31,BLUE,EQUITY,418000000.0,286,0,128395800,0,0,20921700,0,18474500,0,0,167792000,0,0,0,0,192500,0,0,0,15500,208000
8,2022-09-30,BLUE,EQUITY,418000000.0,286,0,128395800,0,0,20915700,0,18474500,0,0,167786000,0,0,0,0,192500,0,0,0,21500,214000
9,2022-10-31,BLUE,EQUITY,418000000.0,286,0,128487800,0,0,20823700,0,18474500,0,0,167786000,0,0,0,0,192500,0,0,0,21500,214000
10,2022-11-30,BLUE,EQUITY,418000000.0,292,0,128487800,0,0,20823700,0,18474500,0,0,167786000,0,0,0,0,192500,0,0,0,21500,214000
11,2022-12-30,BLUE,EQUITY,418000000.0,292,0,128487800,0,0,20783600,0,18474500,0,0,167745900,0,0,0,40100,192500,0,0,0,21500,254100
12,2023-01-31,BLUE,EQUITY,418000000.0,288,0,129043900,0,0,20213500,0,18474500,0,0,167731900,0,0,0,40100,192500,0,0,0,35500,268100
13,2023-02-28,BLUE,EQUITY,418000000.0,292,0,129043900,0,0,20213400,0,18474500,0,0,167731800,0,0,0,40200,192500,0,0,0,35500,268200
14,2023-03-31,BLUE,EQUITY,418000000.0,286,0,129043900,0,0,20250500,0,18474500,0,0,167768900,0,0,0,100,195500,0,0,0,35500,231100
15,2023-04-28,BLUE,EQUITY,418000000.0,288,0,129043900,0,0,20350500,0,18474500,0,0,167868900,0,0,0,100,95500,0,0,0,35500,131100
16,2023-05-31,BLUE,EQUITY,418000000.0,310,0,129043900,0,0,20370400,0,18474500,0,0,167888800,0,0,0,100,75600,0,0,0,35500,111200
17,2023-06-27,BLUE,EQUITY,418000000.0,332,0,129043900,0,0,20229000,0,18474500,0,0,167747400,0,0,0,100,217000,0,0,0,35500,252600
18,2023-07-31,BLUE,EQUITY,418000000.0,370,0,129043900,0,0,20231000,0,18474500,0,0,167749400,0,0,0,100,215000,0,0,0,35500,250600
19,2023-08-31,BLUE,EQUITY,418000000.0,404,0,129043900,0,0,20761400,0,17799500,0,0,167604800,0,0,0,124800,234900,0,0,0,35500,395200
20,2023-09-29,BLUE,EQUITY,418000000.0,380,0,129062400,0,0,20871900,0,17799500,0,0,167733800,0,0,0,7200,223500,0,0,0,35500,266200
21,2023-10-31,BLUE,EQUITY,418000000.0,378,0,129043900,0,0,20836200,0,17799500,0,0,167679600,0,0,0,57400,227500,0,0,0,35500,320400
22,2023-11-30,BLUE,EQUITY,418000000.0,364,0,129043900,0,0,20893500,0,17799500,0,0,167736900,0,0,0,100,227500,0,0,0,35500,263100
23,2023-12-29,BLUE,EQUITY,418000000.0,348,0,129043900,0,0,20458200,0,17799500,0,0,167301600,0,0,0,100,227500,0,0,0,470800,698400
24,2024-01-31,BLUE,EQUITY,418000000.0,366,0,117943900,0,0,31872700,0,17799500,0,0,167616100,0,0,0,100,227500,0,0,0,156300,383900
25,2024-02-29,BLUE,EQUITY,418000000.0,366,0,117943900,0,0,31946700,0,17799500,0,0,167690100,0,0,0,100,227500,0,0,0,82300,309900
26,2024-03-28,BLUE,EQUITY,418000000.0,360,0,117943900,0,0,31950700,0,17799500,0,0,167694100,0,0,0,100,223500,0,0,0,82300,305900
27,2024-04-30,BLUE,EQUITY,418000000.0,356,0,117943900,0,0,31974000,0,17799500,0,0,167717400,0,0,0,100,223500,0,0,0,59000,282600
