,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-09-30,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
1,2022-10-31,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
2,2022-11-30,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
3,2022-12-30,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
4,2023-01-31,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
5,2023-02-28,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
6,2023-03-31,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
7,2023-04-28,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
8,2023-05-31,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
9,2023-06-27,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
10,2023-07-31,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
11,2023-08-31,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
12,2023-09-29,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
13,2023-10-31,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
14,2023-11-30,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,636000,0,0,1473400,0,0,0,0,2109400,0,0,0,0,540600,0,0,0,0,540600
15,2023-12-29,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,662500,0,0,1987500,0,0,0,0,2650000,0,0,0,0,0,0,0,0,0,0
16,2024-01-31,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,662500,0,0,1987500,0,0,0,0,2650000,0,0,0,0,0,0,0,0,0,0
17,2024-02-29,BMCCECF,EQUITY CROWDFUNDING (ECF),2650000.0,1000,0,662500,0,0,1987500,0,0,0,0,2650000,0,0,0,0,0,0,0,0,0,0
