,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,15000000000,1900000000,27000000000,134150000000,74950000000,72000000000,0,25000000000,0,350000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,15000000000,1900000000,27000000000,134750000000,74350000000,72000000000,0,25000000000,0,350000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,15000000000,1900000000,27000000000,134750000000,74350000000,72000000000,0,25000000000,0,350000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,15000000000,1900000000,27000000000,150050000000,74050000000,57000000000,0,25000000000,0,350000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,15000000000,1900000000,27000000000,150550000000,73550000000,57000000000,0,25000000000,0,350000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,15000000000,1900000000,27000000000,150550000000,73550000000,57000000000,0,25000000000,0,350000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,15000000000,1900000000,27000000000,153550000000,70550000000,57000000000,0,25000000000,0,350000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,15000000000,1900000000,27000000000,150550000000,70550000000,57000000000,0,25000000000,0,347000000000,0,0,0,3000000000,0,0,0,0,0,3000000000
8,2022-09-30,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,15000000000,1900000000,27000000000,149050000000,70550000000,57000000000,0,25000000000,0,345500000000,0,0,0,4500000000,0,0,0,0,0,4500000000
9,2022-10-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,15000000000,1900000000,27000000000,149400000000,70200000000,57000000000,0,25000000000,0,345500000000,0,0,0,4500000000,0,0,0,0,0,4500000000
10,2022-11-30,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,15000000000,1900000000,27000000000,145300000000,73300000000,57000000000,0,25000000000,0,344500000000,0,0,0,5500000000,0,0,0,0,0,5500000000
11,2022-12-30,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,23000000000,1900000000,27000000000,145800000000,74800000000,47000000000,0,25000000000,0,344500000000,0,0,0,5500000000,0,0,0,0,0,5500000000
12,2023-01-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,23000000000,1900000000,27000000000,145100000000,75500000000,47000000000,0,25000000000,0,344500000000,0,0,0,5500000000,0,0,0,0,0,5500000000
13,2023-02-28,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,23000000000,1900000000,27000000000,145000000000,75600000000,47000000000,0,25000000000,0,344500000000,0,0,0,5500000000,0,0,0,0,0,5500000000
14,2023-03-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,150000000000,70600000000,37000000000,0,25000000000,0,344500000000,0,0,0,5500000000,0,0,0,0,0,5500000000
15,2023-04-28,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,150000000000,70600000000,37000000000,0,25000000000,0,344500000000,0,0,0,5500000000,0,0,0,0,0,5500000000
16,2023-05-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,145400000000,74950000000,37000000000,0,25250000000,0,344500000000,0,0,0,5500000000,0,0,0,0,0,5500000000
17,2023-06-27,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,145000000000,75350000000,37000000000,0,25250000000,0,344500000000,0,0,0,5500000000,0,0,0,0,0,5500000000
18,2023-07-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,145000000000,75350000000,37000000000,0,25250000000,0,344500000000,0,0,0,5500000000,0,0,0,0,0,5500000000
19,2023-08-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,145000000000,75350000000,37000000000,0,25250000000,0,344500000000,0,0,0,5500000000,0,0,0,0,0,5500000000
20,2023-09-29,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,144850000000,75500000000,37000000000,0,25250000000,0,344500000000,0,0,0,5500000000,0,0,0,0,0,5500000000
21,2023-10-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,144850000000,75500000000,37000000000,0,25250000000,0,344500000000,0,0,0,5500000000,0,0,0,0,0,5500000000
22,2023-11-30,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,137850000000,75500000000,37000000000,0,25250000000,0,337500000000,0,0,0,12500000000,0,0,0,0,0,12500000000
23,2023-12-29,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,139850000000,74500000000,36000000000,0,25250000000,0,337500000000,0,0,0,9500000000,0,0,0,0,3000000000,12500000000
24,2024-01-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,138850000000,75500000000,36000000000,0,25250000000,0,337500000000,0,0,0,9500000000,0,0,0,0,3000000000,12500000000
25,2024-02-29,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,134000000000,80350000000,36000000000,0,25250000000,0,337500000000,0,0,0,9500000000,0,0,0,0,3000000000,12500000000
26,2024-03-28,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,134500000000,79850000000,36000000000,0,25250000000,0,337500000000,0,0,0,9500000000,0,0,0,0,3000000000,12500000000
27,2024-04-30,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,134900000000,79450000000,36000000000,0,25250000000,0,337500000000,0,0,0,9500000000,0,0,0,0,3000000000,12500000000
28,2024-05-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,90000000000,79350000000,81000000000,0,25250000000,0,337500000000,0,0,0,9500000000,0,0,0,0,3000000000,12500000000
29,2024-06-28,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,89000000000,80350000000,81000000000,0,25250000000,0,337500000000,0,0,0,9500000000,0,0,0,0,3000000000,12500000000
30,2024-07-31,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,89000000000,80350000000,81000000000,0,25250000000,0,337500000000,0,0,0,9500000000,0,0,0,0,3000000000,12500000000
31,2024-08-30,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,89000000000,80350000000,81000000000,0,25250000000,0,337500000000,0,0,0,9500000000,0,0,0,0,3000000000,12500000000
32,2024-09-30,BMRI02ACN1,CORPORATE BOND,350000000000.0,1,33000000000,1900000000,27000000000,89000000000,80350000000,81000000000,0,25250000000,0,337500000000,0,0,0,9500000000,0,0,0,0,3000000000,12500000000
