,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,1100000000,60000000000,99500000000,0,89400000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,1100000000,60000000000,99500000000,0,89400000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,1100000000,60000000000,99500000000,0,89400000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,1100000000,60000000000,99500000000,0,89400000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,1100000000,60000000000,99500000000,0,89400000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,10000000000,60000000000,99500000000,0,80500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,10000000000,60000000000,99500000000,0,80500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,10000000000,60000000000,99500000000,0,80500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,10000000000,60000000000,99500000000,0,80500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,10000000000,60000000000,149500000000,0,30500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,10000000000,60000000000,149500000000,0,30500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,10000000000,60000000000,149500000000,0,30500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,10000000000,60000000000,149500000000,0,30500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,10000000000,60000000000,149500000000,0,30500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,10000000000,60000000000,149500000000,0,30500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,10000000000,60000000000,149500000000,0,30500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,50000000000,10000000000,60000000000,149500000000,0,30500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,BNII02BCN1,CORPORATE BOND,300000000000.0,1,70000000000,10000000000,60000000000,129500000000,0,30500000000,0,0,0,300000000000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,70500000000,10000000000,60000000000,124500000000,0,30000000000,0,0,0,295000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
19,2023-08-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,70500000000,10000000000,60000000000,124500000000,0,30000000000,0,0,0,295000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
20,2023-09-29,BNII02BCN1,CORPORATE BOND,300000000000.0,1,75500000000,10000000000,60000000000,69500000000,0,80000000000,0,0,0,295000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
21,2023-10-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,75500000000,10000000000,60000000000,69500000000,0,80000000000,0,0,0,295000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
22,2023-11-30,BNII02BCN1,CORPORATE BOND,300000000000.0,1,55500000000,10000000000,80000000000,69500000000,0,80000000000,0,0,0,295000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
23,2023-12-29,BNII02BCN1,CORPORATE BOND,300000000000.0,1,55500000000,10000000000,80000000000,69500000000,0,80000000000,0,0,0,295000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
24,2024-01-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,55500000000,10000000000,80000000000,69500000000,0,80000000000,0,0,0,295000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
25,2024-02-29,BNII02BCN1,CORPORATE BOND,300000000000.0,1,55500000000,10000000000,80000000000,69500000000,0,80000000000,0,0,0,295000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
26,2024-03-28,BNII02BCN1,CORPORATE BOND,300000000000.0,1,55500000000,10000000000,80000000000,69500000000,0,80000000000,0,0,0,295000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
27,2024-04-30,BNII02BCN1,CORPORATE BOND,300000000000.0,1,55500000000,10000000000,80000000000,69500000000,0,80000000000,0,0,0,295000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
28,2024-05-31,BNII02BCN1,CORPORATE BOND,300000000000.0,1,55500000000,10000000000,80000000000,69500000000,0,80000000000,0,0,0,295000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
29,2024-06-28,BNII02BCN1,CORPORATE BOND,300000000000.0,1,55500000000,10000000000,80000000000,69500000000,0,80000000000,0,0,0,295000000000,0,0,0,5000000000,0,0,0,0,0,5000000000
