,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
1,2022-02-25,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
2,2022-03-31,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
3,2022-04-28,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
4,2022-05-31,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
5,2022-06-30,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
6,2022-07-29,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
7,2022-08-31,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
8,2022-09-30,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
9,2022-10-31,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
10,2022-11-30,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
11,2022-12-30,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
12,2023-01-31,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,62000000000,0,4000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
13,2023-02-28,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,58000000000,0,8000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
14,2023-03-31,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,58000000000,0,8000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
15,2023-04-28,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,15000000000,0,58000000000,0,8000000000,232000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
16,2023-05-31,BNII02SBCN2,CORPORATE BOND,800000000000.0,1,20000000000,0,58000000000,0,8000000000,227000000000,0,12000000000,5000000000,330000000000,0,0,0,470000000000,0,0,0,0,0,470000000000
