,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BORN,EQUITY,17693000000.0,50,118457500,10777952048,25516500,0,2563274118,139410000,25583392,363500,150000,13650707058,0,25995669,7546400,869981315,27593800,0,35163995,0,2999654063,3965935242
1,2022-02-25,BORN,EQUITY,17693000000.0,50,118457500,10777952048,25516500,0,2563194118,139410000,25663392,363500,150000,13650707058,0,25995669,7546400,869981315,27593800,0,35163995,0,2999654063,3965935242
2,2022-03-31,BORN,EQUITY,17693000000.0,50,118457500,11382449548,25516500,0,2176483618,139410000,25663392,363500,150000,13868494058,0,25995669,7546400,869981315,27563800,0,35163995,0,2781897063,3748148242
3,2022-04-28,BORN,EQUITY,17693000000.0,50,118457500,11382449548,25516500,0,2176463618,139410000,25668392,363500,150000,13868479058,0,25995669,7546400,869981315,27563800,0,35163995,0,2781897063,3748148242
4,2022-05-31,BORN,EQUITY,17693000000.0,50,118457500,11382449548,25516500,0,2176463618,139410000,25668392,363500,150000,13868479058,0,25995669,7546400,869981315,27563800,0,35163995,0,2781897063,3748148242
5,2022-06-30,BORN,EQUITY,17693000000.0,50,118457500,11382449548,25516500,0,2176455118,139410000,25676892,363500,150000,13868479058,0,25995669,7546400,869981315,27563800,0,35163995,0,2781897063,3748148242
6,2022-07-29,BORN,EQUITY,17693000000.0,50,118457500,11382449548,25516500,0,2176416618,139410000,25676892,363500,150000,13868440558,0,23194169,7546400,869981315,27563800,0,37965495,0,2781897063,3748148242
7,2022-08-31,BORN,EQUITY,17693000000.0,50,118457500,11382449548,25516500,0,2176416618,139410000,25676892,363500,150000,13868440558,0,23194169,7546400,869981315,27563800,0,37965495,0,2781897063,3748148242
8,2022-09-30,BORN,EQUITY,17693000000.0,50,118457500,11382449548,25516500,0,2176406618,139010000,25676892,363500,150000,13868030558,0,23194169,7546400,869981315,27563800,0,37965495,0,2781897063,3748148242
9,2022-10-31,BORN,EQUITY,17693000000.0,50,118457500,11382449548,25516500,0,2176406618,139010000,25726892,363500,150000,13868080558,0,23194169,7546400,869981315,27513800,0,37965495,0,2781897063,3748098242
10,2022-11-30,BORN,EQUITY,17693000000.0,50,118457500,11382449548,25516500,0,2175281618,139010000,25751892,363500,1250000,13868080558,0,23194169,7546400,869981315,27513800,0,37965495,0,2781897063,3748098242
11,2022-12-30,BORN,EQUITY,17693000000.0,50,118457500,11382449548,22916500,0,2161125518,139010000,28351892,363500,1950000,13854624458,0,23194169,7546400,869981315,27513800,0,37965495,0,2781897063,3748098242
12,2023-01-31,BORN,EQUITY,17693000000.0,50,118457500,11382449548,22916500,0,2163000518,139010000,28476892,363500,1950000,13856624458,0,23194169,7546400,869981315,25513800,0,37965495,0,2781897063,3746098242
13,2023-02-28,BORN,EQUITY,17693000000.0,50,118457500,11382449548,22916500,0,2162009518,139010000,29230392,363500,1950000,13856386958,0,23194169,7546400,869981315,25513800,0,37965495,0,2781897063,3746098242
14,2023-03-31,BORN,EQUITY,17693000000.0,50,118457500,11382449548,22916500,0,2162009518,139010000,29230392,363500,1950000,13856386958,0,23194169,7546400,869981315,25513800,0,37965495,0,2781897063,3746098242
15,2023-04-28,BORN,EQUITY,17693000000.0,50,118457500,11382449548,22916500,0,2162029518,139010000,29230392,363500,1950000,13856406958,0,23194169,7546400,869981315,25493800,0,37965495,0,2781897063,3746078242
