,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BRMS,EQUITY,141784040338.0,139,2047630060,21516743454,3540000,0,38135848587,944982768,121328133,8196429,132960300,62911229731,0,24741100663,0,13605471481,2704202672,44004260,188905610,0,37589125821,78872810507
1,2022-02-25,BRMS,EQUITY,141784040338.0,184,2047006760,21558519754,2800000,0,38394832395,818914868,98928323,13686429,132960300,63067648829,0,24239635263,0,13975429381,2695808272,46854260,193099410,0,37565564823,78716391409
2,2022-03-31,BRMS,EQUITY,141784040338.0,198,2045314360,26846699754,2800000,0,31924493595,815495868,46573285,10231429,132960300,61824568591,0,24210800001,0,13526274381,2642034172,1940933460,173198210,0,37466231423,79959471647
3,2022-04-28,BRMS,EQUITY,141784040338.0,224,2045983760,26779775818,2826900,0,31802534095,896861868,203008121,14351429,18200300,61763542291,0,24289650001,0,13427431581,2635440672,2006723234,190021048,0,37471231411,80020497947
4,2022-05-31,BRMS,EQUITY,141784040338.0,228,2039952660,27129273440,2794700,0,31466162673,878686368,208308252,8021429,17200300,61750399822,0,24186760001,0,13649048981,2624738372,1922559803,179301848,0,37471231411,80033640416
5,2022-06-30,BRMS,EQUITY,141784040338.0,246,2782657360,22639234940,2792700,0,28832979673,606642368,34178658,14106429,10111100,54922703228,49735700,22661790601,64367700,20046531283,2615356672,5109536245,134746048,0,36179272761,86861337010
6,2022-07-29,BRMS,EQUITY,141784040338.0,234,2863730580,22200208848,2999700,0,29641947263,596878268,157632724,4968029,10111100,55478476512,49735700,22668704541,64367700,19334052283,2592635472,5321825499,156639808,1540200,36116062523,86305563726
7,2022-08-31,BRMS,EQUITY,141784040338.0,248,2874584380,21419691148,13227900,0,30230084216,640804468,390626724,8487629,304228747,55881735212,52299300,22687218841,71287400,19058008141,2470930172,5230843741,194864908,1540200,36135312323,85902305026
8,2022-09-30,BRMS,EQUITY,141784040338.0,140,2886296780,20557723448,15397600,0,31123068216,642357468,1200412849,702429,304228747,56730187537,52299300,22282966241,79415200,19226273945,2023164047,5063160957,179655908,1540200,36145376903,85053852701
9,2022-10-31,BRMS,EQUITY,141784040338.0,181,2884344680,20608606248,19012600,0,31638706246,862002674,1193428310,698329,304228747,57511027834,52299300,22251018741,58430700,19108714845,1427107347,5055022446,169462008,1540200,36149416817,84273012404
10,2022-11-30,BRMS,EQUITY,141784040338.0,183,2885749680,21914860383,19546100,0,31338269429,960222874,1193428445,10432329,363139247,58685648487,52299300,22250464641,58430700,19064415045,104164312,5199620028,171704970,1540200,36195752555,83098391751
11,2022-12-30,BRMS,EQUITY,141784040338.0,159,2009649680,21524153190,27997400,0,31071278013,954376718,2879428661,9655629,976798096,59453337387,48074900,21441011641,78600300,19059362747,101328912,5227293454,176827070,1540200,36196663627,82330702851
12,2023-01-31,BRMS,EQUITY,141784040338.0,184,2002604680,21570340990,17224900,0,31484867476,1036773195,2880426821,5272829,304228796,59301739687,48074900,21566103941,78481500,19059209247,96860812,5270770654,191159570,1540200,36170099727,82482300551
13,2023-02-28,BRMS,EQUITY,141784040338.0,163,2229745480,21418634990,23465300,0,31370317116,889978289,3077969547,149729,304320096,59314580547,48074900,21483473441,78481500,18989143647,100273912,5206275074,226362970,1540200,36335834047,82469459691
14,2023-03-31,BRMS,EQUITY,141784040338.0,170,1907893816,22135299790,23465300,0,31172735486,876898858,2766931825,130629,304320096,59187675800,48074900,21397064941,72624700,19088716047,88710212,5338055394,236309448,1540200,36325268596,82596364438
15,2023-04-28,BRMS,EQUITY,141784040338.0,162,1905763016,21242538590,25965300,0,31099403231,841631656,3604346615,130630,296620096,59016399134,39336600,21399235941,72624700,19045020147,88676712,5512567060,282450348,1540200,36326189396,82767641104
16,2023-05-31,BRMS,EQUITY,141784040338.0,116,1829089016,20846211490,25724900,0,31476214918,531792792,3994441792,130630,296620096,59000225634,39336600,21288909941,72624700,19151801147,107410212,5514604760,282856048,1540200,36324730996,82783814604
17,2023-06-27,BRMS,EQUITY,141784040338.0,136,1782165716,20197493990,25724900,0,31487692538,548036074,4677882610,130630,296620196,59015746654,39336600,21480822523,74118300,19293597447,109683312,5140349060,301178691,1540200,36327667451,82768293584
18,2023-07-31,BRMS,EQUITY,141784040338.0,171,1828252916,19852863190,28224900,0,30491021931,750237956,4951982977,100630,296120196,58198804696,39336600,21530954507,97514600,19881386047,100636812,5223240560,384428265,1540200,36326197951,83585235542
19,2023-08-31,BRMS,EQUITY,141784040338.0,195,1837452216,19541063390,20224900,0,28560783671,651557227,4962966111,50630,294270196,55868368341,39336600,21768540401,187194106,21291058927,84970512,5448478071,735130929,1540200,36359422151,85915671897
20,2023-09-29,BRMS,EQUITY,141784040338.0,212,1985587316,18317683190,69116200,0,26437623395,913842629,6050371921,50630,294120196,54068395477,45442300,21668145221,1088772706,19042229327,68657312,7200627971,2032378373,1540200,36567851351,87715644761
21,2023-10-31,BRMS,EQUITY,141784040338.0,194,1954355016,18746893590,85186000,0,26232672935,1086819254,6042778641,553330,294120196,54443378962,53466100,21156035181,1088772706,18910501127,67758412,7428306526,2064525573,1540200,36569755451,87340661276
22,2023-11-30,BRMS,EQUITY,141784040338.0,202,1961504116,19170373790,85186000,0,25897429335,961490845,9040579241,553330,294120196,57411236853,53466100,21156040281,1090151806,15467520177,66546312,7899927871,2057968723,1540200,36579641915,84372803385
23,2023-12-29,BRMS,EQUITY,141784040338.0,170,1941658016,20144194090,85546000,0,25686756335,963339999,9616630814,2246330,294120196,58734491780,45442300,21251477381,1001346606,14912422377,66929812,7340046361,1885533873,1540200,36544809548,83049548458
24,2024-01-31,BRMS,EQUITY,141784040338.0,155,1793107936,17639987890,88546000,0,26024208195,953157602,10078095331,2286330,294320196,56873709480,45442300,21298294781,973357406,16736189777,67760812,7524985661,1707503573,1540200,36555256248,84910330758
25,2024-02-29,BRMS,EQUITY,141784040338.0,144,1774056836,17683736690,88546000,0,26308591175,725891694,10153611782,120630,294320196,57028875003,45442300,21206216681,970840006,16716404935,69623912,7533392979,1668261373,1540200,36543442849,84755165235
26,2024-03-28,BRMS,EQUITY,141784040338.0,150,1794239536,17592403690,88546000,0,26417458975,822062556,10208952917,120630,294460196,57218244500,45442300,21185101581,953081406,14369101326,69635912,7565794952,3848465550,1540200,36527632511,84565795738
27,2024-04-30,BRMS,EQUITY,141784040338.0,153,1784420036,17559686192,88546000,0,26608222435,979603039,10345098110,100630,294460196,57660136638,45442300,21000589457,914981306,14297014526,67727512,7544638578,3721753650,1540200,36530216071,84123903600
28,2024-05-31,BRMS,EQUITY,141784040338.0,155,1788830736,17475675492,88546000,0,26576414045,954305403,10401361336,100630,294280196,57579513838,45442300,20979103757,935081506,14313121626,81805212,7607292578,3700298250,1540200,36540840971,84204526400
