,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-11-30,BSBK,EQUITY,25091713397.0,338,0,2341753397,0,0,2437883500,0,0,0,0,4779636897,0,297177100,0,14152900,746500,0,0,0,0,312076500
1,2022-12-30,BSBK,EQUITY,25091713397.0,149,0,2342113397,0,0,2689975700,0,0,0,0,5032089097,0,17177100,0,41332300,1114900,0,0,0,0,59624300
2,2023-01-31,BSBK,EQUITY,25091713397.0,93,0,2342117397,0,0,2664421100,0,14702700,0,0,5021241197,0,36177100,0,28371800,5923300,0,0,0,0,70472200
3,2023-02-28,BSBK,EQUITY,25091713397.0,54,0,2342282397,0,0,2476516100,0,14702700,0,0,4833501197,0,0,0,247870400,10341800,0,0,0,0,258212200
4,2023-03-31,BSBK,EQUITY,25091713397.0,50,0,2341915397,0,0,2546938500,0,14702700,4000,0,4903560597,0,0,0,181029600,7123200,0,0,0,0,188152800
5,2023-04-28,BSBK,EQUITY,25091713397.0,50,0,2341915397,0,0,2546908600,0,14702700,6000,0,4903532697,0,0,0,181030800,7149900,0,0,0,0,188180700
6,2023-05-31,BSBK,EQUITY,25091731739.0,50,0,2341915397,0,0,2561614242,0,0,8000,0,4903537639,0,0,0,181039200,7154900,0,0,0,0,188194100
7,2023-06-27,BSBK,EQUITY,25091737109.0,50,0,2343015397,0,0,2559529562,0,0,9050,0,4902554009,0,0,0,182028200,7154900,0,0,0,0,189183100
8,2023-07-31,BSBK,EQUITY,25091780877.0,50,0,2343015397,0,0,2560038430,0,0,9050,0,4903062877,0,0,0,182028200,6689800,0,0,0,0,188718000
9,2023-08-31,BSBK,EQUITY,25091796182.0,50,0,2341915397,0,0,2561565014,0,121,9050,0,4903489582,0,0,0,182028200,6278400,0,0,0,0,188306600
10,2023-09-29,BSBK,EQUITY,25091801630.0,50,0,2342016697,0,0,2561319162,0,121,9050,0,4903345030,0,150000,0,182028200,6278400,0,0,0,0,188456600
11,2023-10-31,BSBK,EQUITY,25091807881.0,50,0,2341915397,0,0,2561426113,0,421,9050,0,4903350981,0,150000,0,182028500,6278400,0,0,0,0,188456900
12,2023-11-30,BSBK,EQUITY,25091882375.0,50,0,2393299097,0,0,2510106863,0,465,19050,0,4903425475,0,150000,0,182028500,6278400,0,0,0,0,188456900
13,2023-12-29,BSBK,EQUITY,25091882375.0,51,0,2395299097,0,0,2509363904,0,324,50,0,4904663375,0,310500,0,186350000,558500,0,0,0,0,187219000
14,2024-01-31,BSBK,EQUITY,25091882375.0,57,0,2365999097,0,0,2536843604,0,324,50,0,4902843075,0,310500,0,188196700,532100,0,0,0,0,189039300
15,2024-02-29,BSBK,EQUITY,25091882375.0,57,0,2365999097,0,0,2534718804,0,324,50,0,4900718275,0,310500,0,190021500,832100,0,0,0,0,191164100
16,2024-03-28,BSBK,EQUITY,25091882375.0,50,0,2365999097,0,0,2555405104,0,324,50,0,4921404575,0,310500,0,169335200,832100,0,0,0,0,170477800
17,2024-04-30,BSBK,EQUITY,25091882375.0,57,0,2365999097,0,0,2564088403,0,325,50,0,4930087875,0,310500,0,160651900,832100,0,0,0,0,161794500
18,2024-05-31,BSBK,EQUITY,25091882375.0,55,0,2365999097,0,0,2566919903,0,325,50,0,4932919375,0,0,0,158131500,831500,0,0,0,0,158963000
19,2024-06-28,BSBK,EQUITY,25091882375.0,53,0,2365801097,0,0,2584928603,0,325,50,0,4950730075,0,0,0,140619600,532700,0,0,0,0,141152300
20,2024-07-31,BSBK,EQUITY,25091882375.0,66,0,2365859197,0,0,2689868203,0,325,1401050,0,5057128775,0,0,0,28850000,5903600,0,0,0,0,34753600
21,2024-08-30,BSBK,EQUITY,25091882375.0,62,0,2375838097,0,0,2658444203,0,325,1401050,0,5035683675,0,0,0,45316200,10882500,0,0,0,0,56198700
22,2024-09-30,BSBK,EQUITY,25091882375.0,61,0,2386587097,0,0,2583782266,0,362,1428650,0,4971798375,0,0,0,104832100,537900,0,14714000,0,0,120084000
23,2024-10-31,BSBK,EQUITY,25091882375.0,57,0,2388209997,0,0,2406482185,0,343,1428650,0,4796121175,0,0,0,288125900,7635300,0,0,0,0,295761200
24,2024-11-29,BSBK,EQUITY,25091882375.0,50,0,2377844997,0,0,2479454685,0,343,50,0,4857300075,0,0,0,217533500,17048800,0,0,0,0,234582300
25,2024-12-30,BSBK,EQUITY,25091882375.0,50,0,2373151197,0,0,2452513385,0,343,150,0,4825665075,0,0,0,244637400,17748800,0,3831100,0,0,266217300
