,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
1,2022-02-25,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
2,2022-03-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
3,2022-04-28,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
4,2022-05-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
5,2022-06-30,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
6,2022-07-29,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
7,2022-08-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
8,2022-09-30,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
9,2022-10-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
10,2022-11-30,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
11,2022-12-30,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
12,2023-01-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
13,2023-02-28,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
14,2023-03-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
15,2023-04-28,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
16,2023-05-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
17,2023-06-27,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
18,2023-07-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
19,2023-08-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,42000000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
20,2023-09-29,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2000000000,39530000000,2470000000,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
21,2023-10-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,74000000000,0,326000000000,0,2320000000,39530000000,2150000000,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
22,2023-11-30,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,59000000000,0,341000000000,0,2320000000,39530000000,2150000000,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
23,2023-12-29,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,24000000000,0,341000000000,0,2320000000,74530000000,2150000000,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
24,2024-01-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,24000000000,0,341000000000,0,2320000000,74530000000,2150000000,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
25,2024-02-29,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,24000000000,0,341000000000,0,2330000000,74530000000,2140000000,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
26,2024-03-28,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,24000000000,0,341000000000,0,2385000000,76530000000,85000000,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
27,2024-04-30,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,24000000000,0,341000000000,0,2390000000,76530000000,80000000,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
28,2024-05-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,26000000000,0,339000000000,0,2445000000,76530000000,25000000,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
29,2024-06-28,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,26000000000,0,339000000000,0,2445000000,76530000000,25000000,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
30,2024-07-31,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,26000000000,0,339000000000,0,2470000000,76530000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
31,2024-08-30,BSMT01SBCN1,CORPORATE BOND,444000000000.0,1,26000000000,0,339000000000,0,2470000000,76530000000,0,0,0,444000000000,0,0,0,0,0,0,0,0,0,0
