,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BUDI,EQUITY,4498997362.0,164,0,2613940131,0,254500,437442546,0,901701,1500,500,3052540878,0,411209566,0,221811279,1143100,0,609322864,5517900,197135900,1446140609
1,2022-02-25,BUDI,EQUITY,4498997362.0,168,0,2614518231,0,254500,430248146,0,901701,1500,0,3045924078,0,411209566,0,221811279,1139600,0,615943164,5517900,197135900,1452757409
2,2022-03-31,BUDI,EQUITY,4498997362.0,212,0,2620497031,0,254500,411058146,0,951701,1500,0,3032762878,0,411209566,0,228986779,1032000,0,622036464,5517900,197135900,1465918609
3,2022-04-28,BUDI,EQUITY,4498997362.0,218,0,2666850131,0,254500,372504546,0,395101,1500,0,3040005778,0,433251366,0,220065879,1130800,0,588045464,7697200,208485000,1458675709
4,2022-05-31,BUDI,EQUITY,4498997362.0,238,0,2698480631,0,254500,324326346,0,741001,1500,0,3023803978,0,433667266,0,241862279,1018300,0,582147464,7697200,208485000,1474877509
5,2022-06-30,BUDI,EQUITY,4498997362.0,236,0,2701400431,0,254500,328220946,0,717401,1500,0,3030594778,0,433209566,0,219720379,1025300,0,597949264,7697200,208485000,1468086709
6,2022-07-29,BUDI,EQUITY,4498997362.0,220,0,2700240431,0,254500,310505346,0,717401,1500,0,3011719178,0,433362366,0,225873479,945300,0,610598964,7697200,208485000,1486962309
7,2022-08-31,BUDI,EQUITY,4498997362.0,230,0,2699990431,0,254500,297384846,0,3200101,1500,0,3000831378,0,432971266,0,220308979,855300,0,627532364,7697200,208485000,1497850109
8,2022-09-30,BUDI,EQUITY,4498997362.0,200,0,2699990431,0,254500,281794646,0,700101,1500,0,2982741178,0,433009866,0,219973479,850200,0,645924564,7697200,208485000,1515940309
9,2022-10-31,BUDI,EQUITY,4498997362.0,212,0,2699540431,0,254500,268867546,0,1390201,1500,0,2970054178,0,440009866,0,219990779,845300,0,651599164,7697200,208485000,1528627309
10,2022-11-30,BUDI,EQUITY,4498997362.0,212,0,2699540431,0,254500,265020246,0,1390201,1500,0,2966206878,0,440009866,0,219990779,847300,0,655444464,7697200,208485000,1532474609
11,2022-12-30,BUDI,EQUITY,4498997362.0,226,0,2699490431,0,254500,263387746,0,1390201,1500,0,2964524378,0,439975766,0,220065679,849000,0,642084464,7697200,223485000,1534157109
12,2023-01-31,BUDI,EQUITY,4498997362.0,216,0,2699290431,0,254500,256657746,0,690201,1500,0,2956894378,0,439975766,0,220065679,849000,0,649714464,7697200,223485000,1541787109
13,2023-02-28,BUDI,EQUITY,4498997362.0,210,0,2699390431,0,254500,256557646,0,690201,1500,0,2956894278,0,439975766,0,220065779,849000,0,649714464,7697200,223485000,1541787209
14,2023-03-31,BUDI,EQUITY,4498997362.0,206,0,2699419431,0,254500,256528646,0,690201,1500,0,2956894278,0,439975766,0,220065779,849000,0,649714464,7697200,223485000,1541787209
15,2023-04-28,BUDI,EQUITY,4498997362.0,208,0,2699422431,0,254500,256812146,0,300101,1500,0,2956790678,0,439975766,0,220169379,849000,0,649714464,7697200,223485000,1541890809
