,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BUKK,EQUITY,2640452000.0,1220,374500,1164500200,12500,0,1318920226,0,2050,0,116876974,2600686450,0,160700,0,5947300,90400,150000,486400,0,0,6834800
1,2022-02-25,BUKK,EQUITY,2640452000.0,1125,374500,1164500200,12500,0,1318916326,0,2050,0,116876974,2600682550,0,159000,0,5947200,115100,150000,467400,0,0,6838700
2,2022-03-31,BUKK,EQUITY,2640452000.0,1125,374500,1164500200,12500,0,1318906026,0,2050,0,116876974,2600672250,0,159000,0,5947100,125500,150000,467400,0,0,6849000
3,2022-04-28,BUKK,EQUITY,2640452000.0,1100,374500,1164500200,12500,0,1318903226,0,2050,0,116876974,2600669450,0,151300,0,5947000,136100,150000,467400,0,0,6851800
4,2022-05-31,BUKK,EQUITY,2640452000.0,1065,374500,1164500200,12500,0,1318872926,0,2050,0,116876974,2600639150,0,151300,0,5947400,167300,150000,466100,0,0,6882100
5,2022-06-30,BUKK,EQUITY,2640452000.0,990,374500,1164500200,12500,0,1318873426,0,2050,0,116876974,2600639650,0,151300,0,5947000,167200,150000,466100,0,0,6881600
6,2022-07-29,BUKK,EQUITY,2640452000.0,980,374500,1164500200,12500,0,1318891826,0,2050,0,116876974,2600658050,0,87300,0,5947300,177000,150000,501600,0,0,6863200
7,2022-08-31,BUKK,EQUITY,2640452000.0,1010,374500,1164500200,12500,0,1318883626,0,2050,0,116876974,2600649850,0,87300,0,5947000,205500,150000,481600,0,0,6871400
8,2022-09-30,BUKK,EQUITY,2640452000.0,1140,374500,1164500200,12500,0,1318992026,0,2050,0,116876974,2600758250,0,87300,0,5947200,169600,150000,408900,0,0,6763000
9,2022-10-31,BUKK,EQUITY,2640452000.0,1110,374500,1164500200,12500,0,1319009126,0,2050,0,116876974,2600775350,0,87400,0,5947600,157000,0,553900,0,0,6745900
10,2022-11-30,BUKK,EQUITY,2640452000.0,1090,374500,1164500200,12500,0,1319011126,0,2050,0,116876974,2600777350,0,87300,0,5947100,155600,0,553900,0,0,6743900
11,2022-12-30,BUKK,EQUITY,2640452000.0,1200,374500,1164500200,12500,0,1319067726,0,2050,0,116876974,2600833950,0,62300,0,5953600,139800,0,531600,0,0,6687300
12,2023-01-31,BUKK,EQUITY,2640452000.0,1140,402200,1164500200,12500,0,1319051526,0,2050,0,116876974,2600845450,0,62300,0,5953700,128200,0,531600,0,0,6675800
13,2023-02-28,BUKK,EQUITY,2640452000.0,1100,402200,1164500200,12500,0,1319064526,0,2050,0,116876974,2600858450,0,62300,0,5954000,114900,0,531600,0,0,6662800
14,2023-03-31,BUKK,EQUITY,2640452000.0,965,402200,1164500200,12500,0,1319315226,0,2050,0,116876974,2601109150,0,0,0,5759600,130900,0,521600,0,0,6412100
15,2023-04-28,BUKK,EQUITY,2640452000.0,1070,402200,1164500200,12500,0,1319324126,0,2050,0,116876974,2601118050,0,0,0,5760500,121100,0,521600,0,0,6403200
16,2023-05-31,BUKK,EQUITY,2640452000.0,1040,402200,1164500200,12500,0,1319328626,0,2050,0,116876974,2601122550,0,0,0,5759600,117500,0,521600,0,0,6398700
17,2023-06-27,BUKK,EQUITY,2640452000.0,995,402200,1164500200,12500,0,1319261226,0,2050,0,116876974,2601055150,0,0,0,5766400,178100,0,521600,0,0,6466100
18,2023-07-31,BUKK,EQUITY,2640452000.0,1060,402200,1164500200,12500,0,1319274026,0,2050,0,116876974,2601067950,0,0,0,5762800,168900,0,521600,0,0,6453300
19,2023-08-31,BUKK,EQUITY,2640452000.0,1315,402200,1164500200,12500,0,1319293126,0,12050,0,116876974,2601097050,0,0,0,5769200,133400,0,521600,0,0,6424200
20,2023-09-29,BUKK,EQUITY,2640452000.0,1195,402200,1164500400,12500,0,1319302926,0,12050,0,116876974,2601107050,0,0,0,5779900,129700,0,504600,0,0,6414200
21,2023-10-31,BUKK,EQUITY,2640452000.0,1150,402200,1164518700,12500,0,1319253626,0,12050,0,116876974,2601076050,0,0,0,5796400,144200,0,504600,0,0,6445200
22,2023-11-30,BUKK,EQUITY,2640452000.0,1080,402200,1164519400,12500,0,1319279326,0,12050,0,116876974,2601102450,0,0,0,5775400,138800,0,504600,0,0,6418800
23,2023-12-29,BUKK,EQUITY,2640452000.0,1100,402200,348675815,12500,0,2135111511,0,12050,0,116876974,2601091050,0,0,0,5780000,145600,0,504600,0,0,6430200
