,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,BUMI01CB,CORPORATE BOND,7523861536612.0,1,0,0,0,0,1035664972,1934559200,3186332,0,0,2973410504,0,7520062289779,0,803034099,0,0,22802230,0,0,7520888126108
1,2022-02-25,BUMI01CB,CORPORATE BOND,5005504029300.0,1,0,0,0,0,933475092,1934559200,3186332,0,0,2871220624,0,5001806972347,0,803034099,0,0,22802230,0,0,5002632808676
2,2022-03-31,BUMI01CB,CORPORATE BOND,4456598445220.0,1,0,0,0,0,933475092,1934559200,3186332,0,0,2871220624,0,4452901388267,0,803034099,0,0,22802230,0,0,4453727224596
3,2022-04-28,BUMI01CB,CORPORATE BOND,3638714276740.0,1,0,0,0,0,933475092,1934559200,3186332,0,0,2871220624,0,3635017219787,0,803034099,0,0,22802230,0,0,3635843056116
4,2022-05-31,BUMI01CB,CORPORATE BOND,3398569706652.0,1,0,0,0,0,859893404,1934559200,3186332,0,0,2797638936,0,3394946231387,0,803034099,0,0,22802230,0,0,3395772067716
5,2022-06-30,BUMI01CB,CORPORATE BOND,3398569706652.0,1,0,0,0,0,859893404,1934559200,3186332,0,0,2797638936,0,3394946231387,0,803034099,0,0,22802230,0,0,3395772067716
6,2022-07-29,BUMI01CB,CORPORATE BOND,2912619735292.0,1,0,0,0,0,859893404,1934559200,3186332,0,0,2797638936,0,2908996260027,0,803034099,0,0,22802230,0,0,2909822096356
7,2022-08-31,BUMI01CB,CORPORATE BOND,2504468574812.0,1,0,0,0,0,859893404,1934559200,3186332,0,0,2797638936,0,2500845099547,0,803034099,0,0,22802230,0,0,2501670935876
8,2022-09-30,BUMI01CB,CORPORATE BOND,2200028178332.0,1,0,0,0,0,844243404,1934559200,3186332,0,0,2781988936,0,2196420353067,0,803034099,0,0,22802230,0,0,2197246189396
9,2022-10-31,BUMI01CB,CORPORATE BOND,2200028178332.0,1,0,0,0,0,844243404,1934559200,3186332,0,0,2781988936,0,2196420353067,0,803034099,0,0,22802230,0,0,2197246189396
10,2022-11-30,BUMI01CB,CORPORATE BOND,2200028178332.0,1,0,0,0,0,844243404,1934559200,3186332,0,0,2781988936,0,2196420353067,0,803034099,0,0,22802230,0,0,2197246189396
11,2022-12-30,BUMI01CB,CORPORATE BOND,1673409710.0,1,0,0,0,0,700802928,0,3186332,0,0,703989260,0,143584121,0,803034099,0,0,22802230,0,0,969420450
12,2023-01-31,BUMI01CB,CORPORATE BOND,1673409710.0,1,0,0,0,0,700802928,0,3186332,0,0,703989260,0,143584121,0,803034099,0,0,22802230,0,0,969420450
13,2023-02-28,BUMI01CB,CORPORATE BOND,1673409710.0,1,0,0,0,0,700802928,0,3186332,0,0,703989260,0,143584121,0,803034099,0,0,22802230,0,0,969420450
14,2023-03-31,BUMI01CB,CORPORATE BOND,1669609710.0,1,0,0,0,0,697002928,0,3186332,0,0,700189260,0,143584121,0,803034099,0,0,22802230,0,0,969420450
15,2023-04-28,BUMI01CB,CORPORATE BOND,1669609710.0,1,0,0,0,0,697002928,0,3186332,0,0,700189260,0,143584121,0,803034099,0,0,22802230,0,0,969420450
