,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,CARS,EQUITY,15000000000.0,50,777556800,2873495175,64332000,0,4906321530,883455000,2705586395,4200000,486163500,12701110400,0,104300,0,1443968920,191700,0,7500180,0,847124500,2298889600
1,2022-02-25,CARS,EQUITY,15000000000.0,50,777556800,2873495175,64332000,0,4906321530,883455000,2705586395,4200000,486163500,12701110400,0,104300,0,1443968920,191700,0,7500180,0,847124500,2298889600
2,2022-03-31,CARS,EQUITY,15000000000.0,50,777556800,2873495175,64332000,0,4906421530,883455000,2705586395,4200000,486163500,12701210400,0,104300,0,1443968920,91700,0,7500180,0,847124500,2298789600
3,2022-04-28,CARS,EQUITY,15000000000.0,50,777556800,912238175,64332000,0,6877678530,863455000,2705586395,4200000,496163500,12701210400,0,104300,0,1443968920,91700,0,7500180,0,847124500,2298789600
4,2022-05-31,CARS,EQUITY,15000000000.0,50,777556800,1077238175,64332000,0,6712678530,863455000,2705586395,4200000,496163500,12701210400,0,104300,0,1443968920,91700,0,7500180,0,847124500,2298789600
5,2022-06-30,CARS,EQUITY,15000000000.0,50,777556800,1077238175,64332000,0,6712678530,863455000,2705586395,4200000,496163500,12701210400,0,104300,0,1443968920,91700,0,7500180,0,847124500,2298789600
6,2022-07-29,CARS,EQUITY,15000000000.0,50,777556800,1077238175,64332000,0,6712678530,863455000,2705586395,4200000,496163500,12701210400,0,1000,0,1443968920,91700,0,7603480,0,847124500,2298789600
7,2022-08-31,CARS,EQUITY,15000000000.0,69,337240600,1375742431,60831000,0,7946231774,611668200,1828823895,5809500,486163500,12652510900,0,1000,0,1489968420,1791700,0,8603480,0,847124500,2347489100
8,2022-09-30,CARS,EQUITY,15000000000.0,90,73557000,1139440731,67931000,0,8808366574,181566700,1834024895,7480000,320714300,12433081200,0,35001000,0,1584078120,3511700,0,97203480,0,847124500,2566918800
9,2022-10-31,CARS,EQUITY,15000000000.0,91,38845000,1189474731,55931000,0,8838995974,137670000,1831699895,25500000,320714300,12438830900,0,35001000,0,1569743520,3196600,0,106103480,0,847124500,2561169100
10,2022-11-30,CARS,EQUITY,15000000000.0,90,101882700,1385632731,55282300,0,8576397974,138270000,1899100895,17200000,307839100,12481605700,0,39375600,0,1560242720,15548000,0,56103480,0,847124500,2518394300
11,2022-12-30,CARS,EQUITY,15000000000.0,84,120405400,1528845231,55282300,0,8430525274,109600200,1998600895,4200000,307839100,12555298400,0,1000,0,1515671620,13801000,0,68103480,0,847124500,2444701600
