,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,CBMF,EQUITY,1875000000.0,77,0,404700,0,0,374075400,0,0,0,250000,374730100,0,7700,0,0,262200,0,0,0,0,269900
1,2022-02-25,CBMF,EQUITY,1875000000.0,64,0,457800,0,0,374420300,0,0,0,0,374878100,0,9700,0,0,112200,0,0,0,0,121900
2,2022-03-31,CBMF,EQUITY,1875000000.0,65,0,1270020100,0,0,372966300,0,0,0,0,1642986400,0,8000,0,0,2005600,0,0,0,0,2013600
3,2022-04-28,CBMF,EQUITY,1875000000.0,58,0,1425120100,0,0,449244200,0,0,0,0,1874364300,0,7700,0,0,628000,0,0,0,0,635700
4,2022-05-31,CBMF,EQUITY,1875000000.0,54,0,1425140100,0,0,448477100,0,500000,0,0,1874117200,0,7700,0,222000,653100,0,0,0,0,882800
5,2022-06-30,CBMF,EQUITY,1875000000.0,50,0,1425140100,0,0,448199100,0,1000000,0,0,1874339200,0,7700,0,0,653100,0,0,0,0,660800
6,2022-07-29,CBMF,EQUITY,1875000000.0,51,0,1425170100,0,0,448355200,0,1000000,0,0,1874525300,0,0,0,0,467000,0,7700,0,0,474700
7,2022-08-31,CBMF,EQUITY,1875000000.0,52,0,1425170100,0,0,448209500,0,1000000,0,0,1874379600,0,0,0,0,612700,0,7700,0,0,620400
8,2022-09-30,CBMF,EQUITY,1875000000.0,50,0,1425170100,0,0,448191500,0,1000000,0,0,1874361600,0,0,0,0,630700,0,7700,0,0,638400
9,2022-10-31,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
10,2022-11-30,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
11,2022-12-30,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
12,2023-01-31,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
13,2023-02-28,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
14,2023-03-31,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
15,2023-04-28,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
16,2023-05-31,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
17,2023-06-27,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
18,2023-07-31,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
19,2023-08-31,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
20,2023-09-29,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
21,2023-10-31,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
22,2023-11-30,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
23,2023-12-29,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445803700,0,1000000,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
24,2024-01-31,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445802300,0,1001400,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
25,2024-02-29,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445802300,0,1001400,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
26,2024-03-28,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445802300,0,1001400,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
27,2024-04-30,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445802300,0,1001400,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
28,2024-05-31,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445802300,0,1001400,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
29,2024-06-28,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445802300,0,1001400,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
30,2024-07-31,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445802300,0,1001400,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
31,2024-08-30,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445802300,0,1001400,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
32,2024-09-30,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445802300,0,1001400,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
33,2024-10-31,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445802300,0,1001400,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
34,2024-11-29,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445802300,0,1001400,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
35,2024-12-30,CBMF,EQUITY,1875000000.0,50,0,1425690100,0,0,445802300,0,1001400,0,0,1872493800,0,0,0,0,2498500,0,7700,0,0,2506200
