,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2023-01-31,CBPE,EQUITY,1356250000.0,148,0,67476700,0,0,203397200,0,0,0,0,270873900,0,0,0,128100,248000,0,0,0,0,376100
1,2023-02-28,CBPE,EQUITY,1356250000.0,150,0,70477700,0,0,200490500,0,0,0,0,270968200,0,0,0,40100,241700,0,0,0,0,281800
2,2023-03-31,CBPE,EQUITY,1356250000.0,150,0,70507100,0,0,200504000,0,0,0,0,271011100,0,0,0,30100,208800,0,0,0,0,238900
3,2023-04-28,CBPE,EQUITY,1356250000.0,146,0,70507100,0,0,200483900,0,0,0,0,270991000,0,0,0,30100,228900,0,0,0,0,259000
4,2023-05-31,CBPE,EQUITY,1356250000.0,145,0,71436100,0,0,199554900,0,0,0,0,270991000,0,0,0,30100,228900,0,0,0,0,259000
5,2023-06-27,CBPE,EQUITY,1356250000.0,133,0,83420100,0,0,187573900,0,0,0,0,270994000,0,0,0,30100,225900,0,0,0,0,256000
6,2023-07-31,CBPE,EQUITY,1356250000.0,134,0,88304700,0,0,182402700,0,0,0,0,270707400,0,0,0,316800,225800,0,0,0,0,542600
7,2023-08-31,CBPE,EQUITY,1356250000.0,128,0,90315600,0,0,180035300,0,0,0,0,270350900,0,0,0,702100,197000,0,0,0,0,899100
8,2023-09-29,CBPE,EQUITY,1356250000.0,128,0,90798200,0,0,179612600,0,0,0,0,270410800,0,0,0,644400,194800,0,0,0,0,839200
9,2023-10-31,CBPE,EQUITY,1356250000.0,134,0,92179200,0,0,178326200,0,0,0,0,270505400,0,0,0,549800,194800,0,0,0,0,744600
10,2023-11-30,CBPE,EQUITY,1356250000.0,129,0,93725900,0,0,177141500,0,0,0,0,270867400,0,0,0,187800,194800,0,0,0,0,382600
11,2023-12-29,CBPE,EQUITY,1356250000.0,136,0,95069700,0,0,175863600,0,0,0,0,270933300,0,0,0,142000,174700,0,0,0,0,316700
12,2024-01-31,CBPE,EQUITY,1356250000.0,125,0,96134200,0,0,174852500,0,0,0,0,270986700,0,0,0,88600,174700,0,0,0,0,263300
13,2024-02-29,CBPE,EQUITY,1356250000.0,129,0,97838800,0,0,173141500,0,0,0,0,270980300,0,0,0,95000,174700,0,0,0,0,269700
14,2024-03-28,CBPE,EQUITY,1356250000.0,137,0,97838800,0,0,173143000,0,0,0,0,270981800,0,0,0,93500,174700,0,0,0,0,268200
15,2024-04-30,CBPE,EQUITY,1356250000.0,134,0,97838800,0,0,173125900,0,0,0,0,270964700,0,0,0,110600,174700,0,0,0,0,285300
16,2024-05-31,CBPE,EQUITY,1356250000.0,123,0,97838800,0,0,173165800,0,0,0,0,271004600,0,0,0,70700,174700,0,0,0,0,245400
17,2024-06-28,CBPE,EQUITY,1356250000.0,128,0,98848500,0,0,172196700,0,0,0,0,271045200,0,0,0,30100,174700,0,0,0,0,204800
18,2024-07-31,CBPE,EQUITY,1356250000.0,153,0,99229600,0,0,171815600,0,0,0,0,271045200,0,0,0,30100,174700,0,0,0,0,204800
19,2024-08-30,CBPE,EQUITY,1356250000.0,175,0,99229400,0,0,171709500,0,0,0,0,270938900,0,0,0,136400,174700,0,0,0,0,311100
20,2024-09-30,CBPE,EQUITY,1356250000.0,194,0,100580000,0,0,170218400,0,0,0,0,270798400,0,0,0,175400,175200,0,101000,0,0,451600
21,2024-10-31,CBPE,EQUITY,1356250000.0,198,0,103846900,0,0,166231500,0,0,0,0,270078400,0,0,0,491400,579200,0,101000,0,0,1171600
22,2024-11-29,CBPE,EQUITY,1356250000.0,190,0,104678800,0,0,165354100,0,0,0,0,270032900,0,0,0,536900,579200,0,101000,0,0,1217100
23,2024-12-30,CBPE,EQUITY,1356250000.0,191,0,104620200,0,0,165962900,0,0,0,0,270583100,0,0,0,30100,535800,0,101000,0,0,666900
