,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,CMPP,EQUITY,10685124441.0,454,0,5576009000,0,0,110682341,53847800,124800,100000,152200,5740916141,0,4942113400,0,194000,152000,0,438900,0,0,4942898300
1,2022-02-25,CMPP,EQUITY,10685124441.0,535,0,5575886700,0,0,159348541,5190000,82800,100000,0,5740608041,0,4942063900,0,558600,152000,0,431900,0,0,4943206400
2,2022-03-31,CMPP,EQUITY,10685124441.0,765,0,5577161700,0,0,156273241,0,82800,100000,0,5733617741,0,4942063800,0,6923600,161100,793200,255000,0,0,4950196700
3,2022-04-28,CMPP,EQUITY,10685124441.0,550,0,5577179200,0,0,155186541,0,82800,100000,0,5732548541,0,4942063800,0,8774100,173000,0,255000,0,0,4951265900
4,2022-05-31,CMPP,EQUITY,10685124441.0,360,0,5576216300,0,0,158709141,0,82800,100000,0,5735108241,0,4942191300,0,6055200,204700,0,255000,0,0,4948706200
5,2022-06-30,CMPP,EQUITY,10685124441.0,214,0,5572207400,0,0,161337841,0,82800,100000,0,5733728041,0,4942191300,0,6776500,733600,0,385000,0,0,4950086400
6,2022-07-29,CMPP,EQUITY,10685124441.0,266,0,5570514000,0,0,166545041,0,95700,100000,0,5737254741,0,4942013300,0,3628600,355800,0,562000,0,0,4946559700
7,2022-08-31,CMPP,EQUITY,10685124441.0,222,0,5569631300,0,0,168707041,0,86700,100000,0,5738525041,0,4942013300,0,2353700,355800,0,566600,0,0,4945289400
8,2022-09-30,CMPP,EQUITY,10685124441.0,230,0,5569401500,0,0,169994141,0,258700,100000,0,5739754341,0,4942013300,0,1291100,361100,0,566600,0,0,4944232100
9,2022-10-31,CMPP,EQUITY,10685124441.0,220,0,5569458500,0,0,171079141,0,258700,100000,0,5740896341,0,4942013300,0,144100,366100,0,566600,0,0,4943090100
10,2022-11-30,CMPP,EQUITY,10685124441.0,194,0,5569458500,0,0,171179141,0,258700,100000,0,5740996341,0,4942013300,0,44100,366100,0,566600,0,0,4942990100
11,2022-12-30,CMPP,EQUITY,10685124441.0,192,0,5569458500,0,0,170710041,0,258700,100000,2000,5740529241,0,4942013300,0,511200,366100,0,566600,0,0,4943457200
12,2023-01-31,CMPP,EQUITY,10685124441.0,174,0,5568475100,0,0,171126641,0,258700,100000,0,5739960441,0,4942013300,0,961300,384000,0,667400,0,0,4944026000
13,2023-02-28,CMPP,EQUITY,10685124441.0,173,0,5568565100,0,0,170525941,0,177900,100000,0,5739368941,0,4942013300,0,1555700,381100,0,667400,0,0,4944617500
14,2023-03-31,CMPP,EQUITY,10685124441.0,132,0,5568545100,0,0,169922441,0,177900,100000,0,5738745441,0,4942013300,0,2179200,381100,0,667400,0,0,4945241000
