,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,CMRY,EQUITY,7934683000.0,3100,50280000,500800,21110400,0,28659950,81710500,120,2157400,600000,185019170,0,60870232,76167191,71996860,2078200,364990523,137969600,0,291111224,1005183830
1,2022-02-25,CMRY,EQUITY,7934683000.0,3510,49271500,397200,21043600,0,22547850,68556500,120,2157400,600000,164574170,0,57576432,78569691,80355860,4649200,371618223,137969600,0,294889824,1025628830
2,2022-03-31,CMRY,EQUITY,7934683000.0,3500,41321300,416600,19885200,0,25394750,63857000,120,0,1243000,152117970,0,64107132,80937091,82787360,5449200,372021123,138924400,0,293858724,1038085030
3,2022-04-28,CMRY,EQUITY,7934683000.0,4090,36848300,347900,19653900,0,20640450,59486900,145,124500,623000,137725095,4117300,67300832,75732791,88917360,5541000,372725898,139475500,0,298667224,1052477905
4,2022-05-31,CMRY,EQUITY,7934683000.0,3890,33674700,247900,18502600,0,20327950,53897200,145,124500,600000,127374995,4117300,70363532,74341591,111290160,5547200,360005598,139267800,0,297894824,1062828005
5,2022-06-30,CMRY,EQUITY,7934683000.0,4200,34600500,247900,22921100,0,24848950,56835300,145,1434900,600000,141488795,21711200,67951032,76120591,85656060,5733200,340754198,138009000,0,312778924,1048714205
6,2022-07-29,CMRY,EQUITY,7934683000.0,4470,39659200,159200,22426700,0,361157350,57211294,151,1783100,600000,482996995,20211200,68161780,77012779,88634660,5761700,328436062,138419100,0,317792724,1044430005
7,2022-08-31,CMRY,EQUITY,7934683000.0,4370,39661600,52500,22122200,0,461607050,53102394,151,1684900,600000,578830795,22343900,69306466,77766226,93886660,6182900,326075229,138720200,0,314314624,1048596205
8,2022-09-30,CMRY,EQUITY,7934683000.0,4400,38892200,178600,22754800,0,452720350,53702994,151,1940200,600000,570789295,23058600,68872666,78185926,98337360,6068400,330370929,137749300,0,313994524,1056637705
9,2022-10-31,CMRY,EQUITY,7934683000.0,4620,40749400,202383600,23086500,0,546152050,49858694,162,1964800,600000,864795206,21079000,74942323,84328408,83930385,5899400,326687104,137854200,4269963,332978611,1071969394
10,2022-11-30,CMRY,EQUITY,7934683000.0,4690,36989700,202415600,21202600,0,554323850,51004700,256,2011400,697500,868645606,20135800,74543823,88459869,75223660,5561300,303617029,137806700,10612200,352158613,1068118994
11,2022-12-30,CMRY,EQUITY,7934683000.0,4250,43338500,202488600,21068800,0,563962450,51338700,14549,2011400,697500,884920499,17307900,73780723,86992769,63074930,5521800,297438536,132005000,10612200,365110243,1051844101
12,2023-01-31,CMRY,EQUITY,7934683000.0,4530,48760100,67545000,20615900,0,248298672,51072300,249,2011400,697500,439001121,17082000,74517623,94497539,515788108,5302300,286096316,127539400,11852838,365087355,1497763479
