,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,COWL,EQUITY,4871214021.0,50,157493,3575333804,244,0,75251955,125618586,3300,0,0,3776365382,0,1094511039,0,0,337600,0,0,0,0,1094848639
1,2022-02-25,COWL,EQUITY,4871214021.0,50,157493,3575333804,244,0,75251955,125618586,3300,0,0,3776365382,0,1094511039,0,0,337600,0,0,0,0,1094848639
2,2022-03-31,COWL,EQUITY,4871214021.0,50,157493,3575333804,244,0,75252168,125618373,3300,0,0,3776365382,0,1094511039,0,0,337600,0,0,0,0,1094848639
3,2022-04-28,COWL,EQUITY,4871214021.0,50,157493,3575333804,244,0,75252448,125618093,3300,0,0,3776365382,0,1094511039,0,0,337600,0,0,0,0,1094848639
4,2022-05-31,COWL,EQUITY,4871214021.0,50,157493,3575333804,244,0,75250948,125618093,4800,0,0,3776365382,0,1094511039,0,0,337600,0,0,0,0,1094848639
5,2022-06-30,COWL,EQUITY,4871214021.0,50,157493,3575333804,244,0,75250948,125618093,4800,0,0,3776365382,0,1094511039,0,0,337600,0,0,0,0,1094848639
6,2022-07-29,COWL,EQUITY,4871214021.0,50,157493,3575333804,375,0,75250948,125617962,4800,0,0,3776365382,0,1094511039,0,0,337600,0,0,0,0,1094848639
7,2022-08-31,COWL,EQUITY,4871214021.0,50,157493,3575333804,375,0,75251217,125617693,4800,0,0,3776365382,0,1094511039,0,0,337600,0,0,0,0,1094848639
8,2022-09-30,COWL,EQUITY,4871214021.0,50,157493,3575333804,375,0,75251217,125617693,4800,0,0,3776365382,0,1094511039,0,0,337600,0,0,0,0,1094848639
9,2022-10-31,COWL,EQUITY,4871214021.0,50,157493,3575333804,375,0,75251217,125617693,4800,0,0,3776365382,0,1094511039,0,0,337600,0,0,0,0,1094848639
10,2022-11-30,COWL,EQUITY,4871214021.0,50,157493,3575333804,375,0,75251217,125617693,4800,0,0,3776365382,0,1094511039,0,0,337600,0,0,0,0,1094848639
11,2022-12-30,COWL,EQUITY,4871214021.0,50,157493,3575333804,375,0,75210417,125617693,4800,0,40800,3776365382,0,1094511039,0,0,337600,0,0,0,0,1094848639
