,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,DADA-W,WARRANT,1609109892.0,9,0,50,0,0,1606682942,0,50,0,16800,1606699842,0,0,0,0,2410000,0,50,0,0,2410050
1,2022-02-25,DADA-W,WARRANT,1609109892.0,9,0,50,0,0,1606982942,0,50,0,16800,1606999842,0,0,0,0,2110000,0,50,0,0,2110050
2,2022-03-31,DADA-W,WARRANT,1609103092.0,10,0,50,0,0,1608176142,0,50,0,16800,1608193042,0,0,0,0,910000,0,50,0,0,910050
3,2022-04-28,DADA-W,WARRANT,1608903092.0,9,0,50,0,0,1608026142,0,50,0,16800,1608043042,0,0,0,0,860000,0,50,0,0,860050
4,2022-05-31,DADA-W,WARRANT,1608903067.0,9,0,50,0,0,1608026117,0,50,0,16800,1608043017,0,0,0,0,860000,0,50,0,0,860050
5,2022-06-30,DADA-W,WARRANT,1608903042.0,7,0,50,0,0,1608016092,0,50,0,16800,1608032992,0,0,0,0,870000,0,50,0,0,870050
6,2022-07-29,DADA-W,WARRANT,1608903042.0,6,0,50,0,0,1608016092,0,50,0,16800,1608032992,0,0,0,0,870000,0,50,0,0,870050
7,2022-08-31,DADA-W,WARRANT,1608903042.0,7,0,50,0,0,1608016092,0,50,0,16800,1608032992,0,0,0,0,870000,0,50,0,0,870050
8,2022-09-30,DADA-W,WARRANT,1608903042.0,5,0,50,0,0,1608016092,0,50,0,16800,1608032992,0,0,0,0,870000,0,50,0,0,870050
9,2022-10-31,DADA-W,WARRANT,1608903042.0,4,0,50,0,0,1608016092,0,50,0,16800,1608032992,0,0,0,0,870000,0,50,0,0,870050
10,2022-11-30,DADA-W,WARRANT,1608903042.0,3,0,50,0,0,1608016092,0,50,0,16800,1608032992,0,0,0,0,870000,0,50,0,0,870050
11,2022-12-30,DADA-W,WARRANT,1608903042.0,2,0,50,0,0,1608016092,0,50,0,16800,1608032992,0,0,0,0,870000,0,50,0,0,870050
12,2023-01-31,DADA-W,WARRANT,1568787741.0,2,0,50,0,0,1560900791,0,50,0,7016800,1567917691,0,0,0,0,870000,0,50,0,0,870050
