,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,DADA,EQUITY,7178140108.0,50,0,6196400,0,0,1210378408,0,0,3200,0,1216578008,0,500000,0,0,2997500,0,928064600,0,0,931562100
1,2022-02-25,DADA,EQUITY,7178140108.0,50,0,6196400,0,0,1210378408,0,0,3200,0,1216578008,0,500000,0,0,2997500,0,928064600,0,0,931562100
2,2022-03-31,DADA,EQUITY,7178146908.0,50,0,6196400,0,0,1210235208,0,0,3200,0,1216434808,0,500000,0,0,3147500,0,928064600,0,0,931712100
3,2022-04-28,DADA,EQUITY,7178346908.0,50,0,6196400,0,0,1210419208,0,0,3200,0,1216618808,0,500000,0,0,3163500,0,928064600,0,0,931728100
4,2022-05-31,DADA,EQUITY,7178346933.0,50,0,6196400,0,0,1210419233,0,0,3200,0,1216618833,0,500000,0,0,3163500,0,928064600,0,0,931728100
5,2022-06-30,DADA,EQUITY,7178346958.0,50,0,6196400,0,0,1210417258,0,0,3200,0,1216616858,0,500000,0,0,3165500,0,928064600,0,0,931730100
6,2022-07-29,DADA,EQUITY,7178346958.0,50,0,6196400,0,0,1210417258,0,0,3200,0,1216616858,0,500000,0,0,3165500,0,928064600,0,0,931730100
7,2022-08-31,DADA,EQUITY,7178346958.0,50,0,6396400,0,0,1210217258,0,0,3200,0,1216616858,0,500000,0,0,3165500,0,928064600,0,0,931730100
8,2022-09-30,DADA,EQUITY,7178346958.0,50,0,6396400,0,0,1210217258,0,0,3200,0,1216616858,0,500000,0,0,3165500,0,928064600,0,0,931730100
9,2022-10-31,DADA,EQUITY,7178346958.0,50,0,6396400,0,0,1210217258,0,0,3200,0,1216616858,0,500000,0,0,3165500,0,928064600,0,0,931730100
10,2022-11-30,DADA,EQUITY,7178346958.0,50,0,6396400,0,0,1210217258,0,0,3200,0,1216616858,0,500000,0,0,3165500,0,928064600,0,0,931730100
11,2022-12-30,DADA,EQUITY,7178346958.0,50,0,6396400,0,0,1210217258,0,0,3200,0,1216616858,0,500000,0,0,3165500,0,928064600,0,0,931730100
12,2023-01-31,DADA,EQUITY,7218462259.0,50,0,6396400,0,0,2170387159,0,0,3200,0,2176786759,0,500000,0,0,3165500,0,8010000,0,0,11675500
