,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,DART,EQUITY,3141390962.0,244,960,1398013720,1096000,215868,1594773550,0,96148,4682500,180,2998878926,0,1420,0,93240716,238500,0,627368,0,20,94108024
1,2022-02-25,DART,EQUITY,3141390962.0,228,960,1398013600,1096000,215868,1594773670,0,96148,4682500,180,2998878926,0,1420,0,93240716,238500,0,627368,0,20,94108024
2,2022-03-31,DART,EQUITY,3141390962.0,244,960,1397913600,1096000,215868,1594832870,0,96148,4682500,180,2998838126,0,1420,0,93240816,279200,0,627368,0,20,94148824
3,2022-04-28,DART,EQUITY,3141390962.0,226,960,1397597600,1096000,215868,1595189570,0,96148,4682500,180,2998878826,0,1420,0,93240816,238500,0,627368,0,20,94108124
4,2022-05-31,DART,EQUITY,3141390962.0,216,960,1397597600,1096000,215868,1595190470,0,96148,4682500,180,2998879726,0,1420,0,93239916,238500,0,627368,0,20,94107224
5,2022-06-30,DART,EQUITY,3141390962.0,216,960,1397597600,1096000,215868,1595189670,0,96148,4682500,180,2998878926,0,1420,0,93240016,239200,0,627368,0,20,94108024
6,2022-07-29,DART,EQUITY,3141390962.0,212,960,1397597600,1096000,215868,1595000870,0,96148,4682500,180,2998690126,0,1320,0,93239916,428100,0,627468,0,20,94296824
7,2022-08-31,DART,EQUITY,3141390962.0,210,960,1397597600,1096000,215868,1595117470,0,96148,4682500,180,2998806726,0,1320,0,93240416,311000,0,627468,0,20,94180224
8,2022-09-30,DART,EQUITY,3141390962.0,196,960,1397597600,1096000,215868,1595063870,0,96148,4682500,180,2998753126,0,1320,0,93239916,365100,0,627468,0,20,94233824
9,2022-10-31,DART,EQUITY,3141390962.0,184,960,1397597600,1096000,215868,1594983970,0,96148,4682500,180,2998673226,0,1320,0,93239916,445000,0,627468,0,20,94313724
