,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,DGNS,EQUITY,1250000000.0,745,39576500,2539800,4116200,0,167157000,35085200,0,0,677300,249152000,0,38800,0,0,460000,0,349200,0,0,848000
1,2022-02-25,DGNS,EQUITY,1250000000.0,615,41026300,2270700,4029700,0,162379700,38216100,0,0,681100,248603600,0,38800,0,532400,476000,0,349200,0,0,1396400
2,2022-03-31,DGNS,EQUITY,1250000000.0,450,41026300,2237600,4031200,0,162021000,33069000,0,0,681100,243066200,0,58900,0,5637700,488000,0,749200,0,0,6933800
3,2022-04-28,DGNS,EQUITY,1250000000.0,366,44526300,1787500,3491900,0,158650600,28735500,0,0,681100,237872900,0,777200,0,8262700,488000,0,2599200,0,0,12127100
4,2022-05-31,DGNS,EQUITY,1250000000.0,350,44397100,26563800,2474700,0,167541200,21566500,0,0,696100,263239400,0,767300,0,7208100,486000,0,3299200,0,0,11760600
5,2022-06-30,DGNS,EQUITY,1250000000.0,300,43023800,26480000,2375000,0,182098300,10945800,0,0,6100,264929000,0,38800,0,3642800,643100,0,5746300,0,0,10071000
6,2022-07-29,DGNS,EQUITY,1250000000.0,330,0,26536700,2377500,0,225185900,10945800,0,0,6100,265052000,0,0,0,2307400,954700,0,6685900,0,0,9948000
7,2022-08-31,DGNS,EQUITY,1250000000.0,286,0,26352500,2377500,0,223920300,10945800,0,0,6100,263602200,0,100,0,2343200,946200,0,8108300,0,0,11397800
8,2022-09-30,DGNS,EQUITY,1250000000.0,264,0,26384800,2377500,0,224098900,10945800,0,0,3800,263810800,0,0,0,1843000,957900,0,8388300,0,0,11189200
9,2022-10-31,DGNS,EQUITY,1250000000.0,250,0,26374800,2377500,0,223860100,10288900,0,0,3800,262905100,0,0,0,1843000,1010900,0,9241000,0,0,12094900
10,2022-11-30,DGNS,EQUITY,1250000000.0,254,0,26452000,2377500,0,215231400,10288900,0,0,3800,254353600,0,0,0,1846000,7059400,0,11741000,0,0,20646400
11,2022-12-30,DGNS,EQUITY,1250000000.0,244,0,26352000,193000,0,215478400,10288900,0,0,3800,252316100,0,10000,0,1846000,7036400,0,13791500,0,0,22683900
12,2023-01-31,DGNS,EQUITY,1250000000.0,248,0,26352000,10000,0,214948500,10088900,0,0,3800,251403200,0,0,0,1876900,7068400,0,14651500,0,0,23596800
13,2023-02-28,DGNS,EQUITY,1250000000.0,242,0,26352000,10000,0,215323400,9298900,0,0,3800,250988100,0,0,0,1877000,7068400,0,15066500,0,0,24011900
14,2023-03-31,DGNS,EQUITY,1250000000.0,230,0,26352000,10000,0,215159900,8288900,0,0,3800,249814600,0,0,0,2493900,7068400,0,15623100,0,0,25185400
15,2023-04-28,DGNS,EQUITY,1250000000.0,238,0,26359100,10000,0,216612900,8288900,0,0,3800,251274700,0,0,0,2493900,4596300,0,16635100,0,0,23725300
16,2023-05-31,DGNS,EQUITY,1250000000.0,198,0,26294000,10000,0,216606100,8288900,0,0,3800,251202800,0,0,0,3013500,3112600,0,17671100,0,0,23797200
17,2023-06-27,DGNS,EQUITY,1250000000.0,197,0,26294000,10000,0,216250300,8288900,0,0,3800,250847000,0,0,0,2938500,1672200,0,19542300,0,0,24153000
