,Date,Code,Type,Sec. Num,Price,Local IS,Local CP,Local PF,Local IB,Local ID,Local MF,Local SC,Local FD,Local OT,Total,Foreign IS,Foreign CP,Foreign PF,Foreign IB,Foreign ID,Foreign MF,Foreign SC,Foreign FD,Foreign OT,Total.1
0,2022-01-31,DKFT,EQUITY,5638246600.0,111,20048000,3554634403,9864000,51300,1753922767,114927000,82100000,230000,20854200,5556631670,0,5235700,0,8792500,15082700,10756900,206200,0,28540930,68614930
1,2022-02-25,DKFT,EQUITY,5638246600.0,125,20048000,3555185803,9864000,51300,1753262267,116927000,82100000,230000,20854200,5558522570,0,5235700,0,8792500,13191800,10756900,206200,0,28540930,66724030
2,2022-03-31,DKFT,EQUITY,5638246600.0,132,20048000,3554173103,9864000,51300,1753896967,114927000,82100000,230000,20854200,5556144570,0,5235700,0,11270500,13091800,10756900,206200,0,28540930,69102030
3,2022-04-28,DKFT,EQUITY,5638246600.0,128,20048000,3555297803,9864000,0,1678429467,114927000,120285400,230000,21405500,5520487170,0,7225100,0,37999700,12721300,9756900,206200,0,36850230,104759430
4,2022-05-31,DKFT,EQUITY,5638246600.0,127,20048000,3555397803,9864000,0,1688915367,116427000,120285400,230000,20905500,5532073070,0,6239400,0,26208900,13911900,9756900,206200,0,36850230,93173530
5,2022-06-30,DKFT,EQUITY,5638246600.0,119,20048000,3555117103,9864000,0,1671854967,116427000,120285400,230000,20905500,5514731970,0,6252200,0,41437200,13511900,9756900,206200,0,39350230,110514630
6,2022-07-29,DKFT,EQUITY,5638246600.0,130,20048000,3559892103,9864000,0,1671904967,116427000,120285400,230000,20905500,5519556970,0,5901800,0,22535100,27579400,9756900,566200,0,39350230,105689630
7,2022-08-31,DKFT,EQUITY,5638246600.0,128,20048000,3559899203,9864000,0,1688047367,116427000,120285400,230000,20905500,5535706470,0,6949700,0,23094200,9781900,9756900,607200,0,39350230,89540130
8,2022-09-30,DKFT,EQUITY,5638246600.0,121,20048000,3562454603,9864000,0,1691029067,116427000,120285400,230000,20905500,5541243570,0,6141700,0,17748300,10398700,9756900,607200,0,39350230,84003030
9,2022-10-31,DKFT,EQUITY,5638246600.0,120,20048000,3561354603,9864000,0,1700310467,116527000,120285400,230000,20905500,5549524970,0,5885300,0,9313300,10808700,9756900,607200,0,39350230,75721630
10,2022-11-30,DKFT,EQUITY,5638246600.0,121,14548000,3579918803,9864000,0,1702571267,116527000,120285400,230000,5551300,5549495770,0,5885300,0,9315500,10835700,9756900,607200,0,39350230,75750830
11,2022-12-30,DKFT,EQUITY,5638246600.0,103,14548000,3566892003,9864000,0,1638759467,116527000,195492600,230000,6924700,5549237770,0,5885300,0,9313500,11085700,9756900,617200,0,39350230,76008830
12,2023-01-31,DKFT,EQUITY,5638246600.0,131,14548000,3558809403,9864000,0,1649346867,121527000,195492600,230000,51300,5549869170,0,5885300,0,4834500,10882200,9756900,4668300,0,39350230,75377430
13,2023-02-28,DKFT,EQUITY,5638246600.0,121,14548000,3560303803,9864000,0,1646262267,121527000,194742600,230000,51300,5547528970,0,509600,0,3157900,10852200,15132600,1988400,2750400,43326530,77717630
14,2023-03-31,DKFT,EQUITY,5638246600.0,110,14548000,3561097903,9864000,0,1644962067,121527000,194742600,230000,51300,5547022870,0,509600,0,3032400,12105200,15132600,1367000,2750400,43326530,78223730
15,2023-04-28,DKFT,EQUITY,5638246600.0,108,14548000,3562526503,9864000,0,1645395667,121527000,194742600,230000,51300,5548885070,0,509600,0,2587300,10688100,15132600,1367000,2750400,43326530,76361530
